"","Country","Year","Debt","RGDP","GDP","dRGDP","GDPI","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2","Infl","Debt1","Debt2","Debtalt","GDP2alt","GDPalt","RGDP2alt","debtgdp","GDP3","GNI","lRGDP","lRGDP1","lRGDP2"
"1","Australia",1946,5588.8,NA,NA,-3.55795148247978,NA,2935,NA,49290.528,NA,NA,NA,3.79658,NA,NA,NA,NA,NA,NA,190.419080068143,NA,NA,NA,51108.96,NA
"2","Australia",1947,5534.2,NA,NA,2.45947456679709,NA,3121,NA,50502.816,NA,NA,NA,6.80795,NA,NA,NA,NA,NA,NA,177.321371355335,NA,NA,NA,49290.528,NA
"3","Australia",1948,5580.4,NA,NA,6.43753409710857,NA,3747,NA,53753.952,NA,NA,NA,10.0884,NA,NA,NA,NA,NA,NA,148.929810515079,NA,NA,NA,50502.816,NA
"4","Australia",1949,5656,NA,NA,6.61199384930806,NA,4324,4495,57308.16,NA,NA,NA,7.45671,NA,NA,NA,NA,NA,NA,125.828698553949,NA,NA,NA,53753.952,NA
"5","Australia",1950,5818.8,NA,NA,6.92020124184758,NA,5099,5299,61274,NA,NA,NA,7.85522,NA,NA,NA,NA,NA,NA,109.809397999623,NA,NA,NA,57308.16,NA
"6","Australia",1951,6121,NA,NA,4.27261154812808,NA,6773,7028,63892,NA,NA,NA,21.87614,NA,NA,NA,NA,NA,NA,87.0944792259533,NA,NA,NA,61274,NA
"7","Australia",1952,6529,NA,NA,0.904651599574291,NA,7267,7586,64470,NA,NA,NA,17.81089,NA,NA,NA,NA,NA,NA,86.0664381755866,NA,NA,NA,63892,NA
"8","Australia",1953,6863.6,NA,NA,3.11928028540407,NA,8244,8594,66481,NA,NA,NA,7.84995,NA,NA,NA,NA,NA,NA,79.8650221084478,NA,NA,NA,64470,NA
"9","Australia",1954,7213.6,NA,NA,6.21681382650683,NA,9013,9387,70614,NA,NA,NA,3.1951,NA,NA,NA,NA,NA,NA,76.8467028869713,NA,NA,NA,66481,NA
"10","Australia",1955,7498.8,NA,NA,5.46208967060355,NA,9603,10001,74471,NA,NA,NA,9.82028,NA,NA,NA,NA,NA,NA,74.980501949805,NA,NA,NA,70614,NA
