AITKIN,2.2,1
AITKIN,2.2,0
AITKIN,2.9,0
AITKIN,1,0
ANOKA,3.1,0
ANOKA,2.5,0
ANOKA,1.5,0
ANOKA,1,0
ANOKA,0.7,0
ANOKA,1.2,0
ANOKA,1.2,0
ANOKA,1.3,0
ANOKA,1.4,0
ANOKA,0.4,0
ANOKA,1.1,0
ANOKA,4.5,0
ANOKA,1.3,0
ANOKA,2.1,0
ANOKA,5.9,0
ANOKA,3.3,0
ANOKA,1.8,0
ANOKA,5.4,0
ANOKA,6.3,0
ANOKA,1.9,0
ANOKA,6.6,0
ANOKA,3.1,0
ANOKA,6.8,0
ANOKA,7,0
ANOKA,7.7,0
ANOKA,5.2,0
ANOKA,4.5,0
ANOKA,4.4,0
ANOKA,2.8,0
ANOKA,8.1,0
ANOKA,1.6,0
ANOKA,4.2,0
ANOKA,5.4,0
ANOKA,4,0
ANOKA,2.3,0
ANOKA,2.9,0
ANOKA,1.4,0
ANOKA,3.3,0
ANOKA,2.9,0
ANOKA,1.8,1
ANOKA,0.2,1
ANOKA,2.4,0
ANOKA,1.1,1
ANOKA,2.2,0
ANOKA,0.6,0
ANOKA,1.7,0
ANOKA,2.9,0
ANOKA,2.2,0
ANOKA,1.7,0
ANOKA,1.4,0
ANOKA,1.9,0
ANOKA,1.8,0
BECKER,1.2,1
BECKER,4.3,0
BECKER,4.5,1
BELTRAMI,6.3,0
BELTRAMI,4.6,0
BELTRAMI,5.7,0
BELTRAMI,2.2,1
BELTRAMI,0.4,1
BELTRAMI,4.6,1
BELTRAMI,4.4,1
BENTON,6.6,0
BENTON,2.7,0
BENTON,2.9,1
BENTON,2.9,0
BIG STONE,7.2,0
BIG STONE,5,0
BIG STONE,2.6,0
BLUE EARTH,5,0
BLUE EARTH,13,0
BLUE EARTH,7.2,0
BLUE EARTH,6.8,0
BLUE EARTH,12.8,0
BLUE EARTH,5.8,1
BLUE EARTH,9.5,0
BLUE EARTH,6,0
BLUE EARTH,3.8,0
BLUE EARTH,14.3,1
BLUE EARTH,1.8,0
BLUE EARTH,6.9,0
BLUE EARTH,4.7,0
BLUE EARTH,9.5,0
BROWN,2.5,1
BROWN,6.7,0
BROWN,4,1
BROWN,10.1,0
CARLTON,2.2,0
CARLTON,1.8,0
CARLTON,3.4,0
CARLTON,5.6,1
CARLTON,4.3,0
CARLTON,3.9,0
CARLTON,1.3,0
CARLTON,4.2,0
CARLTON,0.8,0
CARLTON,2,0
CARVER,1.6,0
CARVER,12.9,0
CARVER,14.7,1
CARVER,4.7,1
CARVER,9.6,0
CARVER,0,1
CASS,3.7,0
CASS,7.4,0
CASS,1.9,0
CASS,5.3,0
CASS,4,0
