    kid_score mom_hs    mom_iq mom_work mom_age
1          65      1 121.11753        4      27
2          98      1  89.36188        4      25
3          85      1 115.44316        4      27
4          83      1  99.44964        3      25
5         115      1  92.74571        4      27
6          98      0 107.90184        1      18
7          69      1 138.89311        4      20
8         106      1 125.14512        3      23
9         102      1  81.61953        1      24
10         95      1  95.07307        1      19
11         91      1  88.57700        1      23
12         58      1  94.85971        4      24
13         84      1  88.96280        4      27
14         78      1 114.11430        4      26
15        102      0 100.53407        2      24
16        110      1 120.41915        1      26
17        102      1 114.42688        3      23
18         99      1 111.59236        3      26
19        105      1 133.84923        4      20
20        101      0  97.26480        3      17
21        102      1 110.09681        4      21
22        115      1 126.72399        2      26
23        100      1  97.91159        2      20
24         87      1  99.92573        4      23
25         99      0  97.59501        4      19
26         96      1 121.74801        4      27
27         72      1  98.74808        3      21
28         78      1  97.91525        4      22
29         77      1  80.35856        2      24
30         98      1 114.30786        2      22
31         69      1 109.13832        1      27
32        130      1 101.81718        2      23
33        109      1 117.96510        3      27
34        106      0 108.63350        2      22
35         92      1  96.52862        3      27
36        100      1  92.87138        4      22
37        107      1  95.89813        4      27
38         86      1 107.01546        4      25
39         90      1  87.19701        1      22
40        110      1  89.36188        4      25
41        107      1 102.53099        2      21
42        113      1 130.16686        3      24
43         65      1  83.41410        3      22
44        102      1 125.75347        1      24
45        103      0  85.81038        4      27
46        111      1 126.52007        4      28
47         42      1  79.20305        4      21
48        100      1 113.16591        1      23
49         67      1 110.33139        1      26
50         92      1  99.40922        4      28
51        100      1 102.42553        2      24
52        110      1 124.90044        3      27
53         56      1  94.85971        4      24
54        107      1  92.36856        3      29
55         97      1 101.81718        1      23
56         56      0  79.83353        1      21
57         95      1  96.22614        2      21
58         78      0  82.35547        4      21
59         76      0  76.57565        1      24
60         86      1 110.01348        1      23
61         79      1 111.59236        4      26
62         81      1 113.65741        4      17
63         79      0 101.16456        4      24
64         79      1 101.34109        4      25
65         56      1 101.69816        2      22
66         52      1  98.81915        2      25
67         63      1  93.49820        2      20
68         80      1  87.29389        4      24
69         87      1  87.31603        4      23
70         88      1  86.20946        2      25
71         92      1  89.83797        4      23
72        100      0 121.87001        1      20
73         94      0 127.54438        4      20
74        117      1 109.99134        4      24
75        102      1  90.44631        4      24
76        107      1  88.89490        4      26
77         99      1 113.04689        4      22
78         73      0  78.01315        4      25
79         56      1  95.38965        1      20
80         78      0  83.61644        2      21
81         94      0  86.24628        2      19
82        110      1  95.38965        4      20
83        109      1 111.25231        4      24
84         86      1 127.01444        1      24
85         92      1  89.95195        2      28
86         91      1  99.27310        2      24
87        123      1  81.16558        1      25
88        102      1 110.52129        3      20
89        105      1 136.49385        4      23
90        114      1 123.86201        1      24
91         96      1 134.60239        1      23
92         66      1  91.09894        3      23
93        104      1 103.26937        2      19
94        108      1 126.28707        3      22
95         84      1 127.54438        4      20
96         83      0  92.47389        4      28
97         83      1  84.79409        4      23
98         92      0 100.53407        2      24
99        109      0 108.00301        4      22
100        95      0  78.80714        1      26
101        93      1 121.11753        4      27
102       114      1 103.05601        2      24
103       106      1 100.43719        2      22
104        87      1  88.55486        2      24
105        65      1  85.30556        4      22
106        95      1 119.44862        3      24
107        61      1  90.55178        2      21
108        73      1  96.33404        4      19
109       112      1 127.64492        4      24
110       113      1 119.85656        4      27
111        49      0 112.01892        1      28
112       105      1  92.51431        4      25
113       122      1  96.02380        4      22
114        96      1  91.41684        4      26
115        97      1 103.07815        2      23
116        94      1 100.24363        3      26
117       117      1  89.81583        4      24
118       136      1 115.05736        4      23
119        85      0  96.65062        4      20
120       116      1 105.57795        4      24
121       106      1  97.72169        4      26
122        99      1 131.83577        4      27
123        94      1 101.81718        1      23
124        89      1  93.49820        4      20
125       119      1 104.02654        4      26
126       112      1 103.70863        4      23
127       104      0 107.36886        2      20
128        92      1  92.55113        2      19
129        86      1  94.44258        2      19
130        69      1  93.14479        4      25
131        45      1  83.41410        4      22
132        57      1  71.03741        2      28
133        94      1 127.66706        1      23
134       104      1 115.68785        4      23
135        89      0  90.97626        1      20
136       144      1 132.86534        3      25
137        52      1  72.50230        1      26
138       102      1 100.71061        4      25
139       106      1 132.68880        3      24
140        98      1  98.54574        2      22
141        97      1 115.66571        3      24
142        94      1 117.06280        3      28
143       111      1 136.49385        3      23
144       100      1 106.54848        2      26
145       105      1 134.12631        2      25
146        90      1 104.65702        4      26
147        98      1  99.37856        2      21
148       121      1 100.43719        1      22
149       106      1  89.52539        4      26
150       121      1 120.92295        4      19
151       102      1 113.14377        4      24
152        64      1 126.41475        1      29
153        99      1 122.73716        4      28
154        81      1 115.37527        4      26
155        69      1  91.60674        2      20
156        84      1  88.66032        2      21
157       104      1 107.17896        3      26
158       104      1 104.96960        4      23
159       107      1 103.86303        4      25
160        88      1 110.09681        4      21
161        67      0  88.45432        1      20
162       103      0 117.03214        1      21
163        94      1 125.65659        4      22
164       109      1 122.60104        4      24
165        94      1 121.04963        3      26
166        98      1  93.14479        3      25
167       102      1  99.37856        3      21
168       104      1 123.89281        4      29
169       114      0 113.04323        2      20
170        87      1 115.77117        3      21
171       102      1 114.93835        4      22
172        77      1  93.62088        4      23
173       109      1 121.74801        1      27
174        94      1  90.34944        4      22
175        93      0  83.41044        2      20
176        86      1  99.48646        4      19
177        97      1 113.91038        4      28
178        97      1  97.59501        4      19
179        88      1  89.81583        4      24
180       103      1 119.58474        4      28
181        87      0  97.38165        2      24
182        87      1  84.87741        4      21
183        90      1 102.32865        4      22
184        65      1  99.27310        4      24
185       111      0  99.07505        4      18
186       109      1  96.92770        3      25
187        87      1 108.31325        2      19
188        58      1 100.53407        4      24
189        87      1  99.48646        4      19
190       113      1 113.98761        3      19
191        64      0  92.77020        4      18
192        78      0  88.02984        4      21
193        97      0 106.11156        4      22
194        95      0 103.23255        3      25
195        75      1  99.29524        4      23
196        91      0 106.74204        3      22
197        99      1  99.17256        2      20
198       108      1 102.44766        1      23
199        95      1  92.86771        4      20
200       100      1 116.82614        4      20
201        85      1  85.42457        1      23
202        97      0 115.56517        2      20
203       108      1 113.17456        4      29
204        90      1 106.86106        1      23
205       100      1  95.83024        3      26
206        82      0  77.10925        1      22
207        94      1  89.29081        2      21
208        95      1 112.41274        4      20
209       119      1 110.64397        1      23
210        98      1 109.53740        1      25
211       100      0 107.90184        1      18
212       112      1 104.96960        2      23
213       136      0 107.68277        2      19
214       122      1 109.46632        2      21
215       126      1 133.53264        1      19
216       116      1 128.80901        2      22
217        98      1 101.27002        4      21
218        94      1  87.31603        4      23
219        93      1 118.09077        4      22
220        90      1 120.25564        2      25
221        70      1  90.34577        4      20
222       110      1  79.90461        4      25
223       104      1 136.57717        4      21
224        83      1 102.42553        2      24
225        99      1 132.68880        4      24
226        81      1  96.29722        3      25
227       104      1 118.20979        4      23
228       109      1 118.09077        4      22
229       113      1 101.50460        2      26
230        95      0  94.33468        2      21
231        74      1  84.67141        1      20
232        81      1  86.76887        2      21
233        89      1 129.24593        4      26
234        93      1 127.78104        4      28
235       102      1 106.86106        2      23
236        95      1 105.75449        1      25
237        85      1 117.03214        4      21
238        97      1 119.35174        2      22
239        92      1 102.76557        1      26
