State,Life expectancy,Murder rate08,Graduation Rate,Income/cap07,illiteracy
Alabama,74.4,7.6,62,27557,0.15
Alaska,77.1,4.1,67,34316,0.09
Arizona,77.5,6.3,59,28088,0.13
Arkansas,75.2,5.7,72,25563,0.14
California,78.2,5.8,68,35352,0.23
Colorado,78.2,3.2,68,34902,0.1
Connecticut,78.7,3.5,75,46021,0.09
Delaware,76.8,6.5,73,34533,0.11
Florida,77.5,6.4,59,32693,0.2
Georgia,75.3,6.6,54,28452,0.17
Hawaii,80,1.9,69,33369,0.16
Idaho,77.9,1.5,78,26530,0.11
Illinois,76.4,6.1,78,34290,0.13
Indiana,76.1,5.1,74,28587,0.08
Iowa,78.3,2.5,93,29784,0.07
Kansas,77.3,4,76,31268,0.08
Kentucky,75.2,4.6,71,26457,0.12
Louisiana,74.2,11.9,69,29557,0.16
Maine,77.6,2.4,78,28677,0.07
Maryland,76.3,8.8,75,39136,0.11
Massachusetts,78.4,2.6,75,41740,0.1
Michigan,76.3,5.4,75,29837,0.08
Minnesota,78.8,2.1,82,34896,0.06
Mississippi,73.6,8.1,62,24530,0.16
Missouri,75.9,7.7,75,29245,0.07
Montana,77.2,2.4,83,27602,0.09
Nebraska,77.8,3.8,85,31015,0.07
Nevada,75.8,6.3,58,34424,0.16
New Hampshire,78.3,1,71,35302,0.06
New Jersey,77.5,4.3,75,41835,0.17
New Mexico,77,7.2,65,26766,0.16
New York,77.7,4.3,70,40296,0.22
North Carolina,75.8,6.5,63,28604,0.14
North Dakota,78.3,0.5,88,29633,0.06
Ohio,76.2,4.7,77,29657,0.09
Oklahoma,75.2,5.8,74,29044,0.12
Oregon,77.8,2.2,67,29580,0.1
Pennsylvania,76.7,5.6,82,32986,0.13
Rhode Island,78.3,2.8,72,33560,0.08
South Carolina,74.8,6.8,62,26374,0.15
South Dakota,77.7,3.2,80,28833,0.07
Tennessee,75.1,6.6,60,28301,0.13
Texas,76.7,5.6,67,31624,0.19
Utah,78.7,1.4,81,26523,0.09
Vermont,78.2,2.7,84,31184,0.07
Virginia,76.8,4.7,74,35162,0.12
Washington,78.2,2.9,70,34368,0.1
West Virginia,75.1,3.3,82,25118,0.13
Wisconsin,77.9,2.6,85,30655,0.07
Wyoming,76.7,1.9,81,36760,0.09
