Pct BF,Height,Waist,Chest
12.3,67.75,33.54,93.1
6.1,72.25,32.68,93.6
25.3,66.25,34.61,95.8
10.4,72.25,34.02,101.8
28.7,71.25,39.37,97.3
20.9,74.75,37.17,104.5
19.2,69.75,35.71,105.1
12.4,72.5,34.84,99.6
4.1,74,32.48,100.9
11.7,73.5,34.88,99.6
7.1,74.5,32.91,101.5
7.8,76,35.79,103.6
20.8,69.5,36.06,102
21.2,71.25,40.08,104.1
22.1,69.5,37.95,101.3
20.9,66,36.54,99.1
29,71,37.95,101.9
22.9,71,38.39,107.6
16,67.75,35.28,106.8
16.5,73.5,39.57,106.2
19.1,68,37.76,103.3
15.2,69.75,38.9,111.4
15.6,68.25,30.08,86
17.7,70,31.5,86.7
14,67.75,30.04,90.2
3.7,71.5,31.38,89.6
7.9,67.5,29.37,88.6
22.9,67.5,34.92,97.4
3.7,64.75,29.09,93.5
8.8,69,32.87,97.4
11.9,73.75,34.92,100.5
5.7,71.25,33.27,93.5
11.8,71.25,31.14,93
21.3,71,39.57,111.7
32.3,73.5,45.51,117
40.1,65,44.53,118.5
24.2,70,39.72,106.5
28.4,68.25,38.9,105.6
32.6,67,42.56,114.8
34.5,68.75,49.69,128.3
31.6,70,43.78,113.3
32,71.5,41.06,106.6
7.7,68,29.92,85.1
13.9,73.25,32.09,96.6
10.8,67.5,29.02,88.2
5.6,71.25,31.3,89.8
13.6,68.5,32.83,92.3
4,66.75,27.72,83.4
10.2,72.25,34.13,90.2
6.6,69,30.67,89.2
8,67.75,32.28,89.7
6.3,73.5,31.34,93.3
3.9,67.5,30.55,87.6
22.6,72,39.37,107.6
20.4,68,39.29,100
28,69.5,41.02,111.5
31.5,70.75,41.46,115.4
24.6,65.75,38.7,104.8
26.1,73.25,41.26,112.3
29.8,68.5,37.28,102.9
30.7,70.25,40.31,107.6
25.8,67,39.25,105.3
32.3,70,41.54,105.3
30,67.5,39.49,103
21.5,70.75,33.03,90
13.8,71.5,34.09,95.4
6.3,69.25,30.87,89.3
12.9,71.5,33.31,94.4
24.3,71.5,36.02,97.6
8.8,68.75,32.6,88.5
8.5,73.75,32.64,93.6
13.5,64,29.92,87.7
11.8,65.75,32.8,93.4
18.5,67.5,32.2,91.6
8.8,69.5,31.02,91.6
22.2,68.5,37.4,102
21.5,70.25,37.56,96.4
18.8,69.25,38.82,102.7
31.4,67.75,37.72,97.7
26.8,67.25,35.04,97.1
18.4,72.75,38.5,103.1
27,70,37.36,101.8
27,69.25,39.29,101.4
26.6,67.5,35.31,98.9
14.9,67.25,34.69,97.5
23.1,65.75,35.79,104.3
8.3,72.5,33.86,97.3
14.1,73,34.06,96.7
20.5,70,37.64,99.7
18.2,69.5,36.69,101.9
8.5,70.5,32.72,97.2
24.9,71.75,38.39,106.6
9,74.5,34.96,99.6
17.4,77.75,39.06,113.2
9.6,73.25,36.06,99.1
11.3,66.5,34.13,99.4
17.8,68.25,34.72,95.1
22.2,72,37.01,107.5
21.2,73.5,37.4,106.5
20.4,72,36.22,99.1
20.1,71.25,35.12,96.7
22.3,73.75,37.6,103.5
25.4,69.25,38.82,104
18,68.5,34.37,93.1
19.3,73.5,40.47,105.2
18.3,74.25,40,110
17.3,75.5,34.92,110.1
21.4,69.25,36.34,97.8
19.7,68.5,35.67,96.3
28,70,41.34,108
22.1,70,37.4,99.7
21.3,70.25,35.28,93.5
26.7,71.75,36.38,100.7
16.7,69.25,34.09,97
20.1,72.75,35.43,96
13.9,72,35.43,99.2
25.8,74,36.38,95.4
18.1,72.25,34.45,101.8
27.9,74.5,39.06,104.3
25.3,71.5,38.62,99.2
14.7,68.75,32.8,99.3
16,66.75,33.9,94
13.8,66.5,33.11,98.9
17.5,67,35.39,101
27.2,68.75,36.26,98.7
17.4,67.75,30.71,95.9
20.8,73.25,36.81,103.9
14.9,69.75,34.25,96.2
18.1,71.5,35.47,97.8
22.7,70.5,35.55,94.6
23.6,73.25,39.29,103.6
26.1,66.75,35.2,100.4
24.4,69.5,34.33,98.4
27.1,69.75,39.8,104.6
21.8,70.75,33.9,92.9
29.4,74,38.82,97.8
22.4,71.25,34.84,98.3
20.4,75,41.97,104.7
24.9,71,36.65,98.6
18.3,69.5,36.61,99.5
23.3,67.75,35.83,102.7
9.4,72.25,30.35,92.1
10.3,77.5,33.58,96.6
14.2,70.75,32.24,92.7
19.2,72.75,39.02,102
29.6,69.75,39.57,110.9
5.3,72.5,30.12,92.3
25.2,70.25,42.05,114.1
9.4,69,30.55,92.9
19.6,74.5,40.51,108.3
10.1,72.25,28.66,88.5
16.5,67.25,34.72,94
21,73.5,39.41,101.1
17.3,75.25,32.87,92.1
31.2,69,41.34,105.6
10,72.25,35.75,98.5
12.5,68.75,30.16,88.7
22.5,71.5,36.38,101.1
9.4,72.25,31.97,94
14.6,73,37.64,103.8
13,68.75,36.26,98.9
15.1,70.5,32.83,89.2
27.3,72,41.73,111.4
19.2,73.75,37.44,107.5
21.8,68,35.59,99.1
20.3,72.25,39.53,108.2
34.3,69.5,45.63,114.9
16.5,69.5,35.75,99.1
3,67.75,32.24,92.2
0.7,65.5,29.53,90.8
20.5,71,35.55,100.5
16.9,71.5,35.55,98.2
25.3,71.75,42.83,115.3
9.9,69.25,31.26,96.8
13.1,67,32.76,92.6
29.9,71.5,43.43,119.2
22.5,69.25,36.5,102.7
16.9,74.5,41.14,109.5
26.6,74.25,41.18,108.5
0,68,27.32,79.3
11.5,67.25,32.91,95.5
12.1,69.75,34.17,92.3
17.5,74.25,35.59,98.9
8.6,71.5,32.95,89.5
23.6,74.25,43.03,117.5
20.4,72,38.94,107.4
20.5,72.5,38.58,109.2
24.4,68.25,39.84,103.4
11.4,69.25,31.73,91.4
38.1,76,44.76,115.2
15.9,70.5,37.05,104.9
24.7,74.75,41.61,106.7
22.8,72.75,33.7,92.2
25.5,68.25,38.03,101.6
22,69,33.86,97.8
17.7,71.5,35.31,92
6.6,72.75,30.71,94
23.6,67.5,35.31,103.7
12.2,70.25,35.12,102.7
22.1,69.25,33.74,91.1
28.7,71.5,40.59,107.2
6,74,35.08,100.8
34.8,69.75,44.84,121.6
16.6,73,37.91,105.6
32.9,65.5,36.97,100.6
32.8,72.5,39.88,102.7
9.6,70.25,33.03,99.8
10.8,70.75,33.23,92.9
7.1,68,31.26,91.2
27.2,74.5,40.94,115.6
19.5,71.75,35.31,98.3
18.7,70.75,38.43,103.7
19.5,73,34.49,98.7
47.5,64,48.07,119.8
13.6,69.75,31.93,92.8
7.5,70,32.09,93.3
24.5,71.75,39.37,106.8
15,69.25,34.92,93.9
12.4,70.5,36.14,99
26,72.25,43.46,119.9
11.5,67.5,34.49,94.2
5.2,67.25,32.6,92.7
10.9,68.75,37.52,106.9
12.5,66.75,30.79,88.8
14.8,68.25,35.87,101.7
25.2,74.25,38.07,105.3
14.9,69.5,35.2,104
17,68.5,36.61,98.6
10.6,65.75,34.02,99.6
16.1,71.75,38.07,103.4
15.4,71.5,34.69,100.2
26.7,67.25,37.36,94.9
25.8,67.5,36.73,97.2
18.6,67.5,37.64,104.7
24.8,72.25,38.66,104
27.3,69.5,44.8,117.6
12.4,69.5,32.6,95.8
29.9,65.75,39.57,106.4
17,65.75,31.38,93
35,68.25,46.46,119.6
30.4,72,42.91,119.7
32.6,72.75,44.65,115.8
29,68.5,41.77,118.3
15.2,69.25,33.19,97.4
30.2,70.5,42.36,113.7
11,67,32.91,89.2
33.6,69.75,41.34,108.5
29.3,66,43.9,111.1
26,70.5,39.88,108.3
31.9,70,42.72,112.4
