Drag coefficient for smooth spheres as a function of Reynolds number.
Data taken from R.D. Mehta, "Aerodynamics of Sport Balls", Annual Review of Fluid
Mechanics, M. Van Dyke (ed.), vol. 17, pp. 151-189, 1985, Annual Reviews, Inc.
    Re       Cd
    20000   0.4430
    38200   0.4900
    73000   0.5030
   144000   0.5150
   220000   0.5080
   258000   0.4940
   293000   0.4740
   319000   0.4360
   341000   0.3740
   350000   0.2580
   365000   0.1260
   384000   0.0836
   417000   0.0692
   462000   0.0655
   548000   0.0726
   743000   0.0888
  1190000   0.1230
  2050000   0.1570
  3220000   0.1740
  3990000   0.1810
