Price,Time
144,47.65
215,63.13
105,58.76
69,34.88
134,55.53
129,43.14
155,54.86
99,44.14
38.5,17.46
36.5,21.04
260,109.38
54,17.67
39,16.41
29.5,12.02
109,49.48
89.5,48.74
42,23.21
65,28.64
115,44.95
49.5,23.77
36.5,20.21
109,32.62
45,17.84
58,22.82
89,29.48
30,15.61
31,13.25
119,45.78
22,26.53
109,37.11
99,45.12
99,26.09
179,68.63
99,33.71
89,44.45
75,23.74
199,86.42
93,39.71
65,26.52
74,33.89
165,64.3
99,22.55
43.5,31.86
94,53.18
189,74.48
75,34.16
59.5,31.46
42,21.34
23,20.83
52.5,20.59
99,33.7
89,32.9
65,27.76
54.5,30.2
24.5,20.85
52,26.25
62.5,21.87
89,23.88
21.5,16.66
