Year,male,%,female, %,Total
1975,6532,75,2215,25,8748
1976,6826,73,2530,27,9356
1977,6983,72,2650,28,9633
1978,7295,73,2645,27,9940
1979,7280,73,2639,27,9920
1980,6932,73,2591,27,9524
1981,6014,72,2301,28,8315
1982,5354,73,1969,27,7323
1983,4850,71,1955,29,6805
1984,4947,71,2005,29,6952
1985,4715,70,2022,30,6737
1986,5280,71,2182,29,7466
1987,5107,70,2186,30,7293
1988,5036,70,2204,30,7242
1989,4528,68,2158,32,6688
1990,4420,69,1944,31,6364
1991,3891,68,1867,32,5760
1992,3495,67,1713,33,5215
1993,3678,68,1742,32,5421
1994,3770,67,1859,33,5632
1995,3702,65,1970,35,5675
1996,3855,66,1963,34,5819
1997,3715,65,2014,35,5730
1998,3649,65,1960,35,5610
1999,3745,65,2007,35,5752
2000,3759,66,1925,34,5685
2001,3735,67,1859,33,5594
2002,3939,66,2015,34,5954
2003,3772,66,1946,34,5718
2004,3696,65,1948,35,5645
2005,3496,66,1803,34,5300
2006,3415,66,1744,34,5159
2007,3258,66,1687,34,4946
