Births,Age,Year
300.9,22,1999
301,22,1998
298.6,22,1997
299,22,1996
293.6,22,1995
315.2,22,1994
333.6,22,1993
341.5,22,1992
344.3,22,1991
342.5,22,1990
215,27,1999
213.8,27,1998
210.6,27,1997
209.7,27,1996
205.8,27,1995
215.9,27,1994
225.2,27,1993
229.3,27,1992
229.3,27,1991
233.2,27,1990
138.6,32,1999
137.4,32,1998
135.8,32,1997
134.7,32,1996
134.6,32,1995
138.6,32,1994
143.3,32,1993
143.6,32,1992
143.3,32,1991
145.9,32,1990
65.3,37,1999
64.2,37,1998
63.2,37,1997
62.4,37,1996
61.6,37,1995
62.8,37,1994
64.1,37,1993
63.9,37,1992
62.9,37,1991
63.3,37,1990
15.8,42,1999
15.9,42,1998
15.6,42,1997
15.2,42,1996
14.8,42,1995
14.8,42,1994
14.8,42,1993
14.3,42,1992
14.2,42,1991
14.4,42,1990
