Datafile Name:
* Montanac Outlook Poll *

Reference:
* Bureau of Business and Economic Research, University of Montana, May 1992 *
Authorization:
* free use *
Description:
* The Montana poll asked a random sample of Montana residents whether
their personal financial status was the worse, the same, or better than
a year ago, and whether they thought the state economic outlook was
better over the next year. This file contains these items and
accompanying demographics about the respondents. The file contains
results for every other person included in the poll. *
Number of cases:
* 209 *
Variable Names:
*

   1. AGE = 1 under 35, 2 35-54, 3 55 and over
   2. SEX = 0 male, 1 female
   3. INC = yearly income: 1 under $20K, 2 20-35$K, 3 over $35K
   4. POL = 1 Democrat, 2 Independent, 3 Republican
   5. AREA = 1 Western, 2 Northeastern, 3 Southeastern Montana
   6. FIN = Financial status 1 worse, 2 same, 3 better than a year ago
   7. STAT = State economic outlook 1 better, 2 not better than a year ago 

*
The Data:
*

AGE  SEX      INC      POL  AREA       FIN    STAT

3	0	2	2	1	2	1
2	0	3	3	1	3	1
1	0	2	*	1	2	1
3	1	2	1	1	1	0
3	1	3	3	3	2	*
1	0	2	1	3	3	*
3	1	1	3	3	1	1
1	0	1	3	2	1	0
3	1	*	3	3	2	0
1	0	*	1	1	2	1
2	1	2	3	1	2	*
3	1	1	3	2	2	0
2	0	2	1	3	3	0
3	0	*	3	2	2	0
3	0	3	3	3	3	1
3	0	3	1	3	1	1
1	1	2	1	3	3	*
3	1	2	1	3	2	1
3	1	2	3	3	1	0
2	0	3	3	3	3	1
1	1	3	1	1	3	0
3	0	1	2	1	2	0
1	1	2	3	1	3	*
3	0	2	2	1	2	1
2	0	3	1	1	3	0
1	0	1	3	1	1	1
3	0	2	1	1	3	0
3	1	*	1	3	2	0
2	1	2	2	3	2	0
2	1	2	3	3	1	0
2	0	2	3	1	2	1
1	0	2	*	1	3	0
1	1	2	3	3	3	1
2	1	3	1	3	2	0
1	0	1	1	3	2	1
3	0	2	1	3	2	*
2	0	3	3	3	3	0
3	0	1	3	3	3	0
1	0	1	3	3	1	0
1	0	1	1	1	1	1
3	1	3	1	2	1	0
2	1	2	1	1	1	0
1	0	2	3	1	2	1
1	1	3	1	1	2	0
1	1	3	3	1	3	1
2	0	3	2	1	3	1
1	1	2	3	2	3	0
2	0	3	1	1	1	0
1	1	*	1	1	3	1
1	1	2	1	3	3	*
2	1	*	3	3	3	*
1	1	2	2	1	1	0
2	1	1	1	1	1	0
3	1	*	1	1	2	1
1	0	3	1	1	1	0
2	1	2	1	1	3	1
1	0	3	2	1	1	1
3	0	2	1	2	1	0
3	0	2	2	2	1	0
1	1	1	1	1	1	0
2	0	3	2	2	2	0
3	0	2	1	3	2	0
3	1	1	1	3	2	1
3	1	1	1	3	1	0
3	1	*	2	3	2	*
3	1	1	3	3	3	*
1	1	3	1	1	3	1
2	0	3	3	2	3	0
3	1	2	3	3	2	1
