"","Galaxy","y","x"
"1","NGC0300",133,2
"2","NGC0925",664,9.16
"3","NGC1326A",1794,16.14
"4","NGC1365",1594,17.95
"5","NGC1425",1473,21.88
"6","NGC2403",278,3.22
"7","NGC2541",714,11.22
"8","NGC2090",882,11.75
"9","NGC3031",80,3.63
"10","NGC3198",772,13.8
"11","NGC3351",642,10
"12","NGC3368",768,10.52
"13","NGC3621",609,6.64
"14","NGC4321",1433,15.21
"15","NGC4414",619,17.7
"16","NGC4496A",1424,14.86
"17","NGC4548",1384,16.22
"18","NGC4535",1444,15.78
"19","NGC4536",1423,14.93
"20","NGC4639",1403,21.98
"21","NGC4725",1103,12.36
"22","IC4182",318,4.49
"23","NGC5253",232,3.15
"24","NGC7331",999,14.72
