"","mortality","latitude","longitude","ocean"
"Alabama",219,33,87,"yes"
"Arizona",160,34.5,112,"no"
"Arkansas",170,35,92.5,"no"
"California",182,37.5,119.5,"yes"
"Colorado",149,39,105.5,"no"
"Connecticut",159,41.8,72.8,"yes"
"Delaware",200,39,75.5,"yes"
"District of Columbia",177,39,77,"no"
"Florida",197,28,82,"yes"
"Georgia",214,33,83.5,"yes"
"Idaho",116,44.5,114,"no"
"Illinois",124,40,89.5,"no"
"Indiana",128,40.2,86.2,"no"
"Iowa",128,42.2,93.8,"no"
"Kansas",166,38.5,98.5,"no"
"Kentucky",147,37.8,85,"no"
"Louisiana",190,31.2,91.8,"yes"
"Maine",117,45.2,69,"yes"
"Maryland",162,39,76.5,"yes"
"Massachusetts",143,42.2,71.8,"yes"
"Michigan",117,43.5,84.5,"no"
"Minnesota",116,46,94.5,"no"
"Mississippi",207,32.8,90,"yes"
"Missouri",131,38.5,92,"no"
"Montana",109,47,110.5,"no"
"Nebraska",122,41.5,99.5,"no"
"Nevada",191,39,117,"no"
"New Hampshire",129,43.8,71.5,"yes"
"New Jersey",159,40.2,74.5,"yes"
"New Mexico",141,35,106,"no"
"New York",152,43,75.5,"yes"
"North Carolina",199,35.5,79.5,"yes"
"North Dakota",115,47.5,100.5,"no"
"Ohio",131,40.2,82.8,"no"
"Oklahoma",182,35.5,97.2,"no"
"Oregon",136,44,120.5,"yes"
"Pennsylvania",132,40.8,77.8,"no"
"Rhode Island",137,41.8,71.5,"yes"
"South Carolina",178,33.8,81,"yes"
"South Dakota",86,44.8,100,"no"
"Tennessee",186,36,86.2,"no"
"Texas",229,31.5,98,"yes"
"Utah",142,39.5,111.5,"no"
"Vermont",153,44,72.5,"yes"
"Virginia",166,37.5,78.5,"yes"
"Washington",117,47.5,121,"yes"
"West Virginia",136,38.8,80.8,"no"
"Wisconsin",110,44.5,90.2,"no"
"Wyoming",134,43,107.5,"no"
