"","housing","food","goods","service","gender"
"1",820,114,183,154,"female"
"2",184,74,6,20,"female"
"3",921,66,1686,455,"female"
"4",488,80,103,115,"female"
"5",721,83,176,104,"female"
"6",614,55,441,193,"female"
"7",801,56,357,214,"female"
"8",396,59,61,80,"female"
"9",864,65,1618,352,"female"
"10",845,64,1935,414,"female"
"11",404,97,33,47,"female"
"12",781,47,1906,452,"female"
"13",457,103,136,108,"female"
"14",1029,71,244,189,"female"
"15",1047,90,653,298,"female"
"16",552,91,185,158,"female"
"17",718,104,583,304,"female"
"18",495,114,65,74,"female"
"19",382,77,230,147,"female"
"20",1090,59,313,177,"female"
"21",497,591,153,291,"male"
"22",839,942,302,365,"male"
"23",798,1308,668,584,"male"
"24",892,842,287,395,"male"
"25",1585,781,2476,1740,"male"
"26",755,764,428,438,"male"
"27",388,655,153,233,"male"
"28",617,879,757,719,"male"
"29",248,438,22,65,"male"
"30",1641,440,6471,2063,"male"
"31",1180,1243,768,813,"male"
"32",619,684,99,204,"male"
"33",253,422,15,48,"male"
"34",661,739,71,188,"male"
"35",1981,869,1489,1032,"male"
"36",1746,746,2662,1594,"male"
"37",1865,915,5184,1767,"male"
"38",238,522,29,75,"male"
"39",1199,1095,261,344,"male"
"40",1524,964,1739,1410,"male"
