WarNum,WarName,WarType,ccode1,SideA,ccode2,SideB,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2 ,EndYear2,Initiator,Interven,TransFrom,Outcome,TransTo,WhereFought,BatDeath,NonStateDeaths,Version
300,Allied Bombardment of Algiers,3,210,Netherlands,-8,-8,8,26,1816,8,30,1816,-8,-8,-8,-8,-8,-8,1,1,-8,1,-8,6,13,-8,4
300,Allied Bombardment of Algiers,3,200,United Kingdom,-8,Algeria,8,26,1816,8,30,1816,-8,-8,-8,-8,-8,-8,1,1,-8,1,-8,6,129,6000,4
301,Ottoman-Wahhabi,3,640,Ottoman Empire,-8,Saudi Wahhabis,9,-9,1816,9,11,1818,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,6,13500,14000,4
302,Liberation of Chile,2,230,Spain,-8,San Martin revolutionaries,1,9,1817,4,5,1818,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,1,1700,1140,4
303,First Bolivar Expedition,2,230,Spain,-8,New Granada,4,11,1817,8,10,1819,-8,-8,-8,-8,-8,-8,1,0,-8,2,-8,1,3000,2000,4
304,Mexican Independence,2,230,Spain,-8,Mina Expedition,8,15,1817,1,1,1818,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,1,1000,1000,4
305,British-Kandyan,2,200,United Kingdom,-8,Kandyan rebels,10,-9,1817,11,26,1818,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,1000,10000,4
306,British-Maratha,2,200,United Kingdom,-8,Marathas,11,6,1817,6,3,1818,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,2800,2000,4
307,Ottoman Conquest of Sudan,3,640,Ottoman Empire,-8,Sudan states,-9,-9,1820,6,-9,1821,-8,-8,-8,-8,-8,-8,1,0,-8,1,-8,4,4000,2500,4
308,Second Bolivar Expedition,2,230,Spain,-8,New Granada,4,28,1821,5,24,1822,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,1,1000,500,4
309,Turco-Persian,3,640,Ottoman Empire,-8,Persia,8,-9,1821,5,-9,1822,-8,-8,-8,-8,-8,-8,0,0,-8,6,-8,6,1000,-9,4
310,First British-Burmese,3,200,United Kingdom,-8,Burma,9,24,1823,2,24,1826,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,15000,15000,4
311,First British-Ashanti,3,200,United Kingdom,-8,Ashanti-Ghana,1,20,1824,8,7,1826,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,4,1400,5000,4
312,Liberation of Peru,2,230,Spain,-8,Latin American revolutionaries,2,4,1824,4,2,1825,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,1,2000,400,4
313,Dutch - Javanese,2,210,Netherlands,-8,Javanese rebels,7,23,1825,3,28,1830,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,15000,200000,4
314,British-Bharatpuran,2,200,United Kingdom,-8,Bharatpuran rebels,11,23,1825,1,18,1826,-8,-8,-8,-8,-8,-8,0,0,-8,1,-8,7,400,4500,4
315,Brazil-Argentine,3,140,Brazil,-8,Argentina,1,1,1826,10,27,1828,-8,-8,-8,-8,-8,-8,0,0,-8,2,-8,1,4000,2000,4
