version4id,ccode,state_name,all_st_day,all_st_month,all_st_year,all_end_day,all_end_month,all_end_year,ss_type,mem_st_day,mem_st_month,mem_st_year,mem_end_day,mem_end_month,mem_end_year,left_censor,right_censor,defense,neutrality,nonaggression,entente,version
1,200,"United Kingdom",9,5,1386,,,,"Type I: Defense Pact",1,1,1816,,,,1,1,1,0,1,0,4.1
1,235,"Portugal",9,5,1386,,,,"Type I: Defense Pact",1,1,1816,,,,1,1,1,0,1,0,4.1
2,200,"United Kingdom",5,2,1766,15,2,1911,"Type III: Entente",1,1,1816,15,2,1911,1,0,0,0,0,1,4.1
2,380,"Sweden",5,2,1766,15,2,1911,"Type III: Entente",1,1,1816,15,2,1911,1,0,0,0,0,1,4.1
3,240,"Hanover",8,6,1815,15,6,1866,"Type I: Defense Pact",1,1,1838,15,3,1848,0,0,1,0,1,1,4.1
3,240,"Hanover",8,6,1815,15,6,1866,"Type I: Defense Pact",29,11,1850,15,6,1866,0,0,1,0,1,1,4.1
3,245,"Bavaria",8,6,1815,15,6,1866,"Type I: Defense Pact",1,1,1816,15,3,1848,1,0,1,0,1,1,4.1
3,245,"Bavaria",8,6,1815,15,6,1866,"Type I: Defense Pact",29,11,1850,15,6,1866,0,0,1,0,1,1,4.1
3,255,"Germany",8,6,1815,15,6,1866,"Type I: Defense Pact",1,1,1816,15,3,1848,1,0,1,0,1,1,4.1
3,255,"Germany",8,6,1815,15,6,1866,"Type I: Defense Pact",29,11,1850,15,6,1866,0,0,1,0,1,1,4.1
3,267,"Baden",8,6,1815,15,6,1866,"Type I: Defense Pact",1,1,1816,15,3,1848,1,0,1,0,1,1,4.1
3,267,"Baden",8,6,1815,15,6,1866,"Type I: Defense Pact",29,11,1850,15,6,1866,0,0,1,0,1,1,4.1
3,269,"Saxony",8,6,1815,15,6,1866,"Type I: Defense Pact",1,1,1816,15,3,1848,1,0,1,0,1,1,4.1
3,269,"Saxony",8,6,1815,15,6,1866,"Type I: Defense Pact",29,11,1850,15,6,1866,0,0,1,0,1,1,4.1
