WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version
1,Franco-Spanish War,1,230,Spain,2,4,7,1823,11,13,1823,-8,-8,-8,-8,-8,-8,503,2,2,2,-8,600,4
1,Franco-Spanish War,1,220,France,1,4,7,1823,11,13,1823,-8,-8,-8,-8,-8,-8,503,2,1,1,-8,400,4
4,First Russo-Turkish,1,640,Ottoman Empire,2,4,26,1828,9,14,1829,-8,-8,-8,-8,-8,-8,506,11,2,2,-8,80000,4
4,First Russo-Turkish,1,365,Russia,1,4,26,1828,9,14,1829,-8,-8,-8,-8,-8,-8,506,11,1,1,-8,50000,4
7,Mexican-American,1,70,Mexico,2,4,25,1846,9,14,1847,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,6000,4
7,Mexican-American,1,2,United States of America,1,4,25,1846,9,14,1847,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,13283,4
10,Austro-Sardinian,1,337,Tuscany,2,3,29,1848,8,9,1848,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,100,4
10,Austro-Sardinian,1,325,Italy,2,3,24,1848,8,9,1848,3,12,1849,3,30,1849,551,2,1,2,-8,3400,4
10,Austro-Sardinian,1,300,Austria,1,3,24,1848,8,9,1848,3,12,1849,3,30,1849,551,2,2,1,-8,3927,4
10,Austro-Sardinian,1,332,Modena,2,4,9,1848,8,9,1848,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,100,4
13,First Schleswig-Holstein,1,255,Prussia,1,4,10,1848,8,26,1848,3,25,1849,7,10,1849,-8,2,1,1,-8,2500,4
13,First Schleswig-Holstein,1,390,Denmark,2,4,10,1848,8,26,1848,3,25,1849,7,10,1849,-8,2,2,2,-8,3500,4
16,Roman Republic,1,220,France,1,4,30,1849,7,2,1849,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,1000,4
16,Roman Republic,1,329,Two Sicilies,1,5,8,1849,7,2,1849,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,100,4
16,Roman Republic,1,300,Austria,1,5,8,1849,7,2,1849,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,100,4
16,Roman Republic,1,327,Papal States,2,4,30,1849,7,2,1849,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,1400,4
19,La Plata,1,160,Argentina,2,7,19,1851,2,3,1852,-8,-8,-8,-8,-8,-8,327,1,2,2,-8,800,4
19,La Plata,1,140,Brazil,1,7,19,1851,2,3,1852,-8,-8,-8,-8,-8,-8,327,1,1,1,-8,500,4
22,Crimean,1,640,Turkey,1,10,23,1853,3,1,1856,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,45000,4
22,Crimean,1,325,Italy,1,1,10,1855,3,1,1856,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,2200,4
22,Crimean,1,220,France,1,3,31,1854,3,1,1856,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,95000,4
22,Crimean,1,200,United Kingdom,1,3,31,1854,3,1,1856,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,22000,4
22,Crimean,1,365,Russia,2,10,23,1853,3,1,1856,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,100000,4
25,Anglo-Persian,1,200,United Kingdom,1,10,25,1856,4,5,1857,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,500,4
25,Anglo-Persian,1,630,Iran,2,10,25,1856,4,5,1857,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,1500,4
28,Italian Unification,1,325,Sardinia/Piedmont,1,4,29,1859,7,12,1859,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,2500,4
28,Italian Unification,1,300,Austria,2,4,29,1859,7,12,1859,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,12500,4
28,Italian Unification,1,220,France,1,5,3,1859,7,12,1859,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,7500,4
31,First Spanish-Moroccan,1,600,Morocco,2,10,22,1859,3,25,1860,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,6000,4
31,First Spanish-Moroccan,1,230,Spain,1,10,22,1859,3,25,1860,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,4000,4
34,Italian-Roman,1,325,Sardinia/Piedmont,1,9,11,1860,9,29,1860,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,300,4
34,Italian-Roman,1,327,Papal States,2,9,11,1860,9,29,1860,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,700,4
37,Neapolitan,1,329,Two Sicilies,2,10,15,1860,2,13,1861,-8,-8,-8,-8,-8,-8,352,2,2,2,-8,400,4
37,Neapolitan,1,325,Sardinia/Piedmont,1,10,15,1860,2,13,1861,-8,-8,-8,-8,-8,-8,352,2,1,1,-8,600,4
40,Franco-Mexican,1,70,Mexico,1,4,16,1862,2,5,1867,-8,-8,-8,-8,-8,-8,557,1,2,4,587,12000,4
40,Franco-Mexican,1,220,France,2,4,16,1862,2,5,1867,-8,-8,-8,-8,-8,-8,557,1,1,4,587,8000,4
43,Ecuadorian-Colombian,1,100,Colombia,1,11,22,1863,12,6,1863,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,300,4
43,Ecuadorian-Colombian,1,130,Ecuador,2,11,22,1863,12,6,1863,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,700,4
46,Second Schleswig-Holstein,1,255,Germany,1,2,1,1864,4,25,1864,6,25,1864,7,20,1864,-8,2,1,1,-8,1048,4
46,Second Schleswig-Holstein,1,390,Denmark,2,2,1,1864,4,25,1864,6,25,1864,7,20,1864,-8,2,2,2,-8,2933,4
46,Second Schleswig-Holstein,1,300,Austria,1,2,1,1864,4,25,1864,6,25,1864,7,20,1864,-8,2,2,1,-8,500,4
49,Lopez,1,160,Argentina,1,3,5,1865,3,1,1870,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,10000,4
49,Lopez,1,150,Paraguay,2,11,12,1864,3,1,1870,-8,-8,-8,-8,-8,-8,-8,1,1,2,-8,200000,4
49,Lopez,1,140,Brazil,1,11,12,1864,3,1,1870,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,100000,4
52,Naval War,1,155,Chile,1,9,25,1865,5,9,1866,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,100,4
52,Naval War,1,135,Peru,1,1,14,1866,5,9,1866,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,600,4
52,Naval War,1,230,Spain,2,9,25,1865,5,9,1866,-8,-8,-8,-8,-8,-8,-8,1,1,2,-8,300,4
55,Seven Weeks,1,325,Italy,1,6,20,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,4000,4
55,Seven Weeks,1,275,Hesse Grand Ducal,2,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,100,4
55,Seven Weeks,1,271,Wuerttemburg,2,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,100,4
55,Seven Weeks,1,245,Bavaria,2,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,500,4
55,Seven Weeks,1,300,Austria,2,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,28000,4
55,Seven Weeks,1,255,Germany,1,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,1,1,-8,10000,4
55,Seven Weeks,1,280,Mecklenburg Schwerin,1,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,100,4
55,Seven Weeks,1,273,Hesse Electoral,2,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,100,4
55,Seven Weeks,1,269,Saxony,2,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,600,4
55,Seven Weeks,1,267,Baden,2,6,15,1866,7,26,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,100,4
55,Seven Weeks,1,240,Hanover,2,6,15,1866,6,29,1866,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,500,4
58,Franco-Prussian,1,271,Wuerttemburg,1,7,19,1870,11,25,1870,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,976,4
58,Franco-Prussian,1,267,Baden,1,7,19,1870,11,22,1870,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,956,4
58,Franco-Prussian,1,255,Germany,1,7,19,1870,2,26,1871,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,44781,4
58,Franco-Prussian,1,245,Bavaria,1,7,19,1870,11,15,1870,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,5600,4
58,Franco-Prussian,1,220,France,2,7,19,1870,2,26,1871,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,152000,4
60,First Central American,1,90,Guatemala,1,3,27,1876,4,25,1876,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,2000,4
60,First Central American,1,92,El Salvador,2,3,27,1876,4,25,1876,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,2000,4
61,Second Russo-Turkish,1,640,Turkey,2,4,24,1877,1,31,1878,-8,-8,-8,-8,-8,-8,373,11,2,2,-8,165000,4
61,Second Russo-Turkish,1,365,Russia,1,4,24,1877,1,31,1878,-8,-8,-8,-8,-8,-8,373,11,1,1,-8,120000,4
64,War of the Pacific,1,155,Chile,1,2,14,1879,12,11,1883,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,3276,4
64,War of the Pacific,1,135,Peru,2,4,5,1879,10,23,1883,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,9672,4
64,War of the Pacific,1,145,Bolivia,2,2,14,1879,12,11,1883,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,920,4
65,Conquest of Egypt,1,651,Egypt,2,7,11,1882,9,15,1882,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,10000,4
65,Conquest of Egypt,1,200,United Kingdom,1,7,11,1882,9,15,1882,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,79,4
67,Sino-French,1,220,France,1,6,15,1884,6,9,1885,-8,-8,-8,-8,-8,-8,385,7,1,1,-8,2100,4
67,Sino-French,1,710,China,2,6,15,1884,6,9,1885,-8,-8,-8,-8,-8,-8,385,7,2,2,-8,10000,4
70,Second Central American,1,92,El Salvador,1,3,28,1885,4,15,1885,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,200,4
70,Second Central American,1,90,Guatemala,2,3,28,1885,4,15,1885,-8,-8,-8,-8,-8,-8,-8,1,1,2,-8,800,4
73,First Sino-Japanese,1,710,China,2,7,25,1894,3,30,1895,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,10000,4
73,First Sino-Japanese,1,740,Japan,1,7,25,1894,3,30,1895,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,5000,4
76,Greco-Turkish,1,350,Greece,2,2,15,1897,5,19,1897,-8,-8,-8,-8,-8,-8,631,2,1,2,-8,600,4
76,Greco-Turkish,1,640,Turkey,1,2,15,1897,5,19,1897,-8,-8,-8,-8,-8,-8,631,2,2,1,-8,1400,4
79,Spanish-American,1,230,Spain,2,4,22,1898,8,12,1898,-8,-8,-8,-8,-8,-8,"404, 410",13,2,2,-8,775,4
79,Spanish-American,1,2,United States of America,1,4,22,1898,8,12,1898,-8,-8,-8,-8,-8,-8,"404, 410",13,1,1,-8,2910,4
82,Boxer Rebellion,1,365,Russia,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,302,4
