500,"Russia vs. Georgians",5,1816,-999,-999,1825,-999,-999,-999,-999,-999,-999,-999,-999,"Georgians",1,0,2924,3653,5000,11000,1,1,0,1,0,0,0,0,3.00
501,"Two Sicilies vs. Anti-Monarchists",4,1820,7,2,1821,3,3,-999,-999,-999,-999,-999,-999,"Anti-Monarchists",2,1,245,245,2000,-999,1,1,0,1,0,0,0,0,3.00
502,"Spain vs. Royalists",4,1821,12,1,1823,4,6,-999,-999,-999,-999,-999,-999,"Royalists",4,0,492,492,7000,-999,1,0,0,1,0,0,0,0,3.00
503,"Sardinia vs. Sardinian Rebels",4,1821,3,10,1821,4,8,-999,-999,-999,-999,-999,-999,"Sardinian Rebels",1,1,30,30,1000,-999,1,0,0,1,0,0,0,0,3.00
504,"Ottoman Empire vs. Greeks",5,1821,3,25,1828,4,25,-999,-999,-999,-999,-999,-999,"Greeks",2,0,2589,2589,15000,120000,1,0,0,1,0,0,0,0,3.00
505,"Ottoman Empire vs. Janissaries",4,1826,6,14,1826,9,30,-999,-999,-999,-999,-999,-999,"Janissaries",1,0,109,109,6000,20000,1,0,0,0,0,1,0,0,3.00
507,"Portugal vs. Conservatives",4,1829,7,1,1834,7,5,-999,-999,-999,-999,-999,-999,"Conservatives",1,1,1831,1831,20100,-999,1,0,0,1,0,0,0,0,3.00
508,"Russia vs. Circasians",5,1829,-999,-999,1840,-999,-999,-999,-999,-999,-999,-999,-999,"Circasians",1,0,3654,4383,1000,10000,1,1,0,1,0,0,0,0,3.00
509,"Netherlands vs. Belgians",5,1830,8,25,1831,-999,-999,-999,-999,-999,-999,-999,-999,"Belgians",2,1,130,494,90,2000,1,0,0,1,0,0,0,0,3.00
510,"France vs. Liberals",4,1830,7,25,1830,7,29,-999,-999,-999,-999,-999,-999,"Liberals",2,0,5,5,1700,-999,1,1,0,1,0,0,0,0,3.00
511,"Ottoman Empire vs. Albanians",5,1830,2,-999,1831,11,-999,-999,-999,-999,-999,-999,-999,"Albanians",1,0,612,668,5000,15000,1,0,0,1,0,0,0,0,3.00
512,"Russia vs. Poles of 1831",5,1831,2,7,1831,10,18,-999,-999,-999,-999,-999,-999,"Poles",1,0,254,254,15000,21000,1,1,0,1,0,0,0,0,3.00
513,"Ottoman Empire vs. Egyptians",5,1831,11,1,1832,12,21,-999,-999,-999,-999,-999,-999,"Egyptians",2,0,417,417,10000,18000,1,0,0,0,0,1,0,0,3.00
514,"Mexico vs. Liberals of 1832",4,1832,1,2,1832,12,11,-999,-999,-999,-999,-999,-999,"Liberals",1,0,345,345,4000,-999,0,0,1,0,0,0,0,0,3.00
515,"Spain vs. Carlists of 1834",4,1834,7,15,1840,7,15,-999,-999,-999,-999,-999,-999,"Carlists",1,1,2193,2193,75229,135229,1,0,0,1,0,0,0,0,3.00
516,"Brazil vs. Farrapos",5,1835,-999,-999,1845,3,1,-999,-999,-999,-999,-999,-999,"Farrapos",1,0,3349,3713,10000,-999,0,0,1,0,0,0,0,0,3.00
517,"Mexico vs. Texans",5,1835,10,1,1836,4,22,-999,-999,-999,-999,-999,-999,"Texans",2,0,205,205,1000,2000,0,0,1,0,0,0,0,0,3.00
518,"Ottoman Empire vs. Bosnians of 1836",5,1836,-999,-999,1837,-999,-999,-999,-999,-999,-999,-999,-999,"Bosnians",1,0,2,731,1000,-999,1,0,0,1,0,0,0,0,3.00
519,"Ottoman Empire vs. Mehmet Ali",5,1839,6,10,1839,6,24,1840,9,9,1840,11,27,"Mehmet Ali",1,1,95,95,10010,12010,1,0,0,0,0,1,0,0,3.00
521,"Colombia vs. Progressives",4,1840,7,15,1842,7,15,-999,-999,-999,-999,-999,-999,"Progressives",2,0,731,731,4000,-999,0,0,1,0,0,0,0,0,3.00
522,"Argentina vs. Unitarios",4,1841,1,1,1842,12,6,-999,-999,-999,-999,-999,-999,"Unitarios",1,0,705,705,300,1000,0,0,1,0,0,0,0,0,3.00
523,"Ottoman Empire vs. Bosnians of 1841",5,1841,-999,-999,1841,-999,-999,-999,-999,-999,-999,-999,-999,"Bosnians",1,0,1,365,2000,-999,1,0,0,1,0,0,0,0,3.00
524,"Spain vs. Carlists of 1847",4,1847,5,15,1849,5,1,-999,-999,-999,-999,-999,-999,"Carlists",1,0,718,718,3000,10000,1,0,0,1,0,0,0,0,3.00
525,"Mexico vs. Yucatan Maya",5,1847,7,26,1855,3,4,-999,-999,-999,-999,-999,-999,"Yucatan Maya",6,0,2779,2779,300000,-999,0,0,1,0,0,0,0,0,3.00
527,"Two Sicilies vs. Liberals",4,1848,1,12,1848,1,27,1848,9,3,1849,5,15,"Liberals",1,0,271,271,1000,-999,0,0,0,1,0,0,0,0,3.00
528,"France vs. Republicans",4,1848,2,22,1848,6,26,-999,-999,-999,-999,-999,-999,"Republicans",2,0,126,126,3000,-999,1,1,0,1,0,0,0,0,3.00
529,"Austria-Hungary vs. Viennese",4,1848,3,13,1848,10,31,-999,-999,-999,-999,-999,-999,"Viennese",1,0,233,233,249,3249,1,1,0,1,0,0,0,0,3.00
530,"Austria-Hungary vs. Magyars",5,1848,9,9,1849,8,13,-999,-999,-999,-999,-999,-999,"Magyars",1,1,339,339,84500,100000,1,1,0,1,0,0,0,0,3.00
531,"France vs. Royalists",4,1851,-999,-999,1851,12,-999,-999,-999,-999,-999,-999,-999,"Royalists",1,0,1,365,1000,-999,1,1,0,1,0,0,0,0,3.00
532,"Chile vs. Liberals",4,1851,9,15,1851,12,15,-999,-999,-999,-999,-999,-999,"Liberals",1,0,92,92,3000,-999,0,0,1,0,0,0,0,0,3.00
533,"Ottoman Empire vs. Montenegrins of 1852",5,1852,12,2,1853,3,13,-999,-999,-999,-999,-999,-999,"Montenegrins",2,0,102,102,5000,8000,1,0,0,1,0,0,0,0,3.00
534,"Peru vs. Liberals of 1853",4,1853,12,21,1855,1,7,-999,-999,-999,-999,-999,-999,"Liberals",1,0,383,383,4000,-999,0,0,1,0,0,0,0,0,3.00
535,"Peru vs. Conservatives",4,1856,10,31,1858,3,7,-999,-999,-999,-999,-999,-999,"Conservatives",1,0,493,493,3000,-999,0,0,1,0,0,0,0,0,3.00
537,"Mexico vs. Liberals of 1858",4,1858,2,15,1861,1,1,-999,-999,-999,-999,-999,-999,"Liberals",2,0,1052,1052,8000,-999,0,0,1,0,0,0,0,0,3.00
538,"Ottoman Empire vs. Montenegrins of 1858",5,1858,5,4,1859,6,1,-999,-999,-999,-999,-999,-999,"Montenegrins",2,0,394,394,3000,4400,1,0,0,1,0,0,0,0,3.00
539,"Venezuela vs. Liberals",4,1859,2,1,1863,12,31,-999,-999,-999,-999,-999,-999,"Liberals",2,0,1795,1795,20000,-999,0,0,1,0,0,0,0,0,3.00
540,"China vs. Taipings",4,1860,1,1,1864,7,31,-999,-999,-999,-999,-999,-999,"Taipings",1,1,1674,1674,2000025,-999,0,0,0,0,0,0,1,0,3.00
542,"China vs. Niens",5,1860,1,1,1868,8,16,-999,-999,-999,-999,-999,-999,"Niens",1,0,3151,3151,75000,-999,0,0,0,0,0,0,1,0,3.00
543,"China vs. Miaos",5,1860,1,1,1872,5,1,-999,-999,-999,-999,-999,-999,"Miaos",1,0,4505,4505,75000,-999,0,0,0,0,0,0,1,0,3.00
544,"Colombia vs. Liberals of 1860",4,1860,5,15,1862,10,15,-999,-999,-999,-999,-999,-999,"Liberals",1,0,884,884,2500,-999,0,0,1,0,0,0,0,0,3.00
545,"United States of America vs. Confederacy",5,1861,4,10,1865,4,9,-999,-999,-999,-999,-999,-999,"Confederacy",1,0,1461,1461,364511,650000,0,0,1,0,0,0,0,0,3.00
547,"Argentina vs. Beunos Aires of 1861",5,1861,-999,-999,1861,-999,-999,-999,-999,-999,-999,-999,-999,"Buenos Aires",1,0,1,365,500,1000,0,0,1,0,0,0,0,0,3.00
548,"Turkey vs. Montenegro",5,1862,-999,-999,1862,8,31,-999,-999,-999,-999,-999,-999,"Montenegro",1,0,1,243,3500,-999,1,0,0,1,0,0,0,0,3.00
