incomegp	house	children	singpar	agegp	bankacc	bsocacc	manage	ccarduse	cigbuy	xmasbuy	locintrn	prodebt
1	2	3	1	0	2	1	NA	5	2	1	1	2.829999924	2.710000038
2	5	2	3	0	2	1	NA	4	3	0	1	4.829999924	3.880000114
3	1	1	0	0	3	NA	NA	2	2	0	0	3.829999924	3.059999943
4	3	3	0	0	4	1	0	5	2	0	1	4.829999924	4.289999962
5	5	2	2	0	2	1	0	5	3	0	1	3.170000076	3.819999933
6	3	3	0	0	4	1	0	4	2	0	1	3.829999924	3.059999943
7	4	2	0	0	2	1	0	5	2	0	1	2.829999924	2.880000114
8	1	1	0	0	4	1	0	5	1	0	1	4.670000076	NA
9	2	3	0	0	4	1	0	5	NA	0	0	NA	NA
10	1	3	0	0	4	1	NA	5	2	0	1	NA	NA
11	1	3	0	0	3	1	NA	5	2	0	1	4.829999924	3.75999999
12	4	2	0	0	2	1	0	4	2	0	1	5.329999924	3.589999914
13	2	1	1	0	4	1	0	4	1	0	0	4.329999924	3.289999962
14	4	2	0	0	3	1	NA	2	3	0	1	3.829999924	4.289999962
15	2	3	0	0	4	1	0	5	1	0	1	4.329999924	2.470000029
16	2	3	0	0	4	1	0	5	1	0	1	4.329999924	2.650000095
17	1	2	1	1	1	NA	0	5	1	NA	NA	4.329999924	3.289999962
18	5	NA	0	0	4	1	NA	1	3	0	1	4	5.179999828
19	2	3	2	0	4	0	1	4	2	0	1	3.329999924	3.650000095
20	5	3	0	0	4	1	0	5	3	0	1	NA	2.75999999
21	NA	1	1	0	2	1	1	5	1	0	1	4.829999924	3.940000057
22	2	2	2	1	3	1	0	4	1	1	1	4.170000076	3.470000029
23	1	3	2	0	2	0	0	4	1	1	1	4.329999924	1.75999999
24	3	2	1	0	1	0	1	4	1	1	1	4.170000076	3.180000067
25	5	2	0	0	3	0	1	4	1	0	0	3.5	NA
26	2	2	2	0	3	0	1	4	1	0	1	3.670000076	3.819999933
27	1	1	2	1	2	0	1	5	1	0	1	4.829999924	4.349999905
28	2	2	5	0	2	0	1	NA	1	1	1	3.329999924	3.470000029
29	1	2	2	0	3	0	0	3	NA	1	0	3.170000076	2.710000038
30	2	2	2	1	2	1	0	2	2	0	1	4.170000076	3.880000114
31	4	2	0	0	3	1	1	4	3	0	1	4.329999924	3.589999914
32	1	1	2	0	2	NA	NA	2	NA	1	1	NA	4.590000153
33	NA	2	3	0	2	1	0	4	1	0	1	5.329999924	3.650000095
34	1	1	0	0	1	1	0	3	1	0	0	2.829999924	2.940000057
35	NA	1	2	1	1	NA	NA	4	1	0	1	2.670000076	3
36	2	2	4	0	2	1	0	4	NA	1	1	4.170000076	2.470000029
37	4	1	3	0	1	1	1	4	1	1	NA	4.170000076	NA
38	2	2	1	0	2	1	0	3	1	1	1	4.829999924	3.119999886
39	4	1	1	0	3	1	0	4	NA	1	1	NA	3.650000095
40	NA	1	3	0	1	1	0	5	1	0	1	4.670000076	3.059999943
41	3	2	3	0	2	1	0	5	3	1	1	4	NA
42	1	1	0	0	4	NA	NA	5	1	0	1	4.670000076	2.940000057
43	3	1	0	0	1	1	1	4	1	0	1	6	3.349999905
44	2	1	3	0	2	0	1	4	1	0	1	5.170000076	3.059999943
45	1	1	1	0	3	NA	NA	3	NA	1	1	3.5	2.940000057
46	1	1	0	0	4	1	1	5	1	1	1	4.670000076	2.940000057
47	1	2	1	0	3	0	0	5	1	1	1	4.329999924	2.410000086
48	2	1	2	0	2	1	0	3	1	1	1	2.329999924	3.289999962
49	2	1	2	0	2	1	1	5	1	1	1	5.329999924	2.880000114
50	4	1	3	0	2	0	0	4	NA	1	1	4.170000076	3.819999933
51	2	2	2	1	1	0	1	3	1	0	0	5	2.589999914
52	2	1	3	0	1	0	1	4	2	0	1	4	3.819999933
53	1	2	0	0	4	1	0	5	1	1	1	3	2.410000086
54	2	2	1	0	1	0	1	2	1	0	1	6	3.710000038
55	2	3	0	0	3	1	1	4	3	0	1	5.5	2.119999886
56	5	1	0	0	2	1	0	4	1	1	0	4.5	3.410000086
57	4	2	3	0	1	1	0	5	1	1	1	2.829999924	2.349999905
58	1	2	2	0	2	1	0	5	1	0	1	5	2.940000057
59	5	2	2	0	2	1	0	1	1	1	1	3.329999924	4.710000038
60	1	1	1	1	2	0	0	4	NA	1	1	4.170000076	3.180000067
61	1	3	6	0	2	0	0	4	1	0	1	4.829999924	NA
62	1	1	1	0	2	0	0	1	1	1	1	3	3.410000086
63	1	NA	0	0	4	0	1	5	NA	0	1	2.829999924	2.75999999
64	1	2	0	0	3	1	0	4	2	0	1	3.670000076	3.119999886
65	1	1	2	0	1	NA	NA	2	1	1	1	5	4.409999847
66	1	1	2	0	4	NA	NA	2	1	1	1	2	4.760000229
67	2	2	4	0	2	0	1	3	2	1	1	3.670000076	NA
68	5	2	0	0	2	1	0	5	3	0	1	5.5	4.059999943
69	3	2	2	0	2	1	1	5	3	0	1	5.829999924	3.529999971
70	3	2	0	0	2	1	0	4	3	1	0	4.170000076	2.710000038
71	5	2	1	0	2	1	1	2	1	0	1	3.329999924	4.349999905
72	5	2	2	0	2	1	1	4	3	0	1	4.670000076	4.119999886
73	3	2	0	0	3	0	1	5	1	0	1	4	2.119999886
74	3	3	0	0	4	1	1	2	3	1	1	4.5	2.470000029
75	2	3	0	0	4	1	1	5	2	0	1	4.329999924	3.410000086
76	1	3	0	0	4	1	0	5	1	1	1	6	3.349999905
77	2	3	0	0	4	0	1	4	1	1	1	5.170000076	3.059999943
78	3	3	0	0	3	1	0	4	1	0	0	4.329999924	2.589999914
79	1	3	0	0	4	1	0	5	NA	1	1	4.329999924	3.880000114
80	2	3	0	0	4	1	0	4	3	0	1	3.670000076	4
81	2	3	0	0	4	1	1	5	1	0	0	4.670000076	3.880000114
82	5	2	1	0	2	1	1	4	3	1	1	5.329999924	4.650000095
83	2	3	0	0	4	0	1	5	1	0	1	2.5	2.349999905
84	2	3	0	0	4	1	1	4	3	0	1	NA	3.24000001
85	3	2	0	0	4	1	1	4	3	0	1	4.670000076	2.940000057
86	2	3	0	0	4	1	1	4	1	0	1	NA	3.059999943
87	4	2	2	0	2	1	1	4	2	0	1	4.329999924	3.529999971
88	5	2	2	0	2	1	1	4	3	0	1	4	5
89	5	3	1	0	3	1	1	5	3	0	1	5.170000076	2.470000029
90	2	2	0	0	1	1	1	4	1	1	0	3.670000076	3.589999914
91	3	2	0	0	3	1	NA	5	1	0	1	3.170000076	2.819999933
92	4	2	3	0	2	1	1	5	3	0	1	4.329999924	3.940000057
93	2	2	0	0	3	1	1	5	2	0	1	2.5	1.350000024
94	4	2	0	0	1	1	0	5	1	0	1	4.329999924	2.819999933
95	5	2	2	0	2	1	1	4	2	0	1	5.670000076	2.940000057
96	2	3	0	0	4	1	1	5	2	0	1	5.170000076	4.650000095
97	1	3	0	0	4	1	1	4	1	0	1	4.329999924	NA
98	2	2	3	0	2	1	1	5	1	0	1	3.329999924	3.940000057
99	3	2	1	0	2	1	1	5	1	1	1	4	3.819999933
100	2	2	1	0	2	1	0	4	1	1	1	3.5	4.179999828
101	2	1	1	1	3	0	1	3	1	0	1	3.5	3.349999905
102	3	2	3	0	1	0	1	3	1	1	1	4	2.289999962
103	1	2	0	0	4	0	1	5	1	1	1	4.5	2.880000114
104	5	2	2	0	2	1	1	2	1	0	1	4.5	4.059999943
105	2	2	3	0	2	1	1	4	2	0	NA	5	NA
106	1	1	0	0	3	0	1	4	1	0	1	3.829999924	NA
107	3	1	3	0	2	0	1	4	1	1	1	4.170000076	3.059999943
108	4	1	0	0	2	1	0	4	1	0	1	4.5	2.819999933
109	2	2	0	0	3	0	1	3	1	1	1	5.170000076	2.180000067
110	5	1	0	0	3	1	1	5	3	0	1	4.329999924	2.289999962
111	2	2	4	0	2	1	0	3	2	0	1	3.170000076	2.710000038
112	1	1	1	1	1	NA	NA	2	1	1	1	4.170000076	3.589999914
113	1	2	0	0	2	1	1	5	NA	0	1	6.5	2.589999914
114	4	1	1	0	1	0	1	2	NA	1	1	4.670000076	3.410000086
115	3	2	3	0	2	1	0	2	1	1	1	2.829999924	3.529999971
116	5	2	1	0	1	1	0	3	2	1	1	4.170000076	3.650000095
117	2	2	0	0	3	1	0	5	1	1	1	4.5	3.940000057
118	2	2	3	0	2	1	0	4	1	1	1	5.329999924	3.180000067
119	2	2	0	0	3	1	1	3	NA	1	1	2.329999924	3.180000067
120	2	1	2	0	2	1	0	4	NA	1	1	NA	NA
121	4	2	0	0	2	1	0	3	3	0	0	4.170000076	3.940000057
