year	divorce	unemployed	femlab	marriage	birth	military
1	1920	8	5.2	22.7	92	117.9	3.2247
2	1921	7.2	11.7	22.79	83	119.8	3.5614
3	1922	6.6	6.7	22.88	79.7	111.2	2.4553
4	1923	7.1	2.4	22.97	85.2	110.5	2.2065
5	1924	7.2	5	23.06	80.3	110.9	2.2889
6	1925	7.2	3.2	23.15	79.2	106.6	2.1735
7	1926	7.5	1.8	23.24	78.7	102.6	2.1073
8	1927	7.8	3.3	23.33	77	99.8	2.0913
9	1928	7.8	4.2	23.42	74.1	93.8	2.0821
10	1929	8	3.2	23.51	75.5	89.3	2.0944
11	1930	7.5	8.7	23.6	67.6	89.2	2.0753
12	1931	7.1	15.9	24.03	61.9	84.6	2.0347
13	1932	6.1	23.6	24.46	56	81.7	1.96
14	1933	6.1	24.9	24.89	61.3	76.3	1.9401
15	1934	7.5	21.7	25.32	71.8	78.5	1.9539
16	1935	7.8	20.1	25.75	72.5	77.2	1.977
17	1936	8.3	16.9	26.18	74	75.8	2.273
18	1937	8.7	14.3	26.61	78	77.1	2.4178
19	1938	8.4	19	27.04	69.9	79.1	2.4847
20	1939	8.5	17.2	27.47	73	77.6	2.5527
21	1940	8.8	14.6	27.9	82.8	79.9	3.4693
22	1941	9.4	9.9	28.5	88.5	83.4	13.5013
23	1942	10.1	4.7	30.9	93	91.5	28.6133
24	1943	11	1.9	35.7	83	94.3	66.1461
25	1944	12	1.2	36.3	76.5	88.8	82.7454
26	1945	14.4	1.9	35.8	83.6	85.9	86.6407
27	1946	17.9	3.9	30.8	118.1	101.9	21.4309
28	1947	13.6	3.9	31.8	106.2	113.3	10.9834
29	1948	11.2	3.8	32.7	98.5	107.3	9.8609
30	1949	10.6	5.9	33.2	86.7	107.1	10.8277
31	1950	10.3	5.3	33.9	90.2	106.2	9.627
32	1951	9.9	3.3	34.7	86.6	111.5	21.0611
33	1952	10.1	3	34.8	83.2	113.9	23.1655
34	1953	9.9	2.9	34.5	83.7	115.2	22.2797
35	1954	9.5	5.5	34.6	79.8	118.1	20.3343
36	1955	9.3	4.4	35.7	80.9	118.5	17.7589
37	1956	9.4	4.1	36.9	82.4	121.2	16.6831
38	1957	9.2	4.3	36.9	78	122.9	16.3235
39	1958	8.9	6.8	37.1	72	120.2	14.9338
40	1959	9.3	5.5	37.2	73.6	118.8	14.0826
41	1960	9.2	5.5	37.8	73.5	118	13.7069
42	1961	9.6	6.7	37.1	72.2	117.2	13.5215
43	1962	9.4	5.5	38	71.2	112.2	15.0523
44	1963	9.6	5.7	38.3	73.4	108.5	14.2657
45	1964	10	5.2	38.7	74.6	105	14.005
46	1965	10.6	4.5	39.3	75	96.6	13.6662
47	1966	10.9	3.8	40.3	75.6	91.3	15.741
48	1967	11.2	3.8	41.1	76.4	87.6	16.9938
49	1968	12.4	3.6	41.6	79.1	85.7	17.6771
50	1969	13.4	3.5	42.7	80	86.5	17.0723
51	1970	14.9	4.9	43.4	76.5	87.9	14.9537
52	1971	15.8	5.9	42.8	76.2	81.8	13.0648
53	1972	17	5.6	43.4	77.9	73.4	11.0624
54	1973	18.2	4.9	44.2	76	69.2	10.6269
55	1974	19.3	5.6	45.1	72	68.4	10.1097
56	1975	20.3	8.5	46.3	66.9	66.7	9.8536
57	1976	21.1	7.7	46.8	65.2	65.8	9.5485
58	1977	21.1	7.1	47.8	63.6	66.8	9.4195
59	1978	21.9	6.1	49.3	64.1	66.6	9.2626
60	1979	22.8	5.8	50.3	63.6	67.2	9.0062
61	1980	22.6	7.1	51.5	61.4	68.4	9.0247
62	1981	22.6	7.6	52.1	61.7	67.4	9.0757
63	1982	21.7	9.7	52.6	61.4	67.3	9.102
64	1983	21.3	9.6	52.9	59.9	65.8	9.0822
65	1984	21.5	7.5	53.6	59.5	65.4	9.0667
66	1985	21.7	7.2	54.5	57	66.2	9.0408
67	1986	21.2	7	55.3	56.2	65.4	9.033
68	1987	20.8	6.2	56	55.7	65.7	8.9737
69	1988	20.7	5.5	56.6	54.6	67.2	8.7453
70	1989	20.4	5.3	57.4	54.2	69.2	8.6307
71	1990	20.9	5.6	57.5	54.5	70.9	8.1924
72	1991	20.9	6.8	57.4	54.2	69.6	7.8744
73	1992	21.2	7.5	57.8	53.3	68.9	7.0862
74	1993	20.5	6.9	57.9	52.3	67.6	6.6145
75	1994	20.5	6.1	58.8	51.5	66.7	6.1865
76	1995	19.8	5.6	58.9	50.8	65.6	5.777
77	1996	19.5	5.4	59.3	49.7	65.3	5.5488
