psize	operator	resin
1	36.2	1	1
2	36.3	1	1
3	35.3	1	2
4	35	1	2
5	30.8	1	3
6	30.6	1	3
7	29.8	1	4
8	29.6	1	4
9	32	1	5
10	31.7	1	5
11	30.7	1	6
12	29.7	1	6
13	33.4	1	7
14	32.4	1	7
15	37.1	1	8
16	36.5	1	8
17	35.8	2	1
18	35	2	1
19	35.6	2	2
20	35.1	2	2
21	30.4	2	3
22	28.9	2	3
23	30.2	2	4
24	29.9	2	4
25	31.1	2	5
26	31.7	2	5
27	30.9	2	6
28	30.4	2	6
29	32.9	2	7
30	32.1	2	7
31	36.7	2	8
32	36.2	2	8
33	36	3	1
34	34.6	3	1
35	33	3	2
36	33.7	3	2
37	31.3	3	3
38	27.1	3	3
39	30	3	4
40	27.3	3	4
41	28.7	3	5
42	29.9	3	5
43	30.8	3	6
44	28.7	3	6
45	35.5	3	7
46	30.1	3	7
47	32.6	3	8
48	33.7	3	8
