acuity	power	eye	subject
1	116	6/6	left	1
2	119	6/18	left	1
3	116	6/36	left	1
4	124	6/60	left	1
5	120	6/6	right	1
6	117	6/18	right	1
7	114	6/36	right	1
8	122	6/60	right	1
9	110	6/6	left	2
10	110	6/18	left	2
11	114	6/36	left	2
12	115	6/60	left	2
13	106	6/6	right	2
14	112	6/18	right	2
15	110	6/36	right	2
16	110	6/60	right	2
17	117	6/6	left	3
18	118	6/18	left	3
19	120	6/36	left	3
20	120	6/60	left	3
21	120	6/6	right	3
22	120	6/18	right	3
23	120	6/36	right	3
24	124	6/60	right	3
25	112	6/6	left	4
26	116	6/18	left	4
27	115	6/36	left	4
28	113	6/60	left	4
29	115	6/6	right	4
30	116	6/18	right	4
31	116	6/36	right	4
32	119	6/60	right	4
33	113	6/6	left	5
34	114	6/18	left	5
35	114	6/36	left	5
36	118	6/60	left	5
37	114	6/6	right	5
38	117	6/18	right	5
39	116	6/36	right	5
40	112	6/60	right	5
41	119	6/6	left	6
42	115	6/18	left	6
43	94	6/36	left	6
44	116	6/60	left	6
45	100	6/6	right	6
46	99	6/18	right	6
47	94	6/36	right	6
48	97	6/60	right	6
49	110	6/6	left	7
50	110	6/18	left	7
51	105	6/36	left	7
52	118	6/60	left	7
53	105	6/6	right	7
54	105	6/18	right	7
55	115	6/36	right	7
56	115	6/60	right	7
