thorax	longevity	activity
1	0.68	37	low
2	0.68	49	low
3	0.72	46	low
4	0.72	63	low
5	0.76	39	low
6	0.76	46	low
7	0.76	56	low
8	0.76	63	low
9	0.76	65	low
10	0.8	56	low
11	0.8	65	low
12	0.8	70	low
13	0.84	63	low
14	0.84	65	low
15	0.84	70	low
16	0.84	77	low
17	0.84	81	low
18	0.84	86	low
19	0.88	70	low
20	0.88	70	low
21	0.92	77	low
22	0.92	77	low
23	0.92	81	low
24	0.94	77	low
25	0.64	40	many
26	0.7	37	many
27	0.72	44	many
28	0.72	47	many
29	0.72	47	many
30	0.76	47	many
31	0.78	68	many
32	0.8	47	many
33	0.84	54	many
34	0.84	61	many
35	0.84	71	many
36	0.84	75	many
37	0.84	89	many
38	0.88	58	many
39	0.88	59	many
40	0.88	62	many
41	0.88	79	many
42	0.88	96	many
43	0.92	58	many
44	0.92	62	many
45	0.92	70	many
46	0.92	72	many
47	0.92	75	many
48	0.92	96	many
49	0.94	75	many
50	0.64	46	isolated
51	0.68	42	isolated
52	0.72	65	isolated
53	0.76	46	isolated
54	0.76	58	isolated
55	0.8	42	isolated
56	0.8	48	isolated
57	0.8	58	isolated
58	0.82	50	isolated
59	0.82	80	isolated
60	0.84	63	isolated
61	0.84	65	isolated
62	0.84	70	isolated
63	0.84	70	isolated
64	0.84	72	isolated
65	0.84	97	isolated
66	0.88	46	isolated
67	0.88	56	isolated
68	0.88	70	isolated
69	0.88	70	isolated
70	0.88	72	isolated
71	0.88	76	isolated
72	0.88	90	isolated
73	0.92	76	isolated
74	0.92	92	isolated
75	0.68	21	one
76	0.68	40	one
77	0.72	44	one
78	0.76	54	one
79	0.78	36	one
80	0.8	40	one
81	0.8	56	one
82	0.8	60	one
83	0.84	48	one
84	0.84	53	one
85	0.84	60	one
86	0.84	60	one
87	0.84	65	one
88	0.84	68	one
89	0.88	60	one
90	0.88	81	one
91	0.88	81	one
92	0.9	48	one
93	0.9	48	one
94	0.9	56	one
95	0.9	68	one
96	0.9	75	one
97	0.9	81	one
98	0.92	48	one
99	0.92	68	one
100	0.64	16	high
101	0.64	19	high
102	0.68	19	high
103	0.72	32	high
104	0.72	33	high
105	0.74	33	high
106	0.76	30	high
107	0.76	42	high
108	0.76	42	high
109	0.78	33	high
110	0.8	26	high
111	0.8	30	high
112	0.82	40	high
113	0.82	54	high
114	0.84	34	high
115	0.84	34	high
116	0.84	47	high
117	0.84	47	high
118	0.88	42	high
119	0.88	47	high
120	0.88	54	high
121	0.88	54	high
122	0.88	56	high
123	0.88	60	high
124	0.92	44	high
