miltcoup	oligarchy	pollib	parties	pctvote	popn	size	numelec	numregim
Angola	0	0	2	38	NA	9.7	1247	0	1
Benin	5	7	1	34	45.68	4.6	113	8	3
Botswana	0	0	NA	7	20.3	1.2	582	5	1
Burkina	6	13	2	62	17.5	8.8	274	5	3
Burundi	2	13	2	10	34.39	5.3	28	3	3
Cameroon	0	0	2	34	30.3	11.6	475	14	3
Capeverde	1	0	2	5	30.46	0.361	4	2	1
CAR	3	14	2	14	16.2	3	623	6	4
Chad	1	15	2	27	44.16	5.5	1284	4	3
Comoros	2	0	2	4	52	0.458	2	6	2
Congo	3	2	2	27	40.8	2.2	342	10	4
CotedIvoi	0	0	2	37	12.18	11.7	322	12	2
Djibouti	0	0	1	2	24.18	0.411	23	4	2
Eqguinea	1	8	2	21	16.67	0.407	28	4	4
Ethiopia	1	10	2	17	28.95	49.5	1222	6	3
Gabon	1	0	2	15	77.4	1.1	268	12	2
Gambia	0	0	NA	5	25.09	0.849	11	7	1
Ghana	5	17	1	22	16.86	14.4	239	6	3
Guinea	1	6	2	19	53.76	5.6	246	9	3
GuineaBis	1	0	2	12	11.66	0.96	36	0	1
Kenya	0	0	2	13	10.04	23.5	580	6	3
Lesotho	1	4	1	10	0	1.7	30	1	4
Liberia	1	5	0	14	23.64	2.5	111	12	3
Madagasca	2	1	1	19	37.8	11.3	587	12	4
Malawi	0	0	2	8	40.22	8.2	118	4	2
Mali	1	11	1	10	45.29	8.2	1240	7	3
Mauritani	4	11	2	10	NA	1.9	1026	8	2
Mauritius	0	0	NA	10	54.3	1.1	2	4	1
Mozambiqu	0	0	2	15	NA	15.3	802	0	1
Namibia	0	0	2	11	26	1.7	824	1	1
Niger	1	15	2	12	44.86	7.4	1267	5	4
Nigeria	6	18	1	2	28.36	113.8	924	5	2
Rwanda	1	2	1	15	41.46	6.9	26	10	4
Saotome	0	0	2	6	NA	0.12	1	0	2
Senegal	0	0	NA	17	16.05	7.2	197	13	2
Seychelle	1	0	2	9	43.04	0.067	0.5	6	2
Sierraleo	2	1	2	13	72.06	4	72	8	3
Somalia	1	10	2	17	65	6.1	638	5	4
S.Africa	0	0	2	33	7.46	35	1221	8	1
Sudan	5	7	0	16	18.9	24.5	2506	11	3
Swaziland	0	0	1	6	19.36	0.761	17	1	2
Tanzania	0	0	2	13	24.49	23.8	945	10	2
Togo	2	9	2	19	34.13	3.5	57	8	4
Uganda	3	9	1	0	NA	16.8	236	3	3
Zaire	2	1	2	12	NA	34.5	2345	8	3
Zambia	0	0	2	13	20.75	7.8	753	11	2
Zimbabwe	0	0	NA	15	35.38	9.5	391	1	2
