x	y	m
1	0.0048	-0.0339	0
2	0.0086	0.1654	0
3	0.0117	0.0245	0
4	0.017	0.1784	0
5	0.0261	-0.3466	0
6	0.0299	-0.755	0
7	0.0307	0.3549	0
8	0.0315	0.0401	0
9	0.0331	0.1059	0
10	0.034	0.1218	0
11	0.0351	-0.1353	0
12	0.0422	-0.032	0
13	0.0434	0.0862	0
14	0.0477	0.5027	0
15	0.0566	-0.2258	0
16	0.0689	-0.2826	0
17	0.0738	0.2985	0
18	0.0744	-0.0033	0
19	0.0784	-0.7472	0
20	0.0796	-0.3249	0
21	0.0824	-0.175	0
22	0.0828	0.1133	0
23	0.0909	0.5567	0
24	0.0919	-0.3106	0
25	0.0987	-0.3093	0
26	0.1007	-0.2672	0
27	0.1041	0.2725	0
28	0.108	-0.3175	0
29	0.1156	0.3786	0
30	0.1223	-0.0461	0
31	0.1245	0.1539	0
32	0.1277	0.2481	0
33	0.1285	-0.4856	0
34	0.1328	-0.1231	0
35	0.1359	-0.4943	0
36	0.1398	-0.3818	0
37	0.1443	-0.3332	0
38	0.1541	0.1339	0
39	0.1629	0.2741	0
40	0.168	0.404	0
41	0.1729	-0.5872	0
42	0.1754	-0.0106	0
43	0.1763	-0.1224	0
44	0.1786	0.2777	0
45	0.1875	0.071	0.0001
46	0.1932	0.5248	0.0001
47	0.1944	-0.0773	0.0001
48	0.2022	0.3433	0.0001
49	0.2025	0.0269	0.0001
50	0.205	-0.3421	0.0002
51	0.2065	0.3576	0.0002
52	0.2099	-0.0153	0.0002
53	0.2159	-0.8875	0.0003
54	0.2282	0.3097	0.0004
55	0.2301	0.0671	0.0004
56	0.236	0.3394	0.0006
57	0.2365	0.3158	0.0006
58	0.2423	0.0445	0.0007
59	0.2445	0.1057	0.0008
60	0.2466	0.1154	0.0008
61	0.248	-0.4195	0.0009
62	0.2527	0.509	0.001
63	0.2622	-0.2398	0.0014
64	0.2643	0.0583	0.0015
65	0.2663	-0.1611	0.0017
66	0.267	0.1788	0.0017
67	0.2708	0.2164	0.0019
68	0.2752	-0.1188	0.0022
69	0.2789	0.1139	0.0025
70	0.279	0.2405	0.0025
71	0.2803	0.3186	0.0026
72	0.2814	0.1967	0.0027
73	0.2881	0.0324	0.0034
74	0.2974	0.116	0.0045
75	0.2974	-0.3905	0.0045
76	0.2981	-0.2433	0.0045
77	0.3025	-0.2518	0.0052
78	0.3059	-0.2359	0.0057
79	0.3078	-0.5156	0.0061
80	0.3176	-0.3489	0.008
81	0.3206	-0.6037	0.0087
82	0.3246	0.018	0.0097
83	0.3251	0.3086	0.0098
84	0.3304	-0.1149	0.0113
85	0.3368	-0.2661	0.0134
86	0.3369	0.006	0.0135
