equip	econ	perAA	rural	atlanta	gore	bush	other	votes	ballots
APPLING	LEVER	poor	0.182	rural	notAtlanta	2093	3940	66	6099	6617
ATKINSON	LEVER	poor	0.23	rural	notAtlanta	821	1228	22	2071	2149
BACON	LEVER	poor	0.131	rural	notAtlanta	956	2010	29	2995	3347
BAKER	OS-CC	poor	0.476	rural	notAtlanta	893	615	11	1519	1607
BALDWIN	LEVER	middle	0.359	rural	notAtlanta	5893	6041	192	12126	12785
BANKS	LEVER	middle	0.024	rural	notAtlanta	1220	3202	111	4533	4773
BARROW	OS-CC	middle	0.079	urban	notAtlanta	3657	7925	520	12102	12522
BARTOW	OS-PC	middle	0.079	urban	Atlanta	7508	14720	552	22780	23735
BEN.HILL	OS-PC	poor	0.282	rural	notAtlanta	2234	2381	46	4661	5741
BERRIEN	OS-CC	poor	0.107	rural	notAtlanta	1640	2718	52	4410	4475
BIBB	OS-CC	middle	0.396	urban	notAtlanta	24996	24071	709	49776	52075
BLECKLEY	LEVER	middle	0.166	rural	notAtlanta	1273	2436	40	3749	3867
BRANTLEY	LEVER	poor	0.036	rural	notAtlanta	1372	3118	76	4566	4910
BROOKS	LEVER	poor	0.341	rural	notAtlanta	2096	2406	49	4551	4754
BRYAN	LEVER	middle	0.13	urban	notAtlanta	2172	4835	52	7059	7059
BULLOCH	OS-CC	middle	0.218	rural	notAtlanta	5561	8990	231	14782	15371
BURKE	LEVER	poor	0.465	rural	notAtlanta	3720	3381	34	7135	7431
BUTTS	OS-PC	middle	0.252	rural	notAtlanta	2281	3198	156	5635	5907
CALHOUN	PUNCH	poor	0.562	rural	notAtlanta	1107	768	12	1887	2065
CAMDEN	LEVER	middle	0.192	rural	notAtlanta	3636	6371	112	10119	10204
CANDLER	LEVER	poor	0.239	rural	notAtlanta	1053	1643	26	2722	2846
CARROLL	OS-CC	middle	0.128	urban	notAtlanta	8752	16326	663	25741	26740
CATOOSA	OS-CC	middle	0.009	urban	notAtlanta	5470	12033	218	17721	18114
CHARLTON	LEVER	poor	0.231	rural	notAtlanta	1015	1770	31	2816	2963
CHATHAM	OS-PC	middle	0.341	urban	notAtlanta	37590	37847	1037	76474	78381
CHATTAHOOCHEE	LEVER	middle	0.344	urban	notAtlanta	600	590	17	1207	1227
CHATTOOGA	OS-PC	middle	0.085	rural	notAtlanta	2729	3640	108	6477	6823
CHEROKEE	OS-CC	rich	0.021	urban	Atlanta	12295	38033	2020	52348	53458
CLARKE	LEVER	middle	0.242	urban	notAtlanta	15167	11850	1887	28904	29519
CLAY	LEVER	poor	0.563	rural	notAtlanta	821	448	8	1277	1334
CLAYTON	PUNCH	middle	0.509	urban	Atlanta	40042	19966	1390	61398	63309
CLINCH	LEVER	middle	0.252	rural	notAtlanta	816	1091	22	1929	1996
COBB	OS-PC	rich	0.16	urban	Atlanta	86676	140494	7856	235026	236525
COFFEE	LEVER	middle	0.259	rural	notAtlanta	3593	5756	81	9430	9687
COLQUITT	LEVER	poor	0.2	rural	notAtlanta	3297	6589	86	9972	10355
COLUMBIA	PUNCH	rich	0.099	urban	notAtlanta	8969	26660	379	36008	37606
