time	poison	treat
1	0.31	I	A
2	0.82	I	B
3	0.43	I	C
4	0.45	I	D
5	0.45	I	A
6	1.1	I	B
7	0.45	I	C
8	0.71	I	D
9	0.46	I	A
10	0.88	I	B
11	0.63	I	C
12	0.66	I	D
13	0.43	I	A
14	0.72	I	B
15	0.76	I	C
16	0.62	I	D
17	0.36	II	A
18	0.92	II	B
19	0.44	II	C
20	0.56	II	D
21	0.29	II	A
22	0.61	II	B
23	0.35	II	C
24	1.02	II	D
25	0.4	II	A
26	0.49	II	B
27	0.31	II	C
28	0.71	II	D
29	0.23	II	A
30	1.24	II	B
31	0.4	II	C
32	0.38	II	D
33	0.22	III	A
34	0.3	III	B
35	0.23	III	C
36	0.3	III	D
37	0.21	III	A
38	0.37	III	B
39	0.25	III	C
40	0.36	III	D
41	0.18	III	A
42	0.38	III	B
43	0.24	III	C
44	0.31	III	D
45	0.23	III	A
46	0.29	III	B
47	0.22	III	C
48	0.33	III	D
