wage	educ	exper	race	smsa	ne	mw	so	we	pt
6085	771.6	18	18	0	1	1	0	0	0	0
23701	617.28	15	20	0	1	0	0	0	1	0
16208	957.83	16	9	0	1	0	0	1	0	0
2720	617.28	12	24	0	1	1	0	0	0	0
9723	902.18	14	12	0	1	0	1	0	0	0
22239	299.15	12	33	0	1	0	0	0	1	0
14379	541.31	16	42	0	1	0	0	1	0	1
12878	148.39	16	0	0	1	0	1	0	0	1
23121	273.19	12	36	0	1	0	0	0	1	1
13086	666.67	12	37	0	0	0	1	0	0	0
19913	241.5	9	20	1	1	0	0	1	0	1
20055	703.79	14	29	0	1	0	0	1	0	0
6076	550.81	17	16	0	0	1	0	0	0	0
24050	807.22	14	21	0	1	0	0	0	1	1
11064	712.25	14	11	0	0	0	1	0	0	0
26395	351.46	10	10	0	1	0	0	0	1	0
15576	373.24	12	8	0	0	0	0	1	0	0
18936	759.73	13	19	0	1	0	0	1	0	0
4747	356.13	14	6	0	1	1	0	0	0	0
21572	308.64	16	0	0	1	0	0	1	0	0
14575	469.14	6	24	0	0	0	0	1	0	0
15065	617.28	16	-1	0	1	0	0	1	0	0
23270	123.46	16	1	0	1	0	0	0	1	1
11093	474.83	12	11	0	0	0	1	0	0	0
8830	261.16	12	40	0	1	0	1	0	0	0
9219	284.9	12	5	0	1	0	1	0	0	0
28065	1661.92	12	15	0	1	0	0	0	1	0
1339	629.15	12	44	0	1	1	0	0	0	0
13462	2374.15	12	35	0	1	0	0	1	0	0
10787	522.32	16	8	0	1	0	1	0	0	0
11423	688.51	14	12	0	1	0	1	0	0	0
15657	246.91	9	13	0	1	0	0	1	0	0
2698	949.67	5	55	1	1	1	0	0	0	0
14276	261.16	14	7	1	1	0	0	1	0	0
10854	106.86	10	52	0	1	0	1	0	0	1
7510	296.77	12	11	0	1	0	1	0	0	0
26838	379.87	14	8	0	1	0	0	0	1	0
21118	634.92	9	19	0	1	0	0	1	0	0
10875	1182.03	12	45	0	1	0	1	0	0	0
8891	740.74	12	9	0	1	0	1	0	0	0
15487	237.42	10	12	1	1	0	0	1	0	0
6090	144.03	12	0	0	1	1	0	0	0	0
2293	406.96	14	11	0	0	1	0	0	0	0
8794	351.61	9	10	0	0	0	1	0	0	0
3544	593.54	12	10	0	1	1	0	0	0	0
23320	273.03	14	4	0	1	0	0	0	1	0
23176	997.15	12	44	0	1	0	0	0	1	0
4938	1198.96	12	34	0	1	1	0	0	0	0
12672	569.8	15	15	0	1	0	1	0	0	0
8971	130.58	12	4	0	1	0	1	0	0	0
16287	641.03	13	16	1	1	0	0	1	0	0
15181	712.25	14	25	0	1	0	0	1	0	0
3554	1073.12	16	8	0	1	1	0	0	0	0
26446	712.25	16	13	0	1	0	0	0	1	0
8698	261.16	12	35	0	1	0	1	0	0	0
9899	783.48	16	4	0	1	0	1	0	0	0
18503	197.53	12	8	1	1	0	0	1	0	1
27829	720.16	12	28	1	1	0	0	0	1	0
10616	593.54	14	18	0	1	0	1	0	0	0
24172	1234.57	18	7	0	1	0	0	0	1	0
14806	533.87	12	9	0	0	0	0	1	0	0
4777	712.25	16	6	0	1	1	0	0	0	0
9322	909.31	16	9	0	1	0	1	0	0	0
