midterm	final	hw	total
1	24.5	26	28.5	79
2	22.5	24.5	28.2	75.2
3	23.5	26.5	28.3	78.3
4	23.5	34.5	29.2	87.2
5	22.5	30.5	27.3	80.3
6	16	31	27.5	74.5
7	27.5	33.5	29.7	90.7
8	22.5	31	29	82.5
9	25	29.5	27.3	81.8
10	30	37.5	27.2	94.7
11	17.5	19.5	27.8	64.8
12	16.5	23.5	28.5	68.5
13	22.5	21	24.3	67.8
14	22.5	20	26.2	68.7
15	11.5	15.5	29	56
16	20	20	28.7	68.7
17	24	31	29.3	84.3
18	9.5	23.5	22.5	55.5
19	20	22	28.2	70.2
20	26.5	30.5	28.5	85.5
21	18.5	28.5	28.5	75.5
22	18.5	23	26	67.5
23	14.5	32.5	25.7	72.7
24	18.5	26.5	29.3	74.3
25	17.5	28.5	26.8	72.8
26	23	30.5	28	81.5
27	14	21	23.7	58.7
28	27.5	25.5	29.3	82.3
29	24.5	23	28.3	75.8
30	22.5	28.5	27.5	78.5
31	20	29	28.7	77.7
32	17.5	27	29	73.5
33	17.5	19.5	27.2	64.2
34	22.5	27.5	9.2	59.2
35	26.5	24	27.7	78.2
36	18.5	27	24.2	69.7
37	20.5	32.5	25	78
38	14.5	22	18.7	55.2
39	16	29.5	11.3	56.8
40	24	32.5	29.3	85.8
41	16	23.5	26.2	65.7
42	22.5	28.5	27	78
43	20	24.5	26	70.5
44	17	26	28.2	71.2
45	14	23	27.2	64.2
46	25.5	30	19.3	74.8
47	14	13	23.5	50.5
48	8.5	19.5	20.3	48.3
49	27.5	32.5	27.3	87.3
50	18	30	24	72
51	22.5	27	27.5	77
52	15	26.5	27.5	69
53	22.5	23	29	74.5
54	26.5	33	27.5	87
55	23.5	28	24.3	75.8
