popul	TVnews	selfLR	ClinLR	DoleLR	PID	age	educ	income	vote
1	0	7	extCon	extLib	Con	strRep	36	HS	$3Kminus	Dole
2	190	1	sliLib	sliLib	sliCon	weakDem	20	Coll	$3Kminus	Clinton
3	31	7	Lib	Lib	Con	weakDem	24	BAdeg	$3Kminus	Clinton
4	83	4	sliLib	Mod	sliCon	weakDem	28	BAdeg	$3Kminus	Clinton
5	640	7	sliCon	Con	Mod	strDem	68	BAdeg	$3Kminus	Clinton
6	110	3	sliLib	Mod	Con	weakDem	21	Coll	$3Kminus	Clinton
7	100	7	sliCon	Con	Mod	weakDem	77	Coll	$3Kminus	Clinton
8	31	1	sliCon	Mod	sliCon	indRep	21	Coll	$3Kminus	Clinton
9	180	7	Mod	Con	sliLib	indind	31	Coll	$3Kminus	Clinton
10	2800	0	sliLib	sliLib	extCon	strDem	39	HS	$3Kminus	Clinton
11	1600	0	sliLib	Lib	Mod	indRep	26	HSdrop	$3Kminus	Clinton
12	330	5	Mod	sliLib	Con	weakDem	31	Coll	$3Kminus	Clinton
13	190	2	sliCon	Mod	Con	weakRep	22	Coll	$3Kminus	Dole
14	100	7	Mod	Mod	Con	strDem	42	CCdeg	$3Kminus	Clinton
15	1000	7	sliCon	extCon	Mod	strDem	74	MS	$3Kminus	Clinton
16	0	7	Con	extCon	sliCon	strDem	62	HS	$3Kminus	Clinton
17	130	7	Mod	Mod	sliCon	weakDem	58	HS	$3Kminus	Clinton
18	5	5	sliLib	sliLib	Con	weakDem	24	BAdeg	$3Kminus	Clinton
19	33	7	Con	Lib	Con	weakRep	51	Coll	$3Kminus	Dole
20	19	2	Lib	extLib	Mod	strDem	36	HS	$3K-$5K	Clinton
21	74	7	Mod	Mod	extCon	indDem	88	HSdrop	$3K-$5K	Clinton
22	190	0	Lib	Mod	Con	indDem	20	Coll	$3K-$5K	Clinton
23	12	3	Mod	Con	sliLib	indDem	27	HS	$3K-$5K	Clinton
24	0	7	Con	extLib	Con	strRep	44	Coll	$3K-$5K	Dole
25	19	0	Mod	Lib	Lib	weakDem	45	HS	$3K-$5K	Clinton
26	0	2	Mod	sliLib	Con	weakDem	21	Coll	$3K-$5K	Clinton
27	390	5	sliLib	Mod	extCon	weakDem	40	CCdeg	$3K-$5K	Clinton
28	40	7	Mod	sliLib	Mod	strDem	40	BAdeg	$3K-$5K	Clinton
29	3	3	sliCon	sliCon	Mod	weakDem	48	HS	$3K-$5K	Clinton
30	450	3	Mod	extCon	extLib	strDem	34	HS	$3K-$5K	Clinton
31	350	0	sliLib	Mod	extCon	indDem	26	HSdrop	$3K-$5K	Clinton
32	64	3	Mod	Mod	Lib	weakDem	60	HSdrop	$5K-$7K	Clinton
33	3	0	Mod	Mod	sliLib	strDem	32	HS	$5K-$7K	Clinton
34	0	1	Mod	sliLib	extCon	weakDem	31	HS	$5K-$7K	Clinton
35	640	7	extCon	sliCon	extCon	indRep	33	HS	$5K-$7K	Dole
36	0	7	sliLib	Mod	Con	strDem	57	HS	$5K-$7K	Clinton
37	12	7	Mod	sliLib	Con	weakDem	84	HS	$5K-$7K	Clinton
38	62	6	extCon	Lib	extCon	weakRep	75	HS	$5K-$7K	Dole
39	31	2	extCon	Lib	Con	strRep	19	Coll	$5K-$7K	Dole
40	0	1	sliLib	Lib	Con	weakDem	47	BAdeg	$5K-$7K	Clinton
41	180	6	sliCon	sliCon	sliCon	strDem	51	HSdrop	$5K-$7K	Clinton
42	640	3	Con	Mod	Mod	weakRep	40	HS	$5K-$7K	Clinton
43	110	0	Lib	sliLib	Con	weakDem	22	BAdeg	$5K-$7K	Clinton
44	100	1	extCon	extCon	sliCon	strRep	35	HSdrop	$5K-$7K	Clinton
45	100	7	Mod	Mod	extCon	indDem	43	CCdeg	$5K-$7K	Clinton
46	11	3	Con	Con	sliLib	indDem	76	BAdeg	$5K-$7K	Clinton
47	0	7	Mod	sliLib	extLib	strRep	45	HS	$5K-$7K	Dole
48	4	7	Mod	Con	Con	strDem	88	HSdrop	$5K-$7K	Clinton
49	35	6	Mod	Mod	Lib	weakDem	46	HS	$7K-$9K	Clinton
50	0	1	sliLib	Mod	sliCon	indDem	22	BAdeg	$7K-$9K	Clinton
51	0	7	sliCon	extLib	Con	weakRep	68	HS	$7K-$9K	Dole
52	0	2	sliCon	Lib	Con	weakRep	38	HS	$7K-$9K	Dole
53	33	7	Mod	sliLib	Con	indind	69	HSdrop	$7K-$9K	Clinton
54	270	2	sliCon	Mod	sliLib	strDem	67	HS	$7K-$9K	Clinton
55	45	7	Lib	Mod	Con	strDem	88	Coll	$7K-$9K	Clinton
56	40	3	Con	Lib	sliCon	weakRep	68	HS	$7K-$9K	Dole
57	6	1	sliCon	Lib	Mod	indDem	76	HS	$7K-$9K	Dole
58	2	7	Mod	Mod	Con	strDem	72	HSdrop	$7K-$9K	Clinton
59	0	0	Con	Lib	Con	strRep	37	BAdeg	$7K-$9K	Dole
60	35	3	Mod	Lib	Con	strDem	69	HS	$7K-$9K	Clinton
61	83	0	Lib	Mod	Con	strDem	33	BAdeg	$7K-$9K	Clinton
62	3500	7	Lib	Lib	Con	strDem	34	Coll	$7K-$9K	Clinton
63	100	2	Mod	Mod	extCon	indDem	30	HS	$7K-$9K	Clinton
64	350	2	sliLib	sliLib	Con	weakDem	19	HS	$7K-$9K	Clinton
65	100	3	Mod	Con	Lib	strDem	44	HS	$7K-$9K	Clinton
66	67	1	Mod	Mod	extCon	weakDem	64	HS	$7K-$9K	Clinton
67	30	5	extCon	extCon	Lib	strDem	37	Coll	$7K-$9K	Clinton
68	0	7	Con	sliLib	sliCon	indRep	31	CCdeg	$9K-$10K	Dole
69	0	0	Con	extLib	sliCon	indRep	88	Coll	$9K-$10K	Dole
70	6	7	Con	Lib	Con	strRep	77	Coll	$9K-$10K	Dole
71	350	1	Mod	sliCon	Con	weakRep	30	BAdeg	$9K-$10K	Clinton
72	400	1	Lib	sliLib	extCon	weakDem	32	Coll	$9K-$10K	Clinton
73	15	7	Con	Lib	Con	strRep	59	MS	$9K-$10K	Dole
74	0	0	Mod	Mod	Mod	indind	47	Coll	$9K-$10K	Clinton
75	3	2	Mod	Con	sliCon	weakDem	22	HS	$9K-$10K	Clinton
76	22	5	Mod	Lib	Con	indDem	55	HS	$9K-$10K	Clinton
77	64	2	Lib	extLib	sliLib	strDem	24	HSdrop	$9K-$10K	Clinton
78	32	5	sliLib	extCon	Mod	weakDem	65	MS	$9K-$10K	Clinton
79	390	7	sliLib	Con	Lib	indDem	24	HS	$9K-$10K	Clinton
80	0	7	sliLib	Mod	sliCon	indind	30	HS	$9K-$10K	Clinton
81	0	7	Mod	sliCon	Lib	indind	73	HS	$9K-$10K	Clinton
82	59	5	sliLib	sliLib	sliCon	weakDem	73	CCdeg	$9K-$10K	Clinton
83	0	6	Mod	sliLib	Con	indDem	91	MS	$9K-$10K	Clinton
84	35	7	sliLib	Lib	sliCon	strDem	71	HSdrop	$9K-$10K	Clinton
85	0	2	Con	Mod	sliCon	indRep	34	Coll	$9K-$10K	Dole
86	170	7	Mod	sliLib	Lib	strDem	48	HSdrop	$10K-$11K	Clinton
87	12	1	Con	Lib	Con	weakRep	42	Coll	$10K-$11K	Dole
88	40	4	Con	sliCon	Mod	strDem	72	HSdrop	$10K-$11K	Clinton
89	31	2	sliLib	Mod	Con	strRep	20	Coll	$10K-$11K	Dole
90	31	7	Lib	Lib	extCon	strDem	22	Coll	$10K-$11K	Clinton
91	1600	1	sliLib	sliLib	Con	weakDem	24	BAdeg	$10K-$11K	Clinton
92	1	1	Mod	Lib	extCon	indDem	39	BAdeg	$10K-$11K	Clinton
93	4	7	Con	extLib	Con	strRep	83	CCdeg	$10K-$11K	Dole
94	190	0	Con	Lib	Con	strRep	39	HS	$10K-$11K	Dole
95	53	3	sliCon	sliLib	Con	weakDem	33	CCdeg	$10K-$11K	Clinton
96	31	7	Mod	sliLib	Con	weakDem	53	HS	$10K-$11K	Dole
97	16	7	sliCon	sliLib	Con	weakRep	82	HS	$10K-$11K	Dole
98	33	5	Mod	sliLib	sliCon	strRep	82	HS	$10K-$11K	Dole
99	0	3	sliCon	sliLib	Con	weakRep	47	BAdeg	$11K-$12K	Dole
100	0	3	Mod	Lib	extCon	indRep	68	HS	$11K-$12K	Clinton
101	0	7	Mod	sliLib	sliCon	strDem	84	BAdeg	$11K-$12K	Clinton
102	27	2	Con	extLib	Con	weakRep	35	CCdeg	$11K-$12K	Dole
103	84	7	Mod	sliCon	Con	weakDem	67	HSdrop	$11K-$12K	Clinton
104	22	3	sliCon	sliLib	sliCon	indRep	33	HSdrop	$11K-$12K	Dole
105	0	3	sliLib	sliLib	sliCon	strDem	49	MAdeg	$11K-$12K	Clinton
106	3500	0	Mod	sliLib	extCon	strDem	91	MS	$11K-$12K	Clinton
107	390	7	Mod	sliCon	sliLib	weakDem	43	HS	$11K-$12K	Clinton
108	0	7	Mod	sliLib	Lib	strRep	65	Coll	$11K-$12K	Clinton
109	16	7	sliCon	Con	sliLib	strDem	69	HS	$11K-$12K	Clinton
110	200	0	sliCon	sliCon	Mod	weakDem	56	Coll	$12K-$13K	Clinton
111	640	0	Lib	sliLib	sliCon	strDem	24	BAdeg	$12K-$13K	Clinton
112	0	7	Mod	Mod	sliCon	strDem	77	HS	$12K-$13K	Clinton
113	45	7	Con	sliLib	extCon	strDem	74	HS	$12K-$13K	Clinton
114	12	0	extCon	sliLib	Con	strRep	25	BAdeg	$12K-$13K	Dole
115	20	7	Con	Lib	sliCon	indRep	85	MS	$12K-$13K	Dole
116	7300	5	extCon	extCon	Con	indind	21	HSdrop	$12K-$13K	Clinton
117	64	7	Con	sliLib	extLib	strDem	24	Coll	$12K-$13K	Clinton
118	13	7	sliCon	Mod	extCon	indRep	73	Coll	$12K-$13K	Clinton
119	190	0	Mod	sliCon	sliLib	indDem	37	HS	$12K-$13K	Clinton
120	9	4	Mod	sliCon	extLib	indDem	35	Coll	$12K-$13K	Clinton
121	0	7	Mod	Mod	extCon	strDem	47	HS	$12K-$13K	Clinton
122	170	2	Mod	Lib	Con	strRep	21	HS	$12K-$13K	Dole
123	640	7	sliLib	Con	Mod	strDem	55	CCdeg	$12K-$13K	Clinton
124	9	4	Con	sliLib	Con	strRep	30	BAdeg	$12K-$13K	Dole
125	0	4	sliCon	sliLib	Con	indRep	76	MAdeg	$12K-$13K	Dole
126	7300	5	sliLib	Mod	sliLib	indind	36	Coll	$12K-$13K	Clinton
127	2800	0	extLib	extLib	extCon	strDem	38	HS	$13K-$14K	Clinton
128	0	7	Lib	sliLib	sliCon	strDem	67	HS	$13K-$14K	Clinton
129	30	7	extCon	sliLib	extCon	strRep	70	HSdrop	$13K-$14K	Dole
130	44	7	sliCon	sliLib	extCon	indDem	78	Coll	$13K-$14K	Clinton
131	7300	1	Lib	Lib	extCon	indind	27	BAdeg	$13K-$14K	Clinton
132	330	4	sliLib	sliCon	Con	weakDem	51	Coll	$13K-$14K	Clinton
133	3	0	Con	extCon	sliLib	weakRep	33	Coll	$13K-$14K	Clinton
134	51	2	Con	extLib	sliCon	strRep	80	BAdeg	$13K-$14K	Dole
135	29	5	Mod	extLib	Con	weakDem	79	MS	$13K-$14K	Clinton
136	630	2	Con	Mod	sliCon	indRep	66	MS	$13K-$14K	Dole
137	170	0	Mod	extLib	Con	strDem	32	HS	$14K-$15K	Clinton
138	33	7	Mod	sliCon	extCon	strDem	70	HSdrop	$14K-$15K	Clinton
139	0	3	Lib	sliLib	Con	indind	42	HS	$14K-$15K	Clinton
140	9	5	sliCon	Mod	sliCon	weakRep	73	Coll	$14K-$15K	Dole
141	22	4	Mod	Mod	Con	strDem	87	HSdrop	$14K-$15K	Clinton
142	100	0	extCon	sliCon	extLib	weakDem	30	CCdeg	$14K-$15K	Clinton
143	2	2	Mod	Mod	sliCon	indind	52	HS	$14K-$15K	Clinton
144	0	6	sliCon	sliLib	Con	weakDem	62	Coll	$14K-$15K	Clinton
145	50	7	Con	sliLib	Mod	strDem	67	HS	$14K-$15K	Clinton
146	15	4	Con	sliLib	Mod	indRep	37	BAdeg	$14K-$15K	Clinton
147	3	4	sliLib	sliCon	extCon	strDem	37	Coll	$14K-$15K	Clinton
148	720	5	extLib	sliCon	Con	weakDem	64	BAdeg	$14K-$15K	Clinton
149	640	7	extLib	extLib	sliCon	strDem	34	HS	$14K-$15K	Clinton
150	5	7	Mod	Mod	extCon	strDem	70	HS	$14K-$15K	Clinton
151	24	2	Con	Lib	Con	strRep	31	CCdeg	$14K-$15K	Dole
152	22	7	Lib	Lib	Con	strDem	29	BAdeg	$15K-$17K	Clinton
153	55	7	Mod	sliCon	Mod	weakDem	71	HSdrop	$15K-$17K	Clinton
154	0	2	Mod	Mod	Mod	strDem	67	MS	$15K-$17K	Clinton
155	1600	5	Mod	Mod	Con	strDem	41	MAdeg	$15K-$17K	Clinton
156	170	6	extLib	Lib	Con	strDem	49	BAdeg	$15K-$17K	Clinton
157	1000	7	Mod	Mod	sliCon	strDem	42	CCdeg	$15K-$17K	Clinton
158	63	0	Con	sliLib	Lib	strDem	78	HSdrop	$15K-$17K	Clinton
159	110	0	Mod	extLib	Con	weakDem	24	HS	$15K-$17K	Clinton
160	16	7	Mod	Con	Con	weakDem	29	HS	$15K-$17K	Clinton
161	100	3	Mod	Lib	Con	weakRep	39	CCdeg	$15K-$17K	Dole
