Movie,Run Time (minutes),Budget ($),Dramas,Stars,Rating,Genre,USGross ($)
White Noise,101,30000000,0,2,PG-13,Horror,56094360
Coach Carter,136,45000000,1,3,PG-13,Drama,67264877
Elektra,100,65000000,0,2,PG-13,Action,24409722
Racing Stripes,110,30000000,0,3,PG,Comedy,49772522
Assault on Precinct 13,109,30000000,0,3,R,Action,20040895
Are We There Yet?,94,20000000,0,2,PG,Comedy,82674398
Alone in the Dark,96,20000000,0,1.5,R,Horror,5178569
Indigo,105,25000000,1,3.5,R,Drama,51100486
Boogeyman,88,20000000,0,2,PG-13,Horror,46752382
The Wedding Date,90,40000000,0,2.5,PG-13,Comedy,31726995
Hitch,113,55000000,0,3,PG-13,Comedy,177784257
Pooh's Heffalump Movie,68,20000000,0,3.5,G,Adventure,18081626
Because of Winn-Dixie,106,15000000,0,3,PG,Comedy,32647042
Constantine,122,75000000,0,3,R,Action,75976178
Son of the Mask,86,100000000,0,2,PG,Comedy,17018422
Cursed,105,35000000,0,2,PG-13,Horror,19294901
Man of the House,100,50000000,0,2.5,PG-13,Comedy,19699706
Be Cool,150,75000000,0,2.5,PG-13,Comedy,55849401
The Jacket,103,28500000,0,1.5,R,Thriller,6301131
The Pacifier,97,56000000,0,2,PG,Comedy,113006880
Hostage,108,75000000,0,2.5,R,Action,34636443
Robots,89,80000000,0,3.5,PG,Adventure,128200012
The Upside of Anger ‡,117,12000000,1,3.5,R,Drama,18761993
Ice Princess,99,25000000,0,2.5,G,Comedy,24381334
The Ring Two,111,50000000,0,2.5,PG-13,Horror,75941727
Miss Congeniality 2: Armed and Fabulous,115,60000000,0,2,PG-13,Comedy,48478006
Guess Who,103,35000000,0,3,PG-13,Comedy,68915888
Beauty Shop,105,25000000,0,3,PG-13,Comedy,36351350
Sin City,126,40000000,0,4,R,Action,74098862
Fever Pitch,103,40000000,0,3.5,PG-13,Comedy,42071069
Kung Fu Hustle ‡,99,20000000,0,3.5,R,Action,17104669
Sahara,123,130000000,0,3,PG-13,Adventure,68671925
The Amityville Horror,89,18500000,0,2.5,R,Horror,64538396
The Interpreter,118,90000000,0,3.5,PG-13,Thriller,72708161
King's Ransom,98,25000000,0,1.5,PG-13,Comedy,4008527
A Lot Like Love,107,25000000,0,2.5,PG-13,Comedy,21835784
The Hitchhiker's Guide to the Galaxy,103,45000000,0,3.5,PG,Comedy,51019112
XXX: State of the Union,100,60000000,0,1.5,PG-13,Action,26873932
Crash,107,6500000,1,3.5,R,Drama,54557348
House of Wax,113,35000000,0,2.5,R,Horror,32064800
Kingdom of Heaven,144,110000000,0,3.5,R,Adventure,47398413
Kicking and Screaming,90,45000000,0,2.5,PG,Comedy,52842724
Mindhunters,106,27000000,0,2,R,Thriller,4476235
Monster-in-Law,95,45000000,0,2,PG-13,Comedy,82931301
Star Wars Episode III: Revenge of the Sith,140,115000000,0,4,PG-13,Adventure,380270577
The Longest Yard,113,82000000,0,2.5,PG-13,Comedy,158119460
Madagascar,86,75000000,0,3,PG,Adventure,193202933
The Sisterhood of the Traveling Pants,145,25000000,1,3.5,PG,Drama,39053061
Cinderella Man,144,88000000,1,4,PG-13,Drama,61649308
Lords of Dogtown,107,25000000,0,3,PG-13,Action,11273517
Batman Begins,140,150000000,0,4,PG-13,Action,205343774
The Perfect Man,101,10000000,0,1.5,PG,Comedy,16535005
Herbie: Fully Loaded,95,50000000,0,3,G,Comedy,66010682
Bewitched,100,80000000,0,2,PG-13,Comedy,63313159
Land of the Dead,97,15000000,0,3.5,R,Horror,20700082
War of the Worlds,116,132000000,0,4,PG-13,Action,234280354
Rebound,103,45000000,0,2,PG,Comedy,16809014
Dark Water,105,60000000,0,3.5,PG-13,Thriller,25473093
Fantastic Four,123,87500000,0,2,PG-13,Action,154695569
