Year,Men's age,Women's age,Men's Age - Women's Age
1998,26.7,25,1.7
1997,26.8,25,1.8
1996,27.1,24.8,2.3
1995,26.9,24.5,2.4
1994,26.7,24.5,2.2
1993,26.5,24.5,2
1992,26.5,24.4,2.1
1991,26.3,24.1,2.2
1990,26.1,23.9,2.2
1989,26.2,23.8,2.4
1988,25.9,23.6,2.3
1987,25.8,23.6,2.2
1986,25.7,23.1,2.6
1985,25.5,23.3,2.2
1984,25.4,23,2.4
1983,25.4,22.8,2.6
1982,25.2,22.5,2.7
1981,24.8,22.3,2.5
1980,24.7,22,2.7
1979,24.4,22.1,2.3
1978,24.2,21.8,2.4
1977,24,21.6,2.4
1976,23.8,21.3,2.5
1975,23.5,21.1,2.4
1974,23.1,21.1,2
1973,23.2,21,2.2
1972,23.3,20.9,2.4
1971,23.1,20.9,2.2
1970,23.2,20.8,2.4
1969,23.2,20.8,2.4
1968,23.1,20.8,2.3
1967,23.1,20.6,2.5
1966,22.8,20.5,2.3
1965,22.8,20.6,2.2
1964,23.1,20.5,2.6
1963,22.8,20.5,2.3
1962,22.7,20.3,2.4
1961,22.8,20.3,2.5
1960,22.8,20.3,2.5
1959,22.5,20.2,2.3
1958,22.6,20.2,2.4
1957,22.6,20.3,2.3
1956,22.5,20.1,2.4
1955,22.6,20.2,2.4
1954,23,20.3,2.7
1953,22.8,20.2,2.6
1952,23,20.2,2.8
1951,22.9,20.4,2.5
1950,22.8,20.3,2.5
1949,22.7,20.3,2.4
1948,23.3,20.4,2.9
1947,23.7,20.5,3.2
1940,24.3,21.5,2.8
1930,24.3,21.3,3
1920,24.6,21.2,3.4
1910,25.1,21.6,3.5
1900,25.9,21.9,4
1890,26.1,22,4.1
