country,life exp,sqrtTV/person,sqrtDoctors/person
Argentina,70.5,0.5,0.05198752
Bangladesh,53.5,0.05634362,0.01273498
Brazil,65,0.5,0.03823596
Canada,76.5,0.76696499,0.04719292
China,70,0.35355339,0.03943615
Colombia,71,0.42257713,0.02539184
Egypt,60.5,0.25819889,0.04029115
Ethiopia,51.5,0.0445878,0.0052228
France,78,0.62017367,0.04981355
Germany,76,0.62017367,0.05376033
India,57.5,0.15075567,0.02011702
Indonesia,61,0.20412415,0.01160361
Iran,64.5,0.20851441,0.01828181
Italy,78.5,0.51298918,0.06551218
Japan,79,0.74535599,0.04052204
Kenya,61,0.10206207,0.01145948
Korea-North,70,0.10540926,0.05198752
Korea-South,70,0.45175395,0.03062819
Mexico,72,0.38924947,0.04082483
Morocco,64.5,0.21821789,0.01432524
Myanmar(Burma),54.5,0.04109975,0.01693942
Pakistan,56.5,0.11704115,0.02056725
Peru,64.5,0.26726124,0.03137279
Philippines,64.5,0.33709993,0.03068582
Poland,73,0.50636968,0.04564355
Romania,72,0.40824829,0.04229549
Russia,69,0.55901699,0.06213698
South_Africa,64,0.30151134,0.02731792
Spain,78.5,0.62017367,0.06030227
Sudan,53,0.20851441,0.00892644
Taiwan,75,0.55901699,0.03219114
Tanzania,52.5,.,0.00629579
Thailand,68.5,0.30151134,0.01431056
Turkey,70,0.4472136,0.02900074
Ukraine,70.5,0.57735027,0.06651901
United_Kingdom,76,0.57735027,0.04045567
United_States,75.5,0.87705802,0.04975186
Venezuela,74.5,0.42257713,0.04166667
Vietnam,65,0.18569534,0.01797213
Zaire,54,.,0.00656631
