    1   31     54.81     71.63      66.7      57.1    0    0.765182
    2   30     53.59     74.21      95.6      54.8    0    0.722140
    3   31     53.37     74.57      95.8      61.3    0    0.715703
    4   30     53.83     77.66      96.2      76.9    0    0.693150
    5   31     56.83     83.70      94.5      78.4    0    0.678973
    6   31     58.50     81.32      89.2      81.4    0    0.719380
    7   30     59.19     70.03      85.2      63.2    0    0.845209
    8   31     58.62     72.73      73.7      67.1    0    0.805995
    9   30     55.74     72.05      66.0      56.9    0    0.773629
   10   31     54.61     67.45      71.8      48.6    0    0.809637
   11   31     54.90     68.57      62.9      50.7    0    0.800642
   12   29     55.44     71.46      68.8      56.2    0    0.775819
   13   31     55.88     70.57      78.8      61.7    0    0.791838
   14   30     56.13     73.50      77.4      62.8    0    0.763673
   15   31     56.13     77.07      82.8      58.9    0    0.728299
   16   30     59.43     83.52      84.9      72.9    0    0.711566
   17   31     55.18     83.36      73.8      75.3    1    0.661948
   18   31     57.66     79.78      82.4      83.9    1    0.722738
   19   30     53.52     77.86      77.1      74.2    1    0.687388
   20   31     53.16     78.62      80.4      65.6    1    0.676164
   21   30     57.05     78.31      64.7      53.5    1    0.728515
   22   31     59.69     77.71      45.2      42.9    1    0.768112
   23   31     60.01     78.23      39.2      48.2    1    0.767097
   24   28     58.34     77.95      63.7      54.6    0    0.748428
   25   31     60.15     78.05      74.3      61.3    0    0.770660
