    1 1935     33.1000   1170.6000     97.8000
    1 1936     45.0000   2015.8000    104.4000
    1 1937     77.2000   2803.3000    118.0000
    1 1938     44.6000   2039.7000    156.2000
    1 1939     48.1000   2256.2000    172.6000
    1 1940     74.4000   2132.2000    186.6000
    1 1941    113.0000   1834.1000    220.9000
    1 1942     91.9000   1588.0000    287.8000
    1 1943     61.3000   1749.4000    319.9000
    1 1944     56.8000   1687.2000    321.3000
    1 1945     93.6000   2007.7000    319.6000
    1 1946    159.9000   2208.3000    346.0000
    1 1947    147.2000   1656.7000    456.4000
    1 1948    146.3000   1604.4000    543.4000
    1 1949     98.3000   1431.8000    618.3000
    1 1950     93.5000   1610.5000    647.4000
    1 1951    135.2000   1819.4000    671.3000
    1 1952    157.3000   2079.7000    726.1000
    1 1953    179.5000   2371.6000    800.3000
    1 1954    189.6000   2759.9000    888.9000
    2 1935     12.9300    191.5000      1.8000
    2 1936     25.9000    516.0000      0.8000
    2 1937     35.0500    729.0000      7.4000
    2 1938     22.8900    560.4000     18.1000
    2 1939     18.8400    519.9000     23.5000
    2 1940     28.5700    628.5000     26.5000
    2 1941     48.5100    537.1000     36.2000
    2 1942     43.3400    561.2000     60.8000
    2 1943     37.0200    617.2000     84.4000
    2 1944     37.8100    626.7000     91.2000
    2 1945     39.2700    737.2000     92.4000
    2 1946     53.4600    760.5000     86.0000
    2 1947     55.5600    581.4000    111.1000
    2 1948     49.5600    662.3000    130.6000
    2 1949     32.0400    583.8000    141.8000
    2 1950     32.2400    635.2000    136.7000
    2 1951     54.3800    723.8000    129.7000
    2 1952     71.7800    864.1000    145.5000
    2 1953     90.0800   1193.5000    174.8000
    2 1954     68.6000   1188.9000    213.5000
