	 node	 mean	 sd	 MCerror	2.5%	median	97.5%	start	sample
	y.pred[1]	-0.04062	1.496	0.01647	-2.986	-0.0505	2.898	10001	10000
	y.pred[2]	-0.2859	1.486	0.01487	-3.164	-0.2848	2.655	10001	10000
	y.pred[3]	-0.3346	1.477	0.01525	-3.287	-0.3274	2.546	10001	10000
	y.pred[4]	-0.01764	1.494	0.01595	-2.891	-0.0145	2.896	10001	10000
	y.pred[5]	0.486	1.487	0.01617	-2.414	0.4857	3.423	10001	10000
	y.pred[6]	0.7301	1.491	0.01555	-2.193	0.726	3.624	10001	10000
	y.pred[7]	0.5214	1.498	0.01307	-2.435	0.5369	3.482	10001	10000
	y.pred[8]	0.1776	1.489	0.0157	-2.74	0.1914	3.114	10001	10000
	y.pred[9]	0.05559	1.497	0.01612	-2.86	0.0579	2.993	10001	10000
	y.pred[10]	0.2304	1.498	0.01515	-2.735	0.2288	3.198	10001	10000
	y.pred[11]	0.558	1.497	0.01689	-2.353	0.5478	3.537	10001	10000
	y.pred[12]	0.701	1.503	0.01523	-2.233	0.6865	3.672	10001	10000
	y.pred[13]	0.4862	1.474	0.01417	-2.419	0.5126	3.355	10001	10000
	y.pred[14]	0.2186	1.505	0.01463	-2.703	0.2099	3.203	10001	10000
	y.pred[15]	0.1592	1.512	0.01446	-2.801	0.1643	3.092	10001	10000
	y.pred[16]	0.5209	1.51	0.01538	-2.419	0.5337	3.472	10001	10000
	y.pred[17]	1.012	1.502	0.01374	-1.929	1.028	3.965	10001	10000
	y.pred[18]	1.225	1.497	0.01405	-1.678	1.209	4.151	10001	10000
	y.pred[19]	1.07	1.491	0.01501	-1.882	1.074	4.003	10001	10000
	y.pred[20]	0.6934	1.488	0.01605	-2.256	0.6914	3.598	10001	10000
	y.pred[21]	0.5244	1.502	0.01449	-2.421	0.5132	3.502	10001	10000
	y.pred[22]	0.7552	1.512	0.01435	-2.186	0.7528	3.794	10001	10000
	y.pred[23]	1.066	1.498	0.01725	-1.843	1.084	3.994	10001	10000
	y.pred[24]	1.184	1.498	0.01465	-1.806	1.18	4.081	10001	10000
	y.pred[25]	0.9962	1.502	0.01405	-1.912	0.9783	3.938	10001	10000
	y.pred[26]	0.7009	1.486	0.01675	-2.207	0.7117	3.62	10001	10000
	y.pred[27]	0.6644	1.496	0.01699	-2.282	0.6591	3.613	10001	10000
	y.pred[28]	1.013	1.499	0.01821	-1.955	1.006	3.957	10001	10000
	y.pred[29]	1.459	1.507	0.01255	-1.511	1.483	4.435	10001	10000
	y.pred[30]	1.708	1.505	0.01495	-1.253	1.717	4.617	10001	10000
