Stream,SUB,PH,TEMP,BCI,HARD,ALK,PHOS
BEAR,S,7,2,1389.24,51.3,0,0.05
FISH,S,7,2,1336,68.4,17.1,0.07
FOX,S,6.75,9,1417.27,68.4,51.3,0.04
GRUNLEY,S,7.2,9,1264.47,51.3,51.3,0.11
ABIJAH,S,6.75,8,1412.81,34.2,34.2,0.12
SSANDY,S,6.8,10,1483.84,51.3,51.3,0.06
DENNING,S,7,11,1367.07,51.3,68.4,0.06
GULF,S,7.2,9,1307.88,51.3,51.3,0.05
RAYSTONE,S,7,9,1503.25,51.3,51.3,0.26
DEER,S,6.5,5,1332.21,34.2,34.2,0.16
EDICK,S,6.8,4,1304.76,34.2,34.2,0.05
LUTHER,S,6.8,4,1349.22,51.3,34.2,0.1
BEARGULF,S,7,5,1419.93,34.2,51.3,0.07
NONAME,S,6.8,5,1605.11,34.2,34.2,0.05
NOBRANCH,M,7.5,7,1114.83,188.1,102.6,0.06
SANDYLIB,M,7.5,2,1192.93,119.7,188.1,0.29
SANDYSPR,M,7.8,5,1578.67,119.7,119.7,0.1
SKINNER,M,7.5,4,1336.13,34.2,34.2,0
LINDSAY,M,7,6,1467.96,34.2,34.2,0
RAYSTONE,M,7.25,9,1485.15,34.7,51.3,0
SSANDY,M,7.25,9,1447.51,51.3,51.3,0.01
STEBBINS,L,7.5,2,1026.57,171,188.1,0.51
STONY,L,7.5,6,1292.46,171,102.6,0.01
MILL,L,7.75,9,1228.84,188.1,102.6,0.01
SWICKS,L,8,10,1108.9,256.5,205.2,0.01
LSTONEY,L,7.75,9,1141.71,171,171,0.03
GREEN,L,7.75,8,1384.46,188.1,85.5,0.09
KELSEY,L,8,8,649.36,205.2,171,0.08
COLDCREE,L,8,9,1247.4,239.4,222.3,0.28
MILLRUT,L,8,7,1264.35,153.9,0,0.12
SKINNERM,L,7,6,1337.91,34.2,51.3,0.05
STAPLIN,L,8,6,1095.78,188.1,171,0.15
STONEYHE,L,8,10,1091.5,188.1,188.1,0.04
DEERLICK,L,8,11,1105.97,171,136.8,0.06
SANDYBEL,L,8,9,1439.15,136.8,119.7,0.03
BEAR,L,7.5,9,1365.07,68.4,85.5,0.05
SOUTHWKS,L,7.75,5,1156.63,495.9,188,0.18
STONYKEL,L,8,1.5,1379.59,513,188,0.13
MILL,L,7.75,1.5,1298.5,461.7,205,0.13
CEMETARY,L,7.5,7,1154.99,495.9,188,0.18
STONYGRE,L,7.85,5,1420.79,478.8,188,0.07
STONY,L,7.7,7,1094.25,410.4,205,0.13
LSTONY,L,7.9,7,980.43,342,137,0.29
JACOBS,L,7.3,2,1260.41,171,153.9,0.08
STAPLINB,L,7.6,4,1282.22,188.1,171,0.2
KELSEYC,L,8.1,5,831.79,222.3,171,0.06
FELTSMIL,L,7.8,5,1136.8,188.1,153.9,0.11
STEBBINS,L,7.3,1,834.14,171,153.9,0.51
KELSEYBR,L,7.5,10,801.84,444.6,171,0.16
STAPLING,L,8,8,1296.71,444.6,188.1,0.15
COLD,L,8,9,1125.06,513,205.2,0.14
LSANDY,M,7,0,1285.06,102.6,51,0.12
SANDY,M,7,0,1316.91,68.4,34,0.08
SKINNER,M,7.5,2,1395.15,136.8,68,0.07
SKINNERE,M,7.15,2,1403.2,102.6,51,0.18
SKINNR11,M,7.15,2,1391.31,68.4,34,0.11
SANDYSPR,M,7.5,8,987.2,136.8,102.6,0.22
SANDY,S,7,0,1391.34,68.4,34,0.03
LUTHER,S,7,3,1375.41,34.7,51.3,0.15
EDICK,S,6.5,0,1276.94,34.2,51.3,0.13
BARNSCOR,S,7,2,1356.52,34.2,51.3,0.1
RAYSTONL,S,6.8,4,*,34.2,51.3,0.27
FISHBRN,S,7.3,1,1426.91,51.3,51.3,0.08
DEER,S,7,0,1386.82,34.2,51.3,0.2
BEARLORR,S,7,2,*,34.2,51.3,0.3
,S,7,2,*,34.2,68.4,0.32
ABIJAH,S,6.8,3,*,34.2,51.3,0.32
FISH171,S,6.8,4,1520.5,34.2,51.3,0.06
FOX,S,6.8,3,1438.82,34.2,34.2,0.15
SANDYWHI,S,7.5,8,1255.29,256.5,85.5,0.15
PLEASANT,L,7.5,6,1207.93,222.3,119.7,0.08
FELTS MILLS,L,7.5,7,1273.51,273.6,153.9,0.03
STAPLIN(R26),L,8,7,1142.31,222.3,188.1,0.2
STAPLIN(TRB),L,7.5,6,1000.64,205.2,68.4,0.01
JACOBS,L,8,5,1156.12,256.5,136.8,0.13
COLD,L,8,9,1195.51,307.8,205.2,0.07
KELSEY(CAY),L,7.5,7,875.09,256.5,188.1,0.84
MILL(RT81),L,8,6,1266.53,273.6,153.9,0.25
MILL(S.SPG),L,8,6,*,256.5,171,0.09
COLLEEN(SHB),L,8,0,1322.35,222.3,153.9,0.01
GREEN,L,7.5,3,1160.4,307.8,171,0.02
S.SANDY(ELL),L,7.5,0,1435.72,102.6,68.4,0.02
BEAR(WOF81),L,7.4,0,1229.1,36.8,34.2,0.17
N.BRANCH(VA),L,7.5,0,1402.73,239.4,171,0.01
LSANDY(FISH),L,7,0,1469.29,102.6,51.3,0.06
SKINNER(GCS),L,7,0,1325.68,119.7,68.9,0.45
COLLEEN(DEN),L,7.5,0,1354.45,188.1,153.9,0.32
SKINNER(VEL),S,7,0,1423.33,85.5,51.3,0.05
SKINNER(VW),S,7,0,1433.4,102.6,51.3,0.03
LSANDY(CHUR),S,7,0,1501.44,102.6,34.2,0.25
LSANDY(VANA),S,7,0,1387.59,102.6,51.3,0.06
LINDSAY(NCH),S,7,0,1413.89,102.6,51.3,0.08
FRENCHSETTLE,S,6.8,2,1440.74,68.4,51.3,0.08
RAYST(REDF),S,6.5,5,1453.97,102.6,51.3,0.15
