"","x"
"1",88
"2",84
"3",85
"4",85
"5",84
"6",85
"7",83
"8",85
"9",88
"10",89
"11",91
"12",99
"13",104
"14",112
"15",126
"16",138
"17",146
"18",151
"19",150
"20",148
"21",147
"22",149
"23",143
"24",132
"25",131
"26",139
"27",147
"28",150
"29",148
"30",145
"31",140
"32",134
"33",131
"34",131
"35",129
"36",126
"37",126
"38",132
"39",137
"40",140
"41",142
"42",150
"43",159
"44",167
"45",170
"46",171
"47",172
"48",172
"49",174
"50",175
"51",172
"52",172
"53",174
"54",174
"55",169
"56",165
"57",156
"58",142
"59",131
"60",121
"61",112
"62",104
"63",102
"64",99
"65",99
"66",95
"67",88
"68",84
"69",84
"70",87
"71",89
"72",88
"73",85
"74",86
"75",89
"76",91
"77",91
"78",94
"79",101
"80",110
"81",121
"82",135
"83",145
"84",149
"85",156
"86",165
"87",171
"88",175
"89",177
"90",182
"91",193
"92",204
"93",208
"94",210
"95",215
"96",222
"97",228
"98",226
"99",222
"100",220
