"","x"
"1",269
"2",321
"3",585
"4",871
"5",1475
"6",2821
"7",3928
"8",5943
"9",4950
"10",2577
"11",523
"12",98
"13",184
"14",279
"15",409
"16",2285
"17",2685
"18",3409
"19",1824
"20",409
"21",151
"22",45
"23",68
"24",213
"25",546
"26",1033
"27",2129
"28",2536
"29",957
"30",361
"31",377
"32",225
"33",360
"34",731
"35",1638
"36",2725
"37",2871
"38",2119
"39",684
"40",299
"41",236
"42",245
"43",552
"44",1623
"45",3311
"46",6721
"47",4254
"48",687
"49",255
"50",473
"51",358
"52",784
"53",1594
"54",1676
"55",2251
"56",1426
"57",756
"58",299
"59",201
"60",229
"61",469
"62",736
"63",2042
"64",2811
"65",4431
"66",2511
"67",389
"68",73
"69",39
"70",49
"71",59
"72",188
"73",377
"74",1292
"75",4031
"76",3495
"77",587
"78",105
"79",153
"80",387
"81",758
"82",1307
"83",3465
"84",6991
"85",6313
"86",3794
"87",1836
"88",345
"89",382
"90",808
"91",1388
"92",2713
"93",3800
"94",3091
"95",2985
"96",3790
"97",674
"98",81
"99",80
"100",108
"101",229
"102",399
"103",1132
"104",2432
"105",3574
"106",2935
"107",1537
"108",529
"109",485
"110",662
"111",1000
"112",1590
"113",2657
"114",3396
