"","x"
"1",1687
"2",1508
"3",1507
"4",1385
"5",1632
"6",1511
"7",1559
"8",1630
"9",1579
"10",1653
"11",2152
"12",2148
"13",1752
"14",1765
"15",1717
"16",1558
"17",1575
"18",1520
"19",1805
"20",1800
"21",1719
"22",2008
"23",2242
"24",2478
"25",2030
"26",1655
"27",1693
"28",1623
"29",1805
"30",1746
"31",1795
"32",1926
"33",1619
"34",1992
"35",2233
"36",2192
"37",2080
"38",1768
"39",1835
"40",1569
"41",1976
"42",1853
"43",1965
"44",1689
"45",1778
"46",1976
"47",2397
"48",2654
"49",2097
"50",1963
"51",1677
"52",1941
"53",2003
"54",1813
"55",2012
"56",1912
"57",2084
"58",2080
"59",2118
"60",2150
"61",1608
"62",1503
"63",1548
"64",1382
"65",1731
"66",1798
"67",1779
"68",1887
"69",2004
"70",2077
"71",2092
"72",2051
"73",1577
"74",1356
"75",1652
"76",1382
"77",1519
"78",1421
"79",1442
"80",1543
"81",1656
"82",1561
"83",1905
"84",2199
"85",1473
"86",1655
"87",1407
"88",1395
"89",1530
"90",1309
"91",1526
"92",1327
"93",1627
"94",1748
"95",1958
"96",2274
"97",1648
"98",1401
"99",1411
"100",1403
"101",1394
"102",1520
"103",1528
"104",1643
"105",1515
"106",1685
"107",2000
"108",2215
"109",1956
"110",1462
"111",1563
"112",1459
"113",1446
"114",1622
"115",1657
"116",1638
"117",1643
"118",1683
"119",2050
"120",2262
"121",1813
"122",1445
"123",1762
"124",1461
"125",1556
"126",1431
"127",1427
"128",1554
"129",1645
"130",1653
"131",2016
"132",2207
"133",1665
"134",1361
"135",1506
"136",1360
"137",1453
"138",1522
"139",1460
"140",1552
"141",1548
"142",1827
"143",1737
"144",1941
"145",1474
"146",1458
"147",1542
"148",1404
"149",1522
"150",1385
"151",1641
"152",1510
"153",1681
"154",1938
"155",1868
"156",1726
"157",1456
"158",1445
"159",1456
"160",1365
"161",1487
"162",1558
"163",1488
"164",1684
"165",1594
"166",1850
"167",1998
"168",2079
"169",1494
"170",1057
"171",1218
"172",1168
"173",1236
"174",1076
"175",1174
"176",1139
"177",1427
"178",1487
"179",1483
"180",1513
"181",1357
"182",1165
"183",1282
"184",1110
"185",1297
"186",1185
"187",1222
"188",1284
"189",1444
"190",1575
"191",1737
"192",1763
