"","x"
"1",160.1
"2",129.7
"3",84.8
"4",120.1
"5",160.1
"6",124.9
"7",84.8
"8",116.9
"9",169.7
"10",140.9
"11",89.7
"12",123.3
"13",187.3
"14",144.1
"15",92.9
"16",120.1
"17",176.1
"18",147.3
"19",89.7
"20",123.3
"21",185.7
"22",155.3
"23",99.3
"24",131.3
"25",200.1
"26",161.7
"27",102.5
"28",136.1
"29",204.9
"30",176.1
"31",112.1
"32",140.9
"33",227.3
"34",195.3
"35",115.3
"36",142.5
"37",244.9
"38",214.5
"39",118.5
"40",153.7
"41",244.9
"42",216.1
"43",188.9
"44",142.5
"45",301
"46",196.9
"47",136.1
"48",267.3
"49",317
"50",230.5
"51",152.1
"52",336.2
"53",371.4
"54",240.1
"55",158.5
"56",355.4
"57",449.9
"58",286.6
"59",179.3
"60",403.4
"61",491.5
"62",321.8
"63",177.7
"64",409.8
"65",593.9
"66",329.8
"67",176.1
"68",483.5
"69",584.3
"70",395.4
"71",187.3
"72",485.1
"73",669.2
"74",421
"75",216.1
"76",509.1
"77",827.7
"78",467.5
"79",209.7
"80",542.7
"81",840.5
"82",414.6
"83",217.7
"84",670.8
"85",848.5
"86",437
"87",209.7
"88",701.2
"89",925.3
"90",443.4
"91",214.5
"92",683.6
"93",917.3
"94",515.5
"95",224.1
"96",694.8
"97",989.4
"98",477.1
"99",233.7
"100",730
"101",1087
"102",534.7
"103",281.8
"104",787.6
"105",1163.9
"106",613.1
"107",347.4
"108",782.8
