"","x"
"1",13067.3
"2",13130.5
"3",13198.4
"4",13254.2
"5",13303.7
"6",13353.9
"7",13409.3
"8",13459.2
"9",13504.5
"10",13552.6
"11",13614.3
"12",13669.5
"13",13722.6
"14",13772.1
"15",13832
"16",13862.6
"17",13893
"18",13926.8
"19",13968.9
"20",14004.7
"21",14033.1
"22",14066
"23",14110.1
"24",14155.6
"25",14192.2
"26",14231.7
"27",14281.5
"28",14330.3
"29",14359.3
"30",14396.6
"31",14430.8
"32",14478.4
"33",14515.7
"34",14554.9
"35",14602.5
"36",14646.4
"37",14695.4
"38",14746.6
"39",14807.4
"40",14874.4
"41",14923.3
"42",14988.7
"43",15054.1
"44",15121.7
"45",15184.2
"46",15239.3
"47",15288.9
"48",15346.2
"49",15393.5
"50",15439
"51",15483.5
"52",15531.5
"53",15579.4
"54",15628.5
"55",15677.3
"56",15736.7
"57",15788.3
"58",15839.7
"59",15900.6
"60",15961.5
"61",16018.3
"62",16076.9
"63",16139
"64",16203
"65",16263.3
"66",16327.9
"67",16398.9
"68",16478.3
"69",16538.2
"70",16621.6
"71",16697
"72",16777.2
"73",16833.1
"74",16891.6
"75",16956.8
"76",17026.3
"77",17085.4
"78",17106.9
"79",17169.4
"80",17239.4
"81",17292
"82",17354.2
"83",17414.2
"84",17447.3
"85",17482.6
"86",17526
"87",17568.7
"88",17627.1
"89",17661.5
