"","x"
"1",49.9
"2",52.3
"3",49.4
"4",51.1
"5",49.4
"6",47.9
"7",49.8
"8",50.9
"9",49.3
"10",51.9
"11",50.8
"12",49.6
"13",49.3
"14",50.6
"15",48.4
"16",50.7
"17",50.9
"18",50.6
"19",51.5
"20",52.8
"21",51.8
"22",51.1
"23",49.8
"24",50.2
"25",50.4
"26",51.6
"27",51.8
"28",50.9
"29",48.8
"30",51.7
"31",51
"32",50.6
"33",51.7
"34",51.5
"35",52.1
"36",51.3
"37",51
"38",54
"39",51.4
"40",52.7
"41",53.1
"42",54.6
"43",52
"44",52
"45",50.9
"46",52.6
"47",50.2
"48",52.6
"49",51.6
"50",51.9
"51",50.5
"52",50.9
"53",51.7
"54",51.4
"55",51.7
"56",50.8
"57",51.9
"58",51.8
"59",51.9
"60",53
