"","x"
"1",1.345
"2",1.077
"3",1.545
"4",1.319
"5",1.413
"6",1.069
"7",0.489
"8",1.171
"9",0.887
"10",0.493
"11",0.346
"12",0.846
"13",0.837
"14",0.079
"15",0.829
"16",0.919
"17",0.776
"18",0.081
"19",0.876
"20",0.254
"21",1.092
"22",0.659
"23",0.9
"24",0.732
"25",0.703
"26",0.69
"27",0.581
"28",0.834
"29",0.838
"30",0.6
"31",0.611
"32",0.704
"33",0.517
"34",0.525
"35",1.086
"36",0.849
"37",0.183
"38",0.823
"39",0.433
"40",0.849
"41",1.021
"42",0.813
"43",0.675
"44",0.479
"45",0.824
"46",0.473
"47",1.01
"48",1.297
"49",0.917
"50",0.457
"51",0.866
"52",1.121
"53",1.301
"54",1.017
"55",0.676
"56",0.816
"57",1.365
"58",0.759
"59",0.791
"60",1.016
"61",0.959
"62",0.966
"63",1.355
"64",0.966
"65",0.771
"66",0.561
"67",1.712
"68",1.514
"69",0.677
"70",0.613
"71",1.265
"72",0.342
"73",0.918
"74",1.346
"75",0.786
"76",0.557
"77",1.444
"78",1.516
"79",1.329
"80",1.071
"81",1.105
"82",1.211
"83",1.491
"84",1.105
"85",1.285
"86",1.202
"87",1.587
"88",0.663
"89",1.139
"90",1.073
"91",0.659
"92",0.821
"93",1.08
"94",1.149
"95",0.863
"96",0.889
"97",1.175
"98",0.938
"99",1.007
"100",1.18
"101",1.23
"102",1.249
"103",1.435
"104",0.418
"105",0.59
"106",0.576
"107",1.001
"108",0.138
"109",1.356
"110",0.914
"111",0.637
"112",1.17
"113",0.841
"114",0.88
"115",0.894
"116",0.889
"117",0.482
"118",0.17
"119",1.148
"120",0.905
"121",0.642
"122",0.717
"123",0.107
"124",0.686
"125",0.254
"126",0.961
"127",0.789
"128",1.121
"129",1.362
"130",1.047
"131",1.082
"132",0.239
"133",0.621
"134",0.471
"135",0.744
"136",0.45
"137",1.167
"138",1.13
"139",1.039
"140",0.329
"141",1.351
"142",1.15
"143",0.998
"144",1.052
"145",1.283
"146",1.245
"147",1.395
"148",1.223
"149",0.593
"150",1.325
"151",0.741
"152",1.533
"153",1.48
"154",1.311
"155",0.97
"156",0.924
"157",1.219
"158",1.337
"159",0.671
"160",1.195
"161",0.999
"162",1.299
"163",1.317
"164",1.785
"165",0.711
"166",1.196
"167",1.144
"168",1.036
"169",1.285
"170",1.07
"171",1.076
"172",0.758
"173",0.348
"174",0.826
"175",0.923
"176",1.108
"177",1.294
"178",1.32
"179",1.061
"180",0.418
"181",1.205
"182",0.212
"183",1.315
"184",1.186
"185",0.995
"186",0.914
"187",0.728
"188",1.068
"189",0.896
"190",0.881
"191",0.483
"192",0.49
"193",1.095
"194",1.379
"195",0.832
"196",1.101
"197",0.876
"198",0.992
"199",1.013
"200",0.873
"201",1.065
"202",0.621
