"","x"
"1",5
"2",11
"3",16
"4",23
"5",36
"6",58
"7",29
"8",20
"9",10
"10",8
"11",3
"12",0
"13",0
"14",2
"15",11
"16",27
"17",47
"18",63
"19",60
"20",39
"21",28
"22",26
"23",22
"24",11
"25",21
"26",40
"27",78
"28",122
"29",103
"30",73
"31",47
"32",35
"33",11
"34",5
"35",16
"36",34
"37",70
"38",81
"39",111
"40",101
"41",73
"42",40
"43",20
"44",16
"45",5
"46",11
"47",22
"48",40
"49",60
"50",80.9
"51",83.4
"52",47.7
"53",47.8
"54",30.7
"55",12.2
"56",9.6
"57",10.2
"58",32.4
"59",47.6
"60",54
"61",62.9
"62",85.9
"63",61.2
"64",45.1
"65",36.4
"66",20.9
"67",11.4
"68",37.8
"69",69.8
"70",106.1
"71",100.8
"72",81.6
"73",66.5
"74",34.8
"75",30.6
"76",7
"77",19.8
"78",92.5
"79",154.4
"80",125.9
"81",84.8
"82",68.1
"83",38.5
"84",22.8
"85",10.2
"86",24.1
"87",82.9
"88",132
"89",130.9
"90",118.1
"91",89.9
"92",66.6
"93",60
"94",46.9
"95",41
"96",21.3
"97",16
"98",6.4
"99",4.1
"100",6.8
"101",14.5
"102",34
"103",45
"104",43.1
"105",47.5
"106",42.2
"107",28.1
"108",10.1
"109",8.1
"110",2.5
"111",0
"112",1.4
"113",5
"114",12.2
"115",13.9
"116",35.4
"117",45.8
"118",41.1
"119",30.1
"120",23.9
"121",15.6
"122",6.6
"123",4
"124",1.8
"125",8.5
"126",16.6
"127",36.3
"128",49.6
"129",64.2
"130",67
"131",70.9
"132",47.8
"133",27.5
"134",8.5
"135",13.2
"136",56.9
"137",121.5
"138",138.3
"139",103.2
"140",85.7
"141",64.6
"142",36.7
"143",24.2
"144",10.7
"145",15
"146",40.1
"147",61.5
"148",98.5
"149",124.7
"150",96.3
"151",66.6
"152",64.5
"153",54.1
"154",39
"155",20.6
"156",6.7
"157",4.3
"158",22.7
"159",54.8
"160",93.8
"161",95.8
"162",77.2
"163",59.1
"164",44
"165",47
"166",30.5
"167",16.3
"168",7.3
"169",37.6
"170",74
"171",139
"172",111.2
"173",101.6
"174",66.2
"175",44.7
"176",17
"177",11.3
"178",12.4
"179",3.4
"180",6
"181",32.3
"182",54.3
"183",59.7
"184",63.7
"185",63.5
"186",52.2
"187",25.4
"188",13.1
"189",6.8
"190",6.3
"191",7.1
"192",35.6
"193",73
"194",85.1
"195",78
"196",64
"197",41.8
"198",26.2
"199",26.7
"200",12.1
"201",9.5
"202",2.7
"203",5
"204",24.4
"205",42
"206",63.5
"207",53.8
"208",62
"209",48.5
"210",43.9
"211",18.6
"212",5.7
"213",3.6
"214",1.4
"215",9.6
"216",47.4
"217",57.1
"218",103.9
"219",80.6
"220",63.6
"221",37.6
"222",26.1
"223",14.2
"224",5.8
"225",16.7
"226",44.3
"227",63.9
"228",69
"229",77.8
"230",64.9
"231",35.7
"232",21.2
"233",11.1
"234",5.7
"235",8.7
"236",36.1
"237",79.7
"238",114.4
"239",109.6
"240",88.8
"241",67.8
"242",47.5
"243",30.6
"244",16.3
"245",9.6
"246",33.2
"247",92.6
"248",151.6
"249",136.3
"250",134.7
"251",83.9
"252",69.4
"253",31.5
"254",13.9
"255",4.4
"256",38
"257",141.7
"258",190.2
"259",184.8
"260",159
"261",112.3
"262",53.9
"263",37.5
"264",27.9
"265",10.2
"266",15.1
"267",47
"268",93.8
"269",105.9
"270",105.5
"271",104.5
"272",66.6
"273",68.9
"274",38
"275",34.5
"276",15.5
"277",12.6
"278",27.5
"279",92.5
"280",155.4
"281",154.7
"282",140.5
"283",115.9
"284",66.6
"285",45.9
"286",17.9
"287",13.4
"288",29.2
"289",100.2
