"","x"
"1",1120
"2",1160
"3",963
"4",1210
"5",1160
"6",1160
"7",813
"8",1230
"9",1370
"10",1140
"11",995
"12",935
"13",1110
"14",994
"15",1020
"16",960
"17",1180
"18",799
"19",958
"20",1140
"21",1100
"22",1210
"23",1150
"24",1250
"25",1260
"26",1220
"27",1030
"28",1100
"29",774
"30",840
"31",874
"32",694
"33",940
"34",833
"35",701
"36",916
"37",692
"38",1020
"39",1050
"40",969
"41",831
"42",726
"43",456
"44",824
"45",702
"46",1120
"47",1100
"48",832
"49",764
"50",821
"51",768
"52",845
"53",864
"54",862
"55",698
"56",845
"57",744
"58",796
"59",1040
"60",759
"61",781
"62",865
"63",845
"64",944
"65",984
"66",897
"67",822
"68",1010
"69",771
"70",676
"71",649
"72",846
"73",812
"74",742
"75",801
"76",1040
"77",860
"78",874
"79",848
"80",890
"81",744
"82",749
"83",838
"84",1050
"85",918
"86",986
"87",797
"88",923
"89",975
"90",815
"91",1020
"92",906
"93",901
"94",1170
"95",912
"96",746
"97",919
"98",718
"99",714
"100",740
