"","x"
"1",0.71
"2",0.63
"3",0.85
"4",0.44
"5",0.61
"6",0.69
"7",0.92
"8",0.55
"9",0.72
"10",0.77
"11",0.92
"12",0.6
"13",0.83
"14",0.8
"15",1
"16",0.77
"17",0.92
"18",1
"19",1.24
"20",1
"21",1.16
"22",1.3
"23",1.45
"24",1.25
"25",1.26
"26",1.38
"27",1.86
"28",1.56
"29",1.53
"30",1.59
"31",1.83
"32",1.86
"33",1.53
"34",2.07
"35",2.34
"36",2.25
"37",2.16
"38",2.43
"39",2.7
"40",2.25
"41",2.79
"42",3.42
"43",3.69
"44",3.6
"45",3.6
"46",4.32
"47",4.32
"48",4.05
"49",4.86
"50",5.04
"51",5.04
"52",4.41
"53",5.58
"54",5.85
"55",6.57
"56",5.31
"57",6.03
"58",6.39
"59",6.93
"60",5.85
"61",6.93
"62",7.74
"63",7.83
"64",6.12
"65",7.74
"66",8.91
"67",8.28
"68",6.84
"69",9.54
"70",10.26
"71",9.54
"72",8.73
"73",11.88
"74",12.06
"75",12.15
"76",8.91
"77",14.04
"78",12.96
"79",14.85
"80",9.99
"81",16.2
"82",14.67
"83",16.02
"84",11.61
