"","x"
"1",2134
"2",1863
"3",1877
"4",1877
"5",1492
"6",1249
"7",1280
"8",1131
"9",1209
"10",1492
"11",1621
"12",1846
"13",2103
"14",2137
"15",2153
"16",1833
"17",1403
"18",1288
"19",1186
"20",1133
"21",1053
"22",1347
"23",1545
"24",2066
"25",2020
"26",2750
"27",2283
"28",1479
"29",1189
"30",1160
"31",1113
"32",970
"33",999
"34",1208
"35",1467
"36",2059
"37",2240
"38",1634
"39",1722
"40",1801
"41",1246
"42",1162
"43",1087
"44",1013
"45",959
"46",1179
"47",1229
"48",1655
"49",2019
"50",2284
"51",1942
"52",1423
"53",1340
"54",1187
"55",1098
"56",1004
"57",970
"58",1140
"59",1110
"60",1812
"61",2263
"62",1820
"63",1846
"64",1531
"65",1215
"66",1075
"67",1056
"68",975
"69",940
"70",1081
"71",1294
"72",1341
