"","x"
"1",580.38
"2",581.86
"3",580.97
"4",580.8
"5",579.79
"6",580.39
"7",580.42
"8",580.82
"9",581.4
"10",581.32
"11",581.44
"12",581.68
"13",581.17
"14",580.53
"15",580.01
"16",579.91
"17",579.14
"18",579.16
"19",579.55
"20",579.67
"21",578.44
"22",578.24
"23",579.1
"24",579.09
"25",579.35
"26",578.82
"27",579.32
"28",579.01
"29",579
"30",579.8
"31",579.83
"32",579.72
"33",579.89
"34",580.01
"35",579.37
"36",578.69
"37",578.19
"38",578.67
"39",579.55
"40",578.92
"41",578.09
"42",579.37
"43",580.13
"44",580.14
"45",579.51
"46",579.24
"47",578.66
"48",578.86
"49",578.05
"50",577.79
"51",576.75
"52",576.75
"53",577.82
"54",578.64
"55",580.58
"56",579.48
"57",577.38
"58",576.9
"59",576.94
"60",576.24
"61",576.84
"62",576.85
"63",576.9
"64",577.79
"65",578.18
"66",577.51
"67",577.23
"68",578.42
"69",579.61
"70",579.05
"71",579.26
"72",579.22
"73",579.38
"74",579.1
"75",577.95
"76",578.12
"77",579.75
"78",580.85
"79",580.41
"80",579.96
"81",579.61
"82",578.76
"83",578.18
"84",577.21
"85",577.13
"86",579.1
"87",578.25
"88",577.91
"89",576.89
"90",575.96
"91",576.8
"92",577.68
"93",578.38
"94",578.52
"95",579.74
"96",579.31
"97",579.89
"98",579.96
