"","x"
"1",5
"2",3
"3",0
"4",2
"5",0
"6",3
"7",2
"8",3
"9",6
"10",1
"11",2
"12",1
"13",2
"14",1
"15",3
"16",3
"17",3
"18",5
"19",2
"20",4
"21",4
"22",0
"23",2
"24",3
"25",7
"26",12
"27",3
"28",10
"29",9
"30",2
"31",3
"32",7
"33",7
"34",2
"35",3
"36",3
"37",6
"38",2
"39",4
"40",3
"41",5
"42",2
"43",2
"44",4
"45",0
"46",4
"47",2
"48",5
"49",2
"50",3
"51",3
"52",6
"53",5
"54",8
"55",3
"56",6
"57",6
"58",0
"59",5
"60",2
"61",2
"62",2
"63",6
"64",3
"65",4
"66",4
"67",2
"68",2
"69",4
"70",7
"71",5
"72",3
"73",3
"74",0
"75",2
"76",2
"77",2
"78",1
"79",3
"80",4
"81",2
"82",2
"83",1
"84",1
"85",1
"86",2
"87",1
"88",4
"89",4
"90",3
"91",2
"92",1
"93",4
"94",1
"95",1
"96",1
"97",0
"98",0
"99",2
"100",0
