"","x"
"1",NA
"2",87
"3",82
"4",75
"5",63
"6",50
"7",43
"8",32
"9",35
"10",60
"11",54
"12",55
"13",36
"14",39
"15",NA
"16",NA
"17",69
"18",57
"19",57
"20",51
"21",45
"22",37
"23",46
"24",39
"25",36
"26",24
"27",32
"28",23
"29",25
"30",32
"31",NA
"32",32
"33",59
"34",74
"35",75
"36",60
"37",71
"38",61
"39",71
"40",57
"41",71
"42",68
"43",79
"44",73
"45",76
"46",71
"47",67
"48",75
"49",79
"50",62
"51",63
"52",57
"53",60
"54",49
"55",48
"56",52
"57",57
"58",62
"59",61
"60",66
"61",71
"62",62
"63",61
"64",57
"65",72
"66",83
"67",71
"68",78
"69",79
"70",71
"71",62
"72",74
"73",76
"74",64
"75",62
"76",57
"77",80
"78",73
"79",69
"80",69
"81",71
"82",64
"83",69
"84",62
"85",63
"86",46
"87",56
"88",44
"89",44
"90",52
"91",38
"92",46
"93",36
"94",49
"95",35
"96",44
"97",59
"98",65
"99",65
"100",56
"101",66
"102",53
"103",61
"104",52
"105",51
"106",48
"107",54
"108",49
"109",49
"110",61
"111",NA
"112",NA
"113",68
"114",44
"115",40
"116",27
"117",28
"118",25
"119",24
"120",24
