[7,8,10,12,8.5,4,
6,6,20,30,9,4.5,
2,3,40,40,2,1.5,
14,9,20,25,10,6,
10,9,10,10,11,5,
24,15,15,13,25,19,
6,7,50,40,8.5,3,
8,7.5,5,8,9,4,
5,5,10,10,5,2.5,
8,10,30,35,9.5,4.5,
7,8,7,8,3,2,
5,6.5,9,12,8,4.5,
6,7.5,10,10,7.5,4,
11,8,8,10,10,6,
4,5,10,10,7.5,3.5,
3,3.5,3,2,2,1.5,
5,5.5,8,10,7,3.5,
21,12,6,8,15,8,
6,5.5,2,2,8,5,
3,3.6,3,3,2.5,1.5,
30,29,120,80,35,20,
25,16,110,80,27,12,
19,10,90,12,25,13,
7,6,5,7,8.5,4.5,
12,8,7,10,12,7,
4,6,1,1,7.5,3.5,
2,2.5,1,1,2.5,1,
2,3.5,2,2,1.9,1.2]
