"1mon" "2mon" "3mon" "4mon" "5mon" "5.5mon" "6.5mon" "7.5mon" "8.5mon" "9.5mon" "NA"
5.59957 7.22989 7.6082 7.72886 7.75856 7.74944 7.73191 7.71845 7.75699 7.79656 7.80871
5.63497 7.17471 7.51762 7.65834 7.69625 7.68582 7.67083 7.66179 7.69745 7.74334 7.75632
5.61633 7.20652 7.55039 7.71713 7.75815 7.74095 7.7261 7.71934 7.75459 7.79603 7.80092
5.71211 7.20071 7.54165 7.71308 7.76433 7.74835 7.73323 7.72261 7.74459 7.78738 7.79996
5.78938 7.1913 7.56918 7.73931 7.78977 7.77982 7.76339 7.739 7.77044 7.80845 7.81773
5.7739 7.14409 7.5345 7.68514 7.73473 7.71907 7.69908 7.68651 7.72154 7.76073 7.77132
5.74482 7.07166 7.48903 7.63986 7.68752 7.67606 7.66559 7.65684 7.67343 7.71638 7.72704
5.75301 7.05098 7.48931 7.64226 7.69462 7.68664 7.67531 7.6696 7.70284 7.74391 7.75545
5.6583 6.89888 7.3144 7.46324 7.53107 7.52933 7.52781 7.55738 7.59051 7.63834 7.65483
5.75008 6.94326 7.36861 7.51551 7.56449 7.56536 7.55884 7.55896 7.59833 7.64388 7.6648
5.7399 6.98661 7.40241 7.54771 7.58582 7.584 7.57594 7.56106 7.59658 7.65056 7.66715
5.72272 6.99184 7.40585 7.5617 7.62 7.61398 7.60707 7.60567 7.63477 7.68533 7.70316
5.77152 6.99439 7.42265 7.59585 7.67851 7.67256 7.67524 7.67837 7.71103 7.75665 7.78231
5.86707 6.99054 7.42493 7.59875 7.68068 7.68348 7.68504 7.70885 7.73763 7.78326 7.80842
5.80981 7.01883 7.45364 7.624 7.70452 7.70544 7.70815 7.73123 7.74467 7.80631 7.83226
5.83732 6.94424 7.37059 7.52292 7.62533 7.64395 7.65116 7.67434 7.68098 7.74341 7.76998
5.81483 6.88818 7.29591 7.45784 7.57148 7.59601 7.59927 7.62051 7.64153 7.70968 7.74082
5.80551 6.82262 7.19292 7.37221 7.4704 7.49826 7.5086 7.5298 7.5355 7.59393 7.61635
5.93922 6.77072 7.14285 7.32499 7.42532 7.46172 7.47591 7.50316 7.53269 7.59725 7.6338
5.92614 6.80165 7.15356 7.31819 7.41577 7.44284 7.44329 7.45884 7.48246 7.54674 7.57937
5.97832 6.83053 7.21873 7.3795 7.44174 7.49246 7.51291 7.52558 7.55166 7.60801 7.63416
5.88943 6.91489 7.28498 7.44587 7.50318 7.52615 7.53014 7.53815 7.56047 7.62002 7.64733
5.83827 6.68926 7.06562 7.2278 7.28068 7.31189 7.3212 7.34096 7.37164 7.42554 7.51075
5.78172 6.71995 7.08547 7.26869 7.32276 7.3476 7.35105 7.36688 7.39895 7.46703 7.5252
5.84507 6.71476 7.09716 7.26282 7.32158 7.34571 7.35049 7.36295 7.40284 7.4722 7.50326
5.8525 6.6905 7.07432 7.24712 7.31482 7.34059 7.34762 7.37357 7.41211 7.47985 7.5099
5.79563 6.70265 7.12404 7.31985 7.37755 7.39979 7.40172 7.41297 7.44678 7.53485 7.55872
5.8766 6.78106 7.20029 7.37484 7.43297 7.45418 7.45892 7.46862 7.50438 7.56877 7.59937
5.82333 6.77509 7.19724 7.35901 7.42666 7.44341 7.44719 7.4568 7.49031 7.55717 7.58237
5.79339 6.71365 7.10177 7.26055 7.3255 7.34542 7.35127 7.37914 7.41211 7.47404 7.49515
5.782 6.56162 6.94133 7.08777 7.16961 7.20094 7.21739 7.2747 7.31782 7.38032 7.38869
5.82491 6.57392 6.96358 7.11268 7.19846 7.23274 7.24559 7.27968 7.33014 7.3846 7.40728
5.83466 6.59365 6.9866 7.12668 7.20944 7.25172 7.26296 7.2848 7.3378 7.40442 7.42298
5.82346 6.49619 6.80776 6.94895 7.05337 7.10427 7.1291 7.21927 7.25015 7.32757 7.3336
5.81742 6.43364 6.78576 6.94485 7.04687 7.11577 7.14579 7.20748 7.26179 7.31238 7.34184
5.80528 6.47366 6.78971 6.92149 7.02318 7.08469 7.11429 7.21258 7.24907 7.30734 7.32323
5.81415 6.38211 6.68523 6.81088 6.92092 6.98233 7.01501 7.08116 7.14701 7.22975 7.24688
5.79608 6.3954 6.68676 6.82376 6.94342 6.99332 7.01298 7.09845 7.12637 7.18997 7.21515
5.87818 6.3987 6.69559 6.84302 6.93119 6.99574 7.01784 7.05822 7.13005 7.21067 7.24032
5.87796 6.44568 6.76071 6.91365 7.00983 7.06992 7.091 7.1334 7.19842 7.27417 7.30622
5.90869 6.48101 6.79622 6.94262 7.05105 7.12197 7.15302 7.20376 7.26417 7.35188 7.3655
5.93475 6.54879 6.87166 7.01388 7.10155 7.16097 7.18004 7.2312 7.31036 7.39392 7.43201
5.95079 6.56347 6.88811 7.03562 7.12698 7.18499 7.20159 7.24158 7.32697 7.42028 7.46167
6.05228 6.52781 6.82808 6.96834 7.05393 7.11537 7.13342 7.17845 7.25808 7.33397 7.39312
5.96164 6.46804 6.7378 6.88608 6.97035 7.03252 7.0545 7.10103 7.17913 7.27135 7.3158
5.98562 6.46007 6.7373 6.865 6.93386 6.97803 6.98999 7.02368 7.11043 7.20206 7.25164
6.01346 6.39967 6.65766 6.79728 6.87358 6.92429 6.93478 6.96843 7.05847 7.16394 7.20678
5.98648 6.35322 6.58414 6.72178 6.7967 6.84502 6.85429 6.8815 6.97013 7.07007 7.12042
5.95526 6.36598 6.59855 6.72765 6.79808 6.84671 6.86187 6.88827 6.97961 7.07708 7.12524
5.96555 6.32939 6.5607 6.68413 6.75875 6.81676 6.82876 6.85121 6.94721 7.03932 7.08572
5.95547 6.34064 6.59098 6.7269 6.82666 6.88039 6.8877 6.92322 7.0264 7.10784 7.14899
5.93427 6.35392 6.60859 6.75582 6.86265 6.92369 6.93274 6.96881 7.06969 7.16239 7.20157
5.95022 6.37262 6.6469 6.78607 6.89653 6.95999 6.97002 7.00904 7.11543 7.21143 7.26154
5.91851 6.3639 6.64532 6.79392 6.90467 6.96276 6.97066 7.00422 7.11063 7.21531 7.27493
5.88012 6.32473 6.54959 6.68455 6.7869 6.8464 6.87477 6.88915 6.99901 7.12452 7.14484
