Year,Month,%OT Arrival,%Late Arr,%Canceled,%Diverted,%OT Dept,#flights
2002,9,87.95,11.07,0.86,0.12,89.99,429996
2003,4,86.84,11.83,1.2,0.13,89.17,527303
2003,10,86.39,12.56,0.92,0.13,89.41,552370
2003,9,85.63,12.77,1.46,0.15,88.9,527714
1995,9,85.58,13.15,1.16,0.11,89.04,429774
2002,11,85.21,13.8,0.89,0.11,88.42,415024
1997,9,85.03,13.37,1.43,0.17,88.68,444431
2003,5,84.93,14.11,0.81,0.15,88.37,533782
2001,10,84.78,13.51,1.54,0.17,85.16,443796
2001,11,84.71,14.06,1.08,0.16,86.54,417386
2002,2,84.69,14.12,1.08,0.1,87.47,399535
2002,10,84.18,14.7,1.02,0.11,87.57,446590
2004,9,83.91,12.84,3.07,0.18,85.84,585125
2005,5,83.67,15.23,0.96,0.14,85.83,614802
2005,4,83.44,15.16,1.27,0.13,85.9,594492
2003,1,83.32,15.01,1.51,0.16,86.46,552109
1998,11,83.29,15.09,1.47,0.15,86.38,436528
1997,5,83.16,15.54,1.13,0.17,86.96,457361
2004,4,83.04,16.08,0.77,0.11,86.13,582970
2002,5,82.76,16.13,0.99,0.13,86.17,450046
2005,9,82.66,15.19,2.01,0.14,84.91,574253
2002,8,82.62,16.05,1.14,0.18,85,466764
2002,4,82.58,16.23,1.03,0.16,86.07,438141
2003,3,82.57,15.54,1.71,0.18,85.99,559342
2003,6,82.36,16.66,0.78,0.2,85.91,536496
1995,10,82.09,16.66,1.09,0.15,85.94,448017
1998,10,81.75,16.35,1.71,0.19,85.28,457954
1997,10,81.55,16.68,1.64,0.13,85.76,459247
2001,5,81.47,16.59,1.78,0.16,84.55,529940
1999,11,81.41,16.74,1.68,0.16,84.16,454950
1995,4,81.3,17.2,1.32,0.17,85.82,441074
2004,3,81.29,17.3,1.26,0.15,84.72,601412
2005,10,81.26,16.86,1.77,0.12,83.34,592712
2002,1,81.02,17.19,1.67,0.11,84.72,436336
2004,10,81,17.76,1.1,0.14,84.4,610037
1995,5,80.68,17.71,1.43,0.18,85.58,448341
2001,12,80.22,18.63,1.01,0.14,82.3,429869
2003,11,80.2,18.21,1.4,0.19,84.97,528171
1996,4,80.18,18.38,1.27,0.17,84.48,436007
1995,7,80.08,18.39,1.29,0.24,83.75,449856
1999,10,80.06,17.77,2.04,0.13,83.54,478294
2005,11,80.03,18.82,0.99,0.16,82.89,566138
1995,8,79.85,18.27,1.66,0.22,83.34,457423
1997,4,79.85,18.38,1.58,0.19,84.01,447294
2002,7,79.66,18.75,1.34,0.24,82.29,465573
2003,7,79.66,18.72,1.4,0.22,83.46,558568
1999,9,79.35,17.17,3.31,0.17,83.28,460251
1995,3,79.3,18.95,1.59,0.16,83.49,461503
2001,4,79.29,18.31,2.22,0.18,82.31,514187
1998,4,79.12,19.09,1.57,0.22,83.4,442644
2004,11,79.12,19.45,1.26,0.18,82.11,584610
2003,8,79,19.09,1.64,0.27,83.2,556984
1998,9,78.94,13.51,7.41,0.15,81.44,443901
1996,5,78.92,19.29,1.57,0.22,83.49,448923
1995,2,78.91,18.53,2.38,0.18,82.86,418312
1999,2,78.91,17.43,3.48,0.19,82.14,417627
1998,7,78.86,18.89,2.02,0.23,81.7,462429
1996,9,78.69,19.34,1.76,0.21,84.03,438352
2002,6,78.64,19.42,1.71,0.23,81.6,448333
2002,3,78.59,19.9,1.35,0.17,82.11,447896
1997,8,78.56,19.73,1.48,0.23,82.68,466608
2002,12,78.34,19.71,1.72,0.22,81.08,427125
2004,8,78.29,19.88,1.63,0.2,81.33,623107
1997,11,78.22,20.02,1.55,0.2,83.38,432725
2001,7,78.12,19.56,2.1,0.22,81.04,538440
1997,3,78.1,19.88,1.81,0.21,82.16,460986
2000,9,78.1,19.45,2.24,0.21,82.03,463097
1999,3,78.09,19.03,2.66,0.22,81.37,466267
1999,12,78,20.07,1.74,0.19,81.58,469944
1996,11,77.91,19.65,2.19,0.24,82.56,435088
