RMRF	SMB	HML	UMD	RF	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10
-6.99	2.13	2.65	-3.28	0.33	0.3	-2.41	-3.24	-4.57	-3.73	-5.24	-5.14	-5.16	-4.83	-7.61
0.99	0.71	-2.15	3.59	0.29	-1.25	0.96	1.91	1.5	1.02	0.3	1.29	1.94	1.25	1.25
-1.46	-0.65	-2.69	1.85	0.35	-1.12	-3.56	-3.08	-2.83	-2.69	-2.72	-1.92	-1.94	-0.58	-0.88
-1.7	0.32	-2.22	2.6	0.19	-3.06	-2.07	-2.07	-1.98	-2.39	-2.12	-1.27	-1.02	0.07	-1.89
3.08	1.42	-3.83	4.77	0.27	0.83	0.43	3.23	3.54	2.46	3.32	2.41	2.12	3.33	3.28
2.09	-0.24	-0.3	1.03	0.24	3.33	1.77	1.75	2.15	2.02	2.89	2.3	2.65	2.75	2.31
-2.23	-0.4	1.94	-0.8	0.13	-1.47	-1.23	-2.51	-1.56	-1.7	-1.59	-2.4	-0.77	-2.05	-2.23
2.85	0.34	0.67	2.04	0.17	5.4	3.95	2.66	4.1	2.97	4.02	2.94	2.81	3.27	2.86
-6	-0.98	1.29	0.3	0.16	-6.13	-5.25	-6.15	-6.57	-6.01	-5.63	-6.13	-4.91	-5.79	-5.86
-0.7	-3.75	2.34	1.27	0.22	-3.17	-2.36	-3.69	-1.81	-3.81	-2.05	-1.85	-1.27	-1.08	0.09
4.72	0.52	-2.96	3.65	0.13	1.97	1.23	5.04	3.91	5.99	5.99	5.19	6.17	6.39	4.26
4.68	-1.5	-0.68	1.4	0.16	2.43	2.54	4.27	2.4	3.71	3.47	4.46	5.06	4.92	5.01
6.23	0.78	3.7	-4.02	0.19	8.52	8.35	8.91	8.12	8.21	8.87	8.75	7.86	6.05	5.98
3.54	3.85	-1.04	0.92	0.14	6.27	6.28	7.77	7.29	6.74	5.68	6.33	4.95	5	2.71
2.86	3.34	-0.82	4.1	0.2	5.74	7.52	7.42	5.17	4.94	4.7	5.64	4.29	2.38	2.57
0.39	0.05	1.89	3.39	0.17	3.3	0.03	2.56	2.4	-0.72	0.45	0.99	-0.29	-0.02	0.54
2.4	2.02	0.35	-1.46	0.18	4.35	3.97	4.65	3.88	5.68	4.34	2.74	3.98	3.04	2.08
-3.04	-2.45	-0.33	0.24	0.2	-5.34	-5.73	-4.54	-4.84	-5.28	-4.23	-3.33	-3.27	-3.03	-2.43
2.81	-1.88	-0.22	0.29	0.18	-0.71	0.49	0.58	0.64	1.8	0.82	0.99	2.34	2.65	3.57
2.54	-1.81	-0.19	1.54	0.14	1.07	0.73	0.47	2.04	0.16	1.62	2.85	4.41	3.85	2.42
-2.17	-1.27	-0.34	0.76	0.17	-3.25	-3.61	-3.62	-3.29	-3.88	-1.64	-2.59	-2.64	-2.45	-1.62
2.56	-1.88	0.43	3.15	0.19	2.49	2.24	1.51	1.09	1.55	2.76	1.96	3.14	3.13	2.8
4.39	1.1	-1.06	1.14	0.15	4.53	5.85	5.68	5.67	5.16	4.59	4.64	3.51	3.82	4.87
-0.1	-1.11	2.29	-2.17	0.19	-0.67	0.79	-0.31	-0.59	-0.2	-0.56	-0.78	-2.01	-1.13	0.62
-3.86	1.92	4.93	-2.09	0.24	3.78	0.96	0.91	-0.91	-0.81	-3.39	-1.97	-2.58	-1.81	-4.46
1.75	-1.28	1.08	-1.01	0.2	2.77	1.28	1.46	1	0.51	2.1	2.1	1.29	1.12	2.33
-0.66	0.26	-1.01	2	0.2	-1.11	1.3	-0.92	-0.55	-1.38	0.14	-1.44	-0.98	-0.03	-0.47
-6.56	-1.19	0.77	2.88	0.22	-6.79	-7.3	-6.82	-7.55	-6.98	-5.45	-6.38	-6.64	-6.77	-6.18
-8.69	-3.02	2.5	0.45	0.24	-10.85	-9.42	-9.83	-9.79	-9.95	-11.2	-9.1	-9.59	-8.36	-7.8
-8.46	-0.93	3.19	6.4	0.2	-8.09	-7.04	-8.86	-6.58	-8.29	-7.48	-8.32	-9.14	-7.15	-8.46
6.28	1.54	-3.65	0.73	0.27	7.42	7.29	7.62	6.78	6.48	5.04	5.96	5.81	6.04	6.81
2.11	1.26	-1.24	-0.63	0.23	3.27	2.57	3.79	3.03	3.66	2.07	3.43	2.08	2.8	2.09
-5.23	-2.54	1.48	3.94	0.21	-5.87	-7.56	-6.98	-7.46	-7.1	-5.85	-5.15	-5.28	-5.75	-4.5
-0.04	-3.93	1.35	0.77	0.26	-3.8	-4.42	-2.52	-3.89	-2.96	-1	-1.72	-1	-0.63	1.27
10.81	2.53	0.79	-7.2	0.2	13.03	14.97	14.94	14.81	13.7	12.92	13.14	13.12	13	10.11
0.96	-3.81	0.27	5.9	0.23	-1.19	-2.68	-1.87	-2.7	-2.24	-0.53	-0.02	1.09	1.34	1.9
4.93	3.14	2.36	-2.06	0.25	10.68	11.15	9.36	8	8.34	6.14	6.39	5.67	5.06	4.63
-2.42	0.33	2.17	2.52	0.23	-0.31	0.2	-1.5	-2.17	-1.14	-1.48	-1.95	-1.38	-1.66	-2.48
3.06	-2.66	1.95	1.58	0.23	2.03	1.29	2.3	1.72	1.8	1.5	1.7	2.83	3.14	3.87
4.49	-1.36	1.03	0.14	0.25	2.86	2.75	5.43	2.97	3.77	3.83	4.14	4.77	4.54	4.97
1.77	1.01	2.64	0.37	0.24	6.36	4.45	3.54	3.64	3.61	3.6	2.46	1.95	3.04	1.62
-2.03	-0.22	0.82	1.15	0.23	-1.81	-1.05	-1.39	-1.91	-1.83	-1.47	-1.93	-1.59	-1.16	-1.99
-0.44	-0.49	-0.96	1.04	0.27	-0.22	-0.5	-1.72	-0.89	-1.18	-2.04	-1.18	-1.56	-0.33	0.33
5.02	-1.02	1.69	1.16	0.25	2.53	3.33	4.83	5.18	6.4	4.47	5.53	5.85	5.85	5.23
-1.46	-0.34	0.26	0.08	0.27	-0.15	-1.9	-1.71	-1.87	-1.9	-1.51	-2.74	-1.81	-2	-0.91
2.48	-0.58	-0.2	3.13	0.29	0.66	0.33	2.74	2.74	1.02	1.5	1.46	1.15	1.78	3.53
-0.83	-1.13	1.57	-0.74	0.27	-2.04	-2.07	-0.6	-1.78	-1.3	-1.59	-0.17	-0.35	-0.25	-0.55
1.88	-1.98	-0.06	1.68	0.29	-2.3	-0.91	0.05	0.35	2.15	0.47	1.94	1.19	1.8	2.57
2.28	-0.23	1.47	1.07	0.3	4.68	3.51	2.58	0.79	2.33	1.42	1.08	1.31	1.19	3.19
1.46	0.06	2.82	0.26	0.26	2.74	2.39	2.76	3.29	2.26	2.3	2.96	3.07	2.04	1.47
1.45	0.92	3.25	0.74	0.31	2.3	2.41	4	3.45	4.11	3.24	2.78	3.11	1.85	1.27
0.17	-1.41	-0.45	-0.61	0.29	0.02	-0.65	-0.71	-0.42	-0.98	-0.51	0.3	-0.94	-0.43	0.92
1.48	-0.95	1.74	2.62	0.26	0.74	0.23	1.87	2.73	1.42	0.88	2.08	2.15	0.97	1.76
1.21	-0.28	0.67	0.49	0.3	1.19	1.19	1.1	1.27	0.94	1.9	1.57	1.33	1.45	1.61
1.71	0.15	0.78	-0.29	0.3	3.67	2.41	3.61	1.8	1.81	2.98	2	2.15	3.33	1.68
-1.41	-0.04	0.23	-0.19	0.28	-0.52	-0.75	-0.62	-1.74	-0.67	-0.98	-0.51	0.06	-1.26	-1.31
2.77	-0.73	1.81	-0.4	0.28	5.13	3.72	2.93	3.02	2.82	3	3.69	3.8	3.14	2.78
0.6	0.46	1.01	0.15	0.29	2.63	1.96	1.06	1.31	1.48	2.62	1.21	1.76	0.78	0.63
0.02	0.59	-1.91	1.1	0.29	0.13	0.25	0.58	-1.57	0.15	0.81	0.04	0.06	0.33	0.3
0.06	-0.24	-2.54	-0.71	0.31	-1.7	-2.22	-0.98	0.15	-0.24	-0.62	-0.4	-0.26	-0.36	0.76
3.58	2.54	0.41	-1.36	0.28	8.33	6.62	6.36	6.22	5.47	5.8	5.23	5.57	4.69	3.08
0.39	3.26	0.44	0.31	0.3	3.15	2.6	3.77	4.16	4.55	3.15	2.74	2.76	2.5	-0.41
-1.33	1.77	1.09	0.1	0.36	2.26	2.32	1.13	-0.35	0.69	0.4	-0.03	-0.15	-0.6	-1.53
3.06	1.18	0.67	2.56	0.31	5.15	4.28	3.5	4.85	4.79	3.48	3.75	3.38	2.67	3.37
-0.74	0.05	-1.63	0.54	0.31	-0.05	-1.58	-1.26	-0.41	-0.56	-0.3	-0.75	-0.87	-0.48	-0.28
