      airq vala rain coas dens medi
      104     2734.4      12.63          1    1815.86       4397
       85     2479.2      47.14          1     804.86       5667
      127       4845      42.77          1    1907.86      15817
      145    19733.8      33.18          0    1876.08      32698
       84     4093.6      34.55          1     340.93       6250
      135     1849.8      14.81          0     335.52       4705
       88     4179.4      45.94          1     315.78       7165
      118     2525.3      39.25          0     360.39       4472
       74     1899.2      42.36          1    12957.5       2658
      104    15257.1      12.63          1    1728.19      33885
       64       1219      59.76          1     620.96       5160
       75      992.9       53.9          1     529.62       3738
      131    15120.8      42.37          1    5397.47      59460
      129     9189.9      42.48          1    1356.04      19224
       84     1596.9      37.18          1     276.44       3944
      165     4157.3      36.14          1     787.47       9281
       80     1185.2      12.63          1     318.63       5012
       59     3817.7      18.69          1    1255.04      15710
      110     1686.2      35.35          0     750.28       2509
      120       1322      35.08          1     325.36       2627
      118     3476.2      43.05          1     916.78       8019
      120     1123.8      68.13          1     271.59       2425
      120     1151.6      35.35          0     645.83       1364
       59     2896.3      18.69          1     819.23       4155
       74     5608.6      42.36          1    2649.07       8947
      124       3700      29.51          0    9642.86       5952
       69     1395.5      42.92          1    1105.55       4146
      118     3022.8      41.32          0     910.79       3207
      129     1515.4      31.22          0     379.58        853
      129     1878.9      30.95          0     455.92        853
