RFOOD	RDUR	RCON	RMRF	RF	JANDUM
-4.59	0.87	-6.84	-6.99	0.33	1
2.62	3.46	2.78	0.99	0.29	0
-1.67	-2.28	-0.48	-1.46	0.35	0
0.86	2.41	-2.02	-1.7	0.19	0
7.34	6.33	3.69	3.08	0.27	0
4.99	-1.26	2.05	2.09	0.24	0
-1.52	-5.09	-3.79	-2.23	0.13	0
3.96	4.38	-1.08	2.85	0.17	0
-3.98	-4.23	-4.71	-6	0.16	0
0.99	1.17	-1.44	-0.7	0.22	0
9.22	10.58	6.53	4.72	0.13	0
4.12	6.79	3.42	4.68	0.16	0
4.75	0.26	6.08	6.23	0.19	1
4.53	18.08	4.25	3.54	0.14	0
4.43	3.68	2.08	2.86	0.2	0
-1.14	-2.34	-4.23	0.39	0.17	0
4.31	-1.27	2.74	2.4	0.18	0
-2.23	-6.85	-3.24	-3.04	0.2	0
2.57	-0.66	-0.3	2.81	0.18	0
4.77	1.98	0.59	2.54	0.14	0
-0.76	1.83	-2.87	-2.17	0.17	0
3.45	-3	1.3	2.56	0.19	0
5.22	1.91	5.93	4.39	0.15	0
-3.32	-0.42	0.47	-0.1	0.19	0
-6.42	-9.65	-5.18	-3.86	0.24	1
-0.2	0.07	0.68	1.75	0.2	0
0.87	-2.26	-1.2	-0.66	0.2	0
-4.51	-8.04	-7.26	-6.56	0.22	0
-11.05	-8.93	-8.64	-8.69	0.24	0
-8.55	-11.07	-10.92	-8.46	0.2	0
6.56	1.18	4.24	6.28	0.27	0
0.19	1.81	1.99	2.11	0.23	0
-4.98	-7.75	-6.79	-5.23	0.21	0
-2.91	-2.79	-2.55	-0.04	0.26	0
11.98	15.56	12.73	10.81	0.2	0
2.57	2.24	-2.61	0.96	0.23	0
6.18	7.57	4.76	4.93	0.25	1
-3.14	-5.37	-0.64	-2.42	0.23	0
1.73	2.24	3.43	3.06	0.23	0
0.83	5.32	2.64	4.49	0.25	0
3.03	2.94	0.52	1.77	0.24	0
-0.79	-0.25	-1.33	-2.03	0.23	0
-0.43	-0.52	-0.66	-0.44	0.27	0
4.34	5.07	5.31	5.02	0.25	0
-1.47	-1.7	-1.77	-1.46	0.27	0
1.78	5.8	-1.33	2.48	0.29	0
-0.75	-0.41	-1.77	-0.83	0.27	0
2.51	4.19	-0.17	1.88	0.29	0
0.82	-0.11	2.38	2.28	0.3	1
1.05	1.13	4.2	1.46	0.26	0
2.06	2.43	4.47	1.45	0.31	0
-1.39	-2.3	-0.84	0.17	0.29	0
1.39	1.89	0.05	1.48	0.26	0
1.9	-0.64	0.6	1.21	0.3	0
1.3	0.16	0.82	1.71	0.3	0
-1.61	-2.06	-1.36	-1.41	0.28	0
1.67	7.18	0.68	2.77	0.28	0
-1.25	-1.37	0.98	0.6	0.29	0
0.77	1.42	-1.02	0.02	0.29	0
0.79	0.11	-1.97	0.06	0.31	0
5.17	8	5.49	3.58	0.28	1
1.06	3.06	2.9	0.4	0.3	0
-1.69	-1.34	-0.62	-1.33	0.36	0
2.72	6.78	1.29	3.06	0.31	0
-1.14	0.03	-1.59	-0.74	0.31	0
-4.64	-5.86	-7.12	-5.54	0.35	0
0.73	5.46	0.22	1.37	0.31	0
1.65	7.84	1.99	2.76	0.33	0
-0.1	7.6	1.48	2.89	0.31	0
0.8	5.01	2.63	2.62	0.31	0
-0.05	1.47	0.77	-0.04	0.35	0
0.83	4.87	1.42	1.02	0.33	0
-0.05	2.57	3.92	0.83	0.38	1
-1.39	0.24	-1.27	-1.21	0.35	0
-2.91	2.56	-3.36	-2.47	0.38	0
-0.84	6.36	-0.26	2.14	0.34	0
-4.35	-8.48	-6.2	-5.66	0.41	0
-2.82	-0.24	-2.37	-1.41	0.38	0
-1.1	-3.86	-1.68	-1.64	0.35	0
-6.58	-9.89	-10.22	-7.95	0.41	0
-1.67	-5.46	-2.34	-1.1	0.4	0
7.38	2.05	1.24	3.78	0.45	0
2.39	6.47	3.13	1.35	0.4	0
-0.6	-2.03	2.68	0.22	0.4	0
6.21	7.54	14.66	8.12	0.43	1
1.45	3.67	0.96	0.73	0.36	0
3.59	2.03	7.61	3.95	0.39	0
4.02	5.28	2.78	3.84	0.32	0
-2.45	-7.08	-4.45	-4.26	0.33	0
3.6	2	4.75	2.42	0.27	0
5.2	5.8	6.32	4.6	0.32	0
-1.76	-0.56	2.09	-0.94	0.31	0
1.9	3.84	3.09	3.11	0.32	0
-3.74	-0.78	-5.38	-3.13	0.39	0
0.23	1.78	-1.83	0.43	0.36	0
2.09	0.76	5.83	3.04	0.33	0
-1.4	-9.64	-0.1	-4.03	0.4	1
-2.64	-3.76	-4.43	-3.75	0.39	0
0.16	2.85	-0.96	0.13	0.38	0
9.62	11.77	14.38	8.98	0.43	0
4.67	3.02	4.98	2.25	0.45	0
0.58	-3.31	-1.51	0.72	0.43	0
-4.17	-5.86	-0.41	-2.68	0.48	0
2.26	2.35	7.42	1.38	0.42	0
3.56	2.72	4.24	4.02	0.43	0
-0.06	0.43	-1.53	0.46	0.44	0
5.08	5.94	6.16	5.43	0.42	0
-1.93	-6.31	-1.79	-3.82	0.43	0
-1.19	-0.87	-1.96	-1.2	0.53	1
-6.01	-6	-6.46	-5.82	0.46	0
0.66	1.89	2.95	2.59	0.46	0
1.5	3.96	1.66	1.52	0.53	0
1.32	-1.35	0.08	0.02	0.48	0
-6.82	-3.17	-13.05	-7.25	0.51	0
-6.11	-4.93	-7.77	-7.05	0.53	0
4.47	3.66	7.92	4.65	0.5	0
0.21	-0.88	-5.11	-2.88	0.62	0
7.53	5.22	6.37	4.96	0.6	0
-2.56	-3.69	-4.02	-3.74	0.52	0
-1.16	-0.79	-5.04	-2.61	0.64	0
-3.22	-8.2	-9.16	-7.93	0.6	1
4.97	-0.84	7.02	5.05	0.62	0
-1.45	-1	-1.61	-1.04	0.57	0
-10.5	-9.34	-11.4	-11.03	0.5	0
-7.64	-10.36	-9.59	-6.96	0.53	0
-1.47	-6.05	-6.57	-5.69	0.58	0
5.15	5.47	9.73	6.9	0.52	0
-1.05	5.35	3.07	4.47	0.53	0
4.38	5.83	7.5	4.21	0.54	0
0.38	-2.08	-4.53	-2.28	0.46	0
4.33	4.5	0.73	4.58	0.46	0
5.62	5.53	8.67	5.65	0.42	0
2.66	5.85	5.95	4.82	0.38	1
1.85	2.02	0.47	1.36	0.33	0
3.58	6.39	0.67	4.18	0.3	0
1.37	4.88	3.75	3.05	0.28	0
-1.85	-1.1	-5.03	-3.93	0.29	0
0.65	1.77	-3.32	-0.06	0.37	0
-1.49	-7.17	-3.28	-4.43	0.4	0
1.58	7.77	5.88	3.78	0.47	0
0.05	0.75	1.62	-0.87	0.37	0
-3.14	-5.04	-6.5	-4.44	0.37	0
0.12	1.71	-4.59	-0.5	0.37	0
9.17	8.6	7.99	8.76	0.37	0
0.39	3.41	2.01	2.55	0.29	1
3.85	5.83	3.1	2.88	0.25	0
-0.5	3.99	0.19	0.6	0.27	0
1.91	1.77	1.68	0.26	0.29	0
0.43	3.39	-3.22	1.34	0.3	0
-0.94	-1.04	-2.55	-2.38	0.29	0
0.35	-0.73	-2.7	-0.74	0.31	0
1.21	-2	1.09	3.31	0.29	0
-1.5	1.31	-2.89	-1.11	0.34	0
