FIRM,YEAR,I,F,C 
1,1935,317.6000000,3078.5000000,2.8000000 
1,1936,391.8000000,4661.7000000,52.6000000 
1,1937,410.6000000,5387.1000000,156.9000000 
1,1938,257.7000000,2792.2000000,209.2000000 
1,1939,330.8000000,4313.2000000,203.4000000 
1,1940,461.2000000,4643.9000000,207.2000000 
1,1941,512,4551.2000000,255.2000000 
1,1942,448,3244.1000000,303.7000000 
1,1943,499.6000000,4053.7000000,264.1000000 
1,1944,547.5000000,4379.3000000,201.6000000 
1,1945,561.2000000,4840.9000000,265 
1,1946,688.1000000,4900.9000000,402.2000000 
1,1947,568.9000000,3526.5000000,761.5000000 
1,1948,529.2000000,3254.7000000,922.4000000 
1,1949,555.1000000,3700.2000000,1020.1000000 
1,1950,642.9000000,3755.6000000,1099 
1,1951,755.9000000,4833,1207.7000000 
1,1952,891.2000000,4924.9000000,1430.5000000 
1,1953,1304.4000000,6241.7000000,1777.3000000 
1,1954,1486.7000000,5593.6000000,2226.3000000 
2,1935,209.9000000,1362.4000000,53.8000000 
2,1936,355.3000000,1807.1000000,50.5000000 
2,1937,469.9000000,2676.3000000,118.1000000 
2,1938,262.3000000,1801.9000000,260.2000000 
2,1939,230.4000000,1957.3000000,312.7000000 
2,1940,361.6000000,2202.9000000,254.2000000 
2,1941,472.8000000,2380.5000000,261.4000000 
2,1942,445.6000000,2168.6000000,298.7000000 
2,1943,361.6000000,1985.1000000,301.8000000 
2,1944,288.2000000,1813.9000000,279.1000000 
2,1945,258.7000000,1850.2000000,213.8000000 
2,1946,420.3000000,2067.7000000,132.6000000 
2,1947,420.5000000,1796.7000000,264.8000000 
2,1948,494.5000000,1625.8000000,306.9000000 
2,1949,405.1000000,1667,351.1000000 
2,1950,418.8000000,1677.4000000,357.8000000 
2,1951,588.2000000,2289.5000000,342.1000000 
2,1952,645.5000000,2159.4000000,444.2000000 
2,1953,641,2031.3000000,623.6000000 
2,1954,459.3000000,2115.5000000,669.7000000 
3,1935,33.1000000,1170.6000000,97.8000000 
3,1936,45,2015.8000000,104.4000000 
3,1937,77.2000000,2803.3000000,118 
3,1938,44.6000000,2039.7000000,156.2000000 
3,1939,48.1000000,2256.2000000,172.6000000 
3,1940,74.4000000,2132.2000000,186.6000000 
