id,YEAR,COST,Q,PL,SL,PK,SK,PF,SF 
1,1970,.2130000,8,6869.4700000,.3291000,64.9450000,.4197000,18,.2512000 
4,1970,3.0427000,869,8372.9600000,.1030000,68.2270000,.2913000,21.0670000,.6057000 
5,1970,9.4059000,1412,7960.9000000,.0891000,40.6920000,.1567000,41.5300000,.7542000 
14,1970,.7606000,65,8971.8900000,.2802000,41.2430000,.1282000,28.5390000,.5916000 
15,1970,2.2587000,295,8218.4000000,.1772000,71.9400000,.1623000,39.2000000,.6606000 
16,1970,1.3422000,183,5063.4900000,.0960000,74.4300000,.2629000,35.5100000,.6411000 
17,1970,.6159000,50,9204.2400000,.2963000,90.4700000,.0981000,32.0700000,.6056000 
20,1970,.4887000,14,5438.8900000,.2994000,86.1100000,.4571000,34.1500000,.2435000 
22,1970,1.1474000,90,7189.6700000,.2855000,79.1010000,.2073000,21.5030000,.5072000 
25,1970,7.5492000,2969,8183.3400000,.2397000,80.6570000,.3972000,9,.3631000 
27,1970,2.0532000,374,7884.9400000,.2054000,82.4850000,.1208000,26.3014000,.6737000 
28,1970,.6363000,67,6696.5000000,.2447000,58.2580000,.3674000,25.4000000,.3879000 
30,1970,3.1504000,378,7895.4300000,.0980000,60.2770000,.1996000,42.4683000,.7024000 
31,1970,10.3136000,1886,6833.9300000,.0826000,67.6800000,.4070000,25.6000000,.5104000 
32,1970,5.8488000,1025,7093.3200000,.2164000,68.2270000,.2455000,22.2793000,.5382000 
35,1970,4.5050000,467,8410.3400000,.2474000,76.3000000,.1917000,26.8500000,.5610000 
36,1970,5.5971000,938,7703.2600000,.1577000,77.1970000,.2342000,25.4000000,.6080000 
38,1970,3.7255000,643,7332.1300000,.2666000,64.5060000,.2428000,21.1619000,.4905000 
41,1970,6.0065000,1328,6680.7700000,.1082000,51.8170000,.2611000,25.2319000,.6307000 
44,1970,12.7830000,2632,8469.8400000,.0800000,70.2950000,.2604000,30.9710000,.6596000 
45,1970,6.6214000,856,8033.7200000,.1463000,67.6800000,.2083000,39.5812000,.6554000 
46,1970,9.6429000,2689,6364.4000000,.0829000,78.4400000,.2105000,23.4889000,.7067000 
47,1970,8.6852000,1627,7912.4000000,.1105000,79.2200000,.2071000,31.6801000,.6824000 
48,1970,8.6372000,1090,8507.9200000,.2399000,39.1270000,.1796000,33.9000000,.5805000 
50,1970,11.2419000,2258,6892.6100000,.0997000,81.0960000,.2309000,29.1000000,.6694000 
55,1970,6.6221000,1500,7588.7000000,.1221000,82.8400000,.3186000,21.3951000,.5594000 
57,1970,10.9665000,2506,7412.3600000,.1164000,57.2400000,.2152000,27.4207000,.6684000 
