EMPLOY,PRICE,GNP,ARMED,YEAR 
60323,83,234289,1590,1947 
61122,88.5000000,259426,1456,1948 
60171,88.2000000,258054,1616,1949 
61187,89.5000000,284599,1650,1950 
63221,96.2000000,328975,3099,1951 
63639,98.1000000,346999,3594,1952 
64989,99,365385,3547,1953 
63761,100,363112,3350,1954 
66019,101.2000000,397469,3048,1955 
67857,104.6000000,419180,2857,1956 
68169,108.4000000,442769,2798,1957 
66513,110.8000000,444546,2637,1958 
68655,112.6000000,482704,2552,1959 
69564,114.2000000,502601,2514,1960 
69331,115.7000000,518173,2572,1961 
70551,116.9000000,554894,2827,1962 
