YEAR,GNP,INVEST,CPI,INTEREST 
1968,873.4000000,133.3000000,82.5400000,5.1600000 
1969,944,149.3000000,86.7900000,5.8700000 
1970,992.7000000,144.2000000,91.4500000,5.9500000 
1971,1077.6000000,166.4000000,96.0100000,4.8800000 
1972,1185.9000000,195,100,4.5000000 
1973,1326.4000000,229.8000000,105.7500000,6.4400000 
1974,1434.2000000,228.7000000,115.0800000,7.8300000 
1975,1549.2000000,206.1000000,125.7900000,6.2500000 
1976,1718,257.9000000,132.3400000,5.5000000 
1977,1918.3000000,324.1000000,140.0500000,5.4600000 
1978,2163.9000000,386.6000000,150.4200000,7.4600000 
1979,2417.8000000,423,163.4200000,10.2800000 
1980,2633.1000000,402.3000000,178.6400000,11.7700000 
1981,2937.7000000,471.5000000,195.5100000,13.4200000 
1982,3057.5000000,421.9000000,207.2300000,11.0200000 
