OBS,VALUEADD,LABOR,CAPITAL 
1,657.2900000,162.3100000,279.9900000 
2,935.9300000,214.4300000,542.5000000 
3,1110.6500000,186.4400000,721.5100000 
4,1200.8900000,245.8300000,1167.6800000 
5,1052.6800000,211.4000000,811.7700000 
6,3406.0200000,690.6100000,4558.0200000 
7,2427.8900000,452.7900000,3069.9100000 
8,4257.4600000,714.2000000,5585.0100000 
9,1625.1900000,320.5400000,1618.7500000 
10,1272.0500000,253.1700000,1562.0800000 
11,1004.4500000,236.4400000,662.0400000 
12,598.8700000,140.7300000,875.3700000 
13,853.1000000,145.0400000,1696.9800000 
14,1165.6300000,240.2700000,1078.7900000 
15,1917.5500000,536.7300000,2109.3400000 
16,9849.1700000,1564.8300000,13989.5500000 
17,1088.2700000,214.6200000,884.2400000 
18,8095.6300000,1083.1000000,9119.7000000 
19,3175.3900000,521.7400000,5686.9900000 
20,1653.3800000,304.8500000,1701.0600000 
21,5159.3100000,835.6900000,5206.3600000 
22,3378.4000000,284,3288.7200000 
23,592.8500000,150.7700000,357.3200000 
24,1601.9800000,259.9100000,2031.9300000 
25,2065.8500000,497.6000000,2492.9800000 
26,2293.8700000,275.2000000,1711.7400000 
27,745.6700000,137,768.5900000 
