     Qtr         Y         M1        P
    1950.1     267.6    110.20    56.04
    1950.2     277.1    111.75    56.21
    1950.3     294.8    112.95    56.41
    1950.4     306.3    113.93    56.67
    1951.1     320.4    115.08    56.77
    1951.2     328.3    116.19    57.01
    1951.3     335.0    117.76    56.99
    1951.4     339.2    119.89    57.58
    1952.1     341.9    121.31    57.58
    1952.2     342.1    122.37    57.57
    1952.3     347.8    123.64    57.92
    1952.4     360.0    124.72    58.58
    1953.1     366.1    125.33    58.76
    1953.2     369.4    126.05    58.80
    1953.3     368.4    126.22    59.00
    1953.4     363.1    126.37    58.74
    1954.1     362.5    126.54    59.38
    1954.2     362.3    127.18    59.58
    1954.3     366.7    128.38    59.45
    1954.4     375.6    129.72    59.77
    1955.1     388.2    131.07    60.27
    1955.2     396.2    131.88    60.65
    1955.3     404.8    132.40    61.03
    1955.4     411.0    132.64    61.40
    1956.1     412.8    133.11    61.91
    1956.2     418.4    133.38    62.43
    1956.3     423.5    133.48    63.13
    1956.4     432.1    134.09    63.69
    1957.1     440.2    134.29    64.40
    1957.2     442.3    134.36    64.65
    1957.3     449.4    134.26    65.28
    1957.4     444.0    133.48    65.37
    1958.1     436.8    133.72    65.63
    1958.2     440.7    135.22    65.79
    1958.3     453.9    136.64    66.17
    1958.4     467.0    138.48    66.47
    1959.1     477.0    140.35    67.04
    1959.2     490.6    141.75    67.55
    1959.3     489.0    142.23    67.81
    1959.4     495.0    141.20    68.00
    1960.1     506.9    140.83    68.44
    1960.2     506.3    140.83    68.56
    1960.3     508.0    142.00    68.86
    1960.4     504.8    141.98    68.96
    1961.1     508.2    142.85    68.88
    1961.2     519.2    143.88    69.22
    1961.3     528.2    144.90    69.54
    1961.4     542.6    146.18    69.65
    1962.1     554.2    147.18    70.23
    1962.2     562.7    147.95    70.48
    1962.3     568.9    147.90    70.62
    1962.4     574.3    148.93    71.08
    1963.1     582.0    150.45    71.41
    1963.2     590.7    151.93    71.46
    1963.3     601.8    153.38    71.66
    1963.4     612.4    154.80    72.17
    1964.1     625.3    155.85    72.36
    1964.2     634.0    157.20    72.57
    1964.3     642.8    159.75    72.97
    1964.4     648.8    161.63    73.16
    1965.1     668.8    162.90    73.77
    1965.2     681.7    163.90    74.13
    1965.3     696.4    166.05    74.56
    1965.4     717.2    169.10    74.96
    1966.1     738.5    171.95    75.71
    1966.2     750.0    172.98    76.58
    1966.3     760.6    172.80    76.99
    1966.4     774.9    173.33    77.75
    1967.1     780.7    175.25    78.27
    1967.2     788.6    178.10    78.53
    1967.3     805.7    181.93    79.28
    1967.4     823.3    184.73    80.13
    1968.1     841.2    187.15    81.15
    1968.2     867.2    190.63    82.14
    1968.3     884.9    194.30    82.84
    1968.4     900.3    198.55    83.99
    1969.1     921.2    201.73    84.97
    1969.2     937.4    203.18    86.10
    1969.3     955.3    204.18    87.49
    1969.4     962.0    206.10    88.62
    1970.1     972.0    207.90    89.89
    1970.2     986.3    209.78    91.07
    1970.3    1003.6    212.78    91.79
    1970.4    1009.0    216.08    93.03
    1971.1    1049.3    220.28    94.40
    1971.2    1068.9    225.25    95.70
    1971.3    1086.6    228.45    96.52
    1971.4    1105.8    230.70    97.39
    1972.1    1142.4    235.60    98.72
    1972.2    1171.7    239.38    99.42
    1972.3    1196.1    244.55   100.25
    1972.4    1233.5    250.70   101.54
    1973.1    1283.5    254.80   102.95
    1973.2    1307.6    258.40   104.75
    1973.3    1337.7    261.03   106.53
    1973.4    1376.7    264.68   108.74
    1974.1    1387.7    268.77   110.72
    1974.2    1423.8    271.23   113.48
    1974.3    1451.6    273.73   116.42
    1974.4    1473.8    276.73   119.79
    1975.1    1479.8    278.75   122.88
    1975.2    1516.7    283.80   124.44
    1975.3    1578.5    288.13   126.68
    1975.4    1621.8    290.88   128.99
    1976.1    1672.0    295.18   130.12
    1976.2    1698.6    299.53   131.30
    1976.3    1729.0    303.35   132.89
    1976.4    1772.5    309.35   134.99
    1977.1    1834.8    316.55   136.80
    1977.2    1895.1    321.80   139.01
    1977.3    1954.4    327.60   141.03
    1977.4    1988.9    334.80   143.24
    1978.1    2031.7    341.13   145.12
    1978.2    2139.5    348.70   148.89
    1978.3    2202.5    335.45   152.02
    1978.4    2281.6    361.38   155.38
    1979.1    2335.5    367.08   158.60
    1979.2    2377.9    376.10   161.85
    1979.3    2454.8    384.58   165.12
    1979.4    2502.9    388.38   168.05
    1980.1    2572.9    394.30   171.94
    1980.2    2578.8    390.00   176.46
    1980.3    2639.1    405.50   180.24
    1980.4    2736.0    416.10   185.13
    1981.1    2875.8    420.90   190.01
    1981.2    2918.0    429.30   193.03
    1981.3    3009.3    432.60   197.70
    1981.4    3027.9    437.50   201.69
    1982.1    3026.0    448.80   203.98
    1982.2    3061.2    451.30   206.77
    1982.3    3080.1    458.20   208.53
    1982.4    3109.6    475.70   210.27
    1983.1    3173.8    490.90   212.87
    1983.2    3267.0    505.20   214.25
    1983.3    3346.6    517.20   215.89
    1983.4    3431.7    523.40   218.21
