YEAR,GASEXP,POP,GASP,INCOME,PNC,PUC,PPT,PD,PN,PS 
1953,7.4000000,159565,16.6680000,8883,47.2000000,26.7000000,16.8000000,37.7000000,29.7000000,19.4000000 
1954,7.8000000,162391,17.0290000,8685,46.5000000,22.7000000,18,36.8000000,29.7000000,20 
1955,8.6000000,165275,17.2100000,9137,44.8000000,21.5000000,18.5000000,36.1000000,29.5000000,20.4000000 
1956,9.4000000,168221,17.7290000,9436,46.1000000,20.7000000,19.2000000,36.1000000,29.9000000,20.9000000 
1957,10.2000000,171274,18.4970000,9534,48.5000000,23.2000000,19.9000000,37.2000000,30.9000000,21.8000000 
1958,10.6000000,174141,18.3160000,9343,50,24,20.9000000,37.8000000,31.7000000,22.6000000 
1959,11.3000000,177130,18.5760000,9738,52.2000000,26.8000000,21.5000000,38.4000000,31.5000000,23.3000000 
1960,12,180760,19.1120000,9770,51.5000000,25,22.2000000,38.1000000,32,24.1000000 
1961,12,183742,18.9240000,9843,51.5000000,26,23.2000000,38.1000000,32.2000000,24.5000000 
1962,12.6000000,186590,19.0430000,10226,51.3000000,28.4000000,24,38.5000000,32.5000000,25 
1963,13,189300,18.9970000,10398,51,28.7000000,24.3000000,38.6000000,32.9000000,25.5000000 
1964,13.6000000,191927,18.8730000,11051,50.9000000,30,24.7000000,39,33.2000000,26 
1965,14.8000000,194347,19.5870000,11430,49.7000000,29.8000000,25.2000000,38.8000000,33.8000000,26.6000000 
1966,16,196599,20.0380000,11981,48.8000000,29,26.1000000,38.9000000,35.1000000,27.6000000 
1967,17.1000000,198752,20.7000000,12418,49.3000000,29.9000000,27.4000000,39.4000000,35.7000000,28.8000000 
1968,18.6000000,200745,21.0050000,12932,50.7000000,30.7000000,28.7000000,40.7000000,37.1000000,30.3000000 
1969,20.5000000,202736,21.6960000,13060,51.5000000,30.9000000,30.9000000,42.2000000,38.9000000,32.4000000 
1970,21.9000000,205089,21.8900000,13567,53,31.2000000,35.2000000,44.1000000,40.8000000,35 
1971,23.2000000,207692,22.0500000,14008,55.2000000,33,37.8000000,46,42.1000000,37 
1972,24.4000000,209924,22.3360000,14270,54.7000000,33.1000000,39.3000000,46.9000000,43.5000000,38.4000000 
1973,28.1000000,211939,24.4730000,15309,54.8000000,35.2000000,39.7000000,48.1000000,47.5000000,40.1000000 
1974,36.1000000,213898,33.0590000,15074,57.9000000,36.7000000,40.6000000,51.5000000,54,43.8000000 
1975,39.7000000,215981,35.2780000,15555,62.9000000,43.8000000,43.5000000,57.4000000,58.3000000,48 
1976,43,218086,36.7770000,15693,66.9000000,50.3000000,47.8000000,60.9000000,60.5000000,52 
1977,46.9000000,220289,38.9070000,15991,70.4000000,54.7000000,50,64.4000000,64,56 
1978,50.1000000,222629,40.5970000,16674,75.8000000,55.8000000,51.5000000,68.6000000,68.6000000,60.8000000 
1979,66.2000000,225106,54.4060000,16843,81.8000000,60.2000000,54.9000000,75.4000000,77.2000000,67.5000000 
1980,86.7000000,227726,75.5090000,16711,88.4000000,62.3000000,69,83,87.6000000,77.9000000 
1981,97.9000000,230008,84.0180000,17046,93.7000000,76.9000000,85.6000000,89.6000000,95.2000000,88.1000000 
1982,94.1000000,232218,79.7680000,17429,97.4000000,88.8000000,94.9000000,95.1000000,97.8000000,96 
1983,93.1000000,234333,77.1600000,17659,99.9000000,98.7000000,99.5000000,99.8000000,99.7000000,99.4000000 
1984,94.6000000,236394,76.0050000,18922,102.8000000,112.5000000,105.7000000,105.1000000,102.5000000,104.6000000 
1985,97.2000000,238506,76.6190000,19622,106.1000000,113.7000000,110.5000000,106.8000000,104.8000000,109.9000000 
1986,80.1000000,240683,60.1750000,19944,110.6000000,108.8000000,117,106.6000000,103.5000000,115.4000000 
1987,85.4000000,242843,62.4880000,19802,114.6000000,113.1000000,121.1000000,108.2000000,107.5000000,120.2000000 
1988,88.3000000,245061,63.0170000,20682,116.9000000,118,123.3000000,110.4000000,111.8000000,125.7000000 
1989,98.6000000,247387,68.8370000,21048,119.2000000,120.4000000,129.5000000,112.2000000,118.2000000,131.9000000 
1990,111.2000000,250181,78.3850000,21379,121,117.6000000,142.6000000,113.4000000,126,139.2000000 
1991,108.5000000,253530,77.3380000,21129,125.3000000,118.1000000,148.9000000,116,130.3000000,146.3000000 
1992,112.4000000,256922,77.0400000,21505,128.4000000,123.2000000,151.4000000,118.6000000,132.8000000,152 
1993,114.1000000,260282,76.2570000,21515,131.5000000,133.9000000,167,121.3000000,135.1000000,157.9000000 
1994,116.2000000,263455,76.6140000,21797,136,141.7000000,172,124.8000000,136.8000000,163.1000000 
1995,120.2000000,266588,77.8260000,22100,139,156.5000000,175.9000000,128,139.3000000,168.7000000 
1996,130.4000000,269714,82.5960000,22506,141.4000000,157,181.9000000,129.4000000,143.5000000,174.1000000 
1997,134.4000000,272958,82.5790000,22944,141.7000000,151.1000000,186.7000000,128.7000000,146.4000000,179.4000000 
1998,122.4000000,276154,71.8740000,24079,140.7000000,150.6000000,190.3000000,127.6000000,146.9000000,184.2000000 
1999,137.9000000,279328,78.2070000,24464,139.6000000,152,197.7000000,126,151.2000000,188.8000000 
2000,175.7000000,282429,100,25380,139.6000000,155.8000000,209.6000000,125.4000000,158.2000000,195.3000000 
2001,171.6000000,285366,96.2890000,25449,138.9000000,158.7000000,210.6000000,124.6000000,160.6000000,203.4000000 
2002,163.4000000,288217,90.4050000,26352,137.3000000,152,207.4000000,121.4000000,161.1000000,209.8000000 
2003,191.3000000,291073,105.1540000,26437,134.7000000,142.9000000,209.3000000,117.5000000,165.3000000,216.5000000 
2004,224.5000000,293951,123.9010000,27113,133.9000000,133.3000000,209.1000000,114.8000000,172.2000000,222.8000000 
