GNDRECON,WOMSTUD,ACREP,ECONFAC,PCTWECN,RELIG,PCTWFAC,NOR,SOU,MID,WEST 
1,1,1,20,.2000000,0,.2912000,1,0,0,0 
1,1,1,9,.1100000,0,.2727000,1,0,0,0 
1,1,3,10,.2000000,0,.3032000,1,0,0,0 
1,1,3,16,.3750000,0,.5509000,1,0,0,0 
1,1,8,8,.1250000,0,.3469000,0,0,1,0 
1,1,8,10,.2000000,0,.3389000,1,0,0,0 
1,1,5,14,.0710000,0,.2845000,1,0,0,0 
1,1,15,11,.0900000,0,.2675000,1,0,0,0 
0,1,5,6,.1660000,0,.3186000,1,0,0,0 
1,1,8,16,.3100000,0,.4552000,1,0,0,0 
0,1,8,6,.5000000,0,.4594000,1,0,0,0 
0,1,5,9,.1100000,0,.2933000,0,0,0,1 
0,1,13,9,.2200000,0,.4200000,1,0,0,0 
1,1,13,8,.2500000,0,.3730000,0,0,0,1 
1,1,20,11,.2700000,0,.3125000,1,0,0,0 
1,1,20,16,.0600000,0,.1538000,0,0,1,0 
1,1,17,16,.1870000,0,.2551000,1,0,0,0 
0,1,15,7,.1420000,1,.2110000,0,1,0,0 
1,1,17,9,.3300000,0,.3976000,1,0,0,0 
1,1,8,8,.1250000,0,.3684000,0,0,0,1 
1,1,29,10,.2000000,0,.3209000,1,0,0,0 
0,0,24,12,0,0,.1470000,0,1,0,0 
1,1,20,8,.2500000,0,.3077000,1,0,0,0 
1,1,24,11,.1800000,0,.2971000,1,0,0,0 
0,1,36,15,.3300000,1,.2470000,1,0,0,0 
1,1,20,10,.4000000,0,.5433000,1,0,0,0 
1,1,24,12,.2500000,0,.3699000,1,0,0,0 
0,1,36,15,.0660000,1,.2802000,1,0,0,0 
1,1,29,13,.3100000,0,.2834000,0,0,1,0 
1,1,33,6,.1660000,0,.3600000,1,0,0,0 
0,1,33,8,.3750000,0,.3000000,1,0,0,0 
0,1,29,6,.1670000,0,.3440000,0,0,1,0 
1,1,36,3,.6600000,0,.4860000,1,0,0,0 
1,1,44,9,.1100000,0,.2424000,1,0,0,0 
1,0,44,5,.2000000,1,.1573000,0,1,0,0 
0,0,160,4,.2500000,0,.3428000,1,0,0,0 
0,0,152,4,.5000000,1,.4736000,1,0,0,0 
0,1,145,5,.4000000,0,.4440000,1,0,0,0 
1,0,152,4,.7500000,1,.8880000,1,0,0,0 
0,0,141,16,.1875000,0,.5136000,1,0,0,0 
0,0,162,3,.3300000,0,.3141000,1,0,0,0 
0,1,152,2,0,1,.1805000,1,0,0,0 
0,1,145,7,.4280000,0,.5454000,1,0,0,0 
0,0,149,2,.5000000,1,.6000000,1,0,0,0 
0,0,142,8,.1660000,1,.4637000,1,0,0,0 
0,1,149,3,.6600000,1,.6860000,1,0,0,0 
0,0,143,7,.1430000,0,.2940000,1,0,0,0 
0,0,152,2,0,1,.1372000,1,0,0,0 
0,1,152,5,.2000000,1,.5769000,1,0,0,0 
0,1,145,2,0,0,.4600000,1,0,0,0 
0,0,145,2,1,1,.7659000,1,0,0,0 
0,0,149,9,.5500000,1,.4750000,1,0,0,0 
0,0,162,3,.6600000,0,.5077000,1,0,0,0 
0,0,144,7,0,1,.2500000,1,0,0,0 
0,0,147,7,0,0,.1190000,0,0,1,0 
1,1,152,8,.6250000,1,.6480000,0,0,1,0 
0,0,179,3,0,0,.6700000,0,0,1,0 
1,1,142,9,.2200000,0,.3700000,0,0,1,0 
0,0,156,6,.2700000,1,.2700000,0,0,1,0 
0,0,143,6,0,1,.2000000,0,0,1,0 
0,0,147,1,0,1,.5000000,0,0,1,0 
0,0,156,6,.3300000,1,.5880000,0,0,1,0 
0,1,143,5,.4000000,1,.7037000,0,0,1,0 
0,0,147,10,.3000000,1,.4105000,0,0,1,0 
0,0,145,5,.2000000,0,.3368000,0,0,1,0 
0,0,147,5,.2000000,1,.2857000,0,0,1,0 
0,0,164,2,0,1,.3448000,0,0,1,0 
0,0,156,3,0,1,.1315000,0,0,1,0 
0,1,141,9,.1100000,1,.2948000,0,0,1,0 
0,0,146,2,.5000000,1,.3035000,0,0,1,0 
0,0,147,8,.3750000,1,.2033000,0,0,0,1 
0,0,144,9,.6600000,0,.7307000,0,0,0,1 
0,1,181,7,.2850000,0,.4576000,0,0,0,1 
0,0,181,4,.5000000,1,.4400000,0,0,0,1 
0,0,164,11,.0900000,1,.2763000,0,0,0,1 
0,0,190,2,.5000000,1,.6360000,0,0,0,1 
0,1,164,7,.2850000,1,.5567000,0,0,0,1 
0,0,174,4,.2500000,1,.2800000,0,0,0,1 
0,0,152,1,0,1,.3108000,0,0,0,1 
0,0,190,4,0,1,.2973000,0,0,0,1 
0,1,159,4,0,0,.2950000,0,0,0,1 
0,0,159,3,.1100000,1,.2461000,0,0,0,1 
0,0,145,7,.1428000,1,.2711000,0,0,0,1 
0,0,143,8,.1250000,0,.2100000,0,0,0,1 
1,1,145,5,.2000000,1,.3428000,0,0,0,1 
0,0,147,6,.1660000,1,.1458000,0,0,0,1 
0,0,164,5,.4000000,1,.2220000,0,0,0,1 
0,1,152,6,.1660000,0,.1969000,0,0,0,1 
0,0,213,5,.4000000,1,.6739000,0,0,0,1 
0,1,152,6,.1660000,0,.2000000,0,0,0,1 
0,0,152,2,0,1,.1846000,0,0,0,1 
0,0,152,7,0,1,.2083000,0,0,0,1 
0,1,159,5,0,1,.3960000,0,0,0,1 
0,0,164,5,.2000000,1,.1632000,0,0,0,1 
0,1,142,8,.1250000,1,.3409000,0,0,0,1 
0,0,152,8,.7500000,1,.6660000,0,0,0,1 
0,0,147,6,.6600000,1,.3090000,0,0,0,1 
0,0,147,7,0,0,.1839000,0,0,0,1 
0,0,181,8,.2500000,1,.3148000,0,0,0,1 
0,1,152,6,0,0,.2967000,0,0,0,1 
0,1,174,3,.3300000,1,.5147000,0,0,0,1 
0,0,147,7,.4280000,1,.1613000,0,0,0,1 
0,1,141,6,.1670000,1,.2571000,0,0,0,1 
0,0,150,7,.1430000,1,.2310000,0,1,0,0 
0,0,176,4,.5000000,1,.1818000,0,1,0,0 
0,0,144,14,.4280000,0,.2235000,0,1,0,0 
0,0,156,9,.2200000,1,.3350000,0,1,0,0 
0,0,176,4,.7500000,1,.5737000,0,1,0,0 
0,0,146,6,.5000000,0,.2884000,0,1,0,0 
0,0,165,8,.1250000,1,.4762000,0,1,0,0 
0,1,150,6,.1660000,1,.2500000,0,1,0,0 
0,0,156,3,0,1,.2972000,0,1,0,0 
0,0,156,4,.2500000,1,.3650000,0,1,0,0 
0,0,165,4,.2500000,1,.2220000,0,1,0,0 
0,0,185,6,.1660000,1,.3600000,0,1,0,0 
0,0,153,5,.4000000,1,.3720000,0,1,0,0 
0,0,165,5,.2000000,1,.3804000,0,1,0,0 
1,1,146,2,1,1,.4714000,0,1,0,0 
0,0,156,2,.5000000,0,.4186000,0,1,0,0 
0,0,146,4,0,0,.2280000,0,1,0,0 
0,0,143,8,.2500000,1,.1857000,0,1,0,0 
0,0,153,3,0,1,.4137000,0,1,0,0 
0,0,146,3,0,1,.3736000,0,1,0,0 
0,0,194,3,0,1,.6461000,0,1,0,0 
1,1,144,6,.6700000,0,.5604000,0,1,0,0 
0,0,150,10,.1000000,1,.2180000,0,1,0,0 
0,1,141,7,.2850000,1,.2950000,0,1,0,0 
0,0,161,10,.3000000,1,.3157000,0,1,0,0 
0,0,176,3,0,1,.1388000,0,1,0,0 
0,0,153,1,0,1,.4838000,0,1,0,0 
0,0,165,5,.2000000,1,.3207000,0,1,0,0 
0,0,141,4,0,1,.1500000,0,1,0,0 
